timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776340500.791,0.791,0.48,8.33,0.47,15.0,0.53,15.0,0.54,15.0,0.47,15.0,0.46,15.0,0.52,8.33,0.53,15.0,0.05,0.05,0.096248,1776340499000
1776340505.994,5.994,0.48,15.33,0.43,5.0,0.49,5.0,0.5,5.0,0.47,15.0,0.46,15.0,0.52,8.33,0.53,15.0,0.01,0.05,0.096246,1776340505000
1776340516.601,16.601,0.48,9.6,0.45,5.0,0.49,5.0,0.5,10.0,0.51,5.0,0.5,5.0,0.52,15.33,0.57,5.0,0.01,0.01,0.096239,1776340515000
1776340520.119,20.119,0.43,2.44,0.42,10.0,0.49,5.0,0.5,10.0,0.51,5.0,0.5,10.0,0.52,9.6,0.55,5.0,0.06,0.01,0.096238,1776340518000
1776340529.517,29.517,0.5,5.0,0.49,5.0,0.52,5.0,0.53,5.0,0.51,5.0,0.5,10.0,0.57,2.44,0.58,10.0,0.02,0.06,0.096237,1776340528000
1776340539.284,39.284,0.51,5.0,0.5,5.0,0.54,5.0,0.55,5.0,0.48,5.0,0.47,5.0,0.5,5.0,0.51,5.0,0.03,0.02,0.096267,1776340538000
1776340561.481,61.481,0.49,10.0,0.47,5.0,0.51,5.0,0.52,5.0,0.46,5.0,0.45,5.0,0.49,5.0,0.5,5.0,0.02,0.03,0.096267,1776340560000
1776340575.195,75.195,0.52,5.0,0.51,5.0,0.54,3.12,0.55,5.0,0.49,5.0,0.48,5.0,0.51,10.0,0.53,5.0,0.02,0.02,0.096265,1776340574000
1776340577.235,77.235,0.51,5.0,0.5,5.0,0.53,5.0,0.54,3.12,0.46,3.12,0.45,5.0,0.48,5.0,0.49,5.0,0.02,0.02,0.096266,1776340576000
1776340589.403,89.403,0.48,4.13,0.47,5.0,0.5,5.0,0.51,5.0,0.47,5.0,0.46,3.12,0.49,5.0,0.5,5.0,0.02,0.02,0.09625,1776340588000
1776340598.074,98.074,0.56,5.0,0.55,5.0,0.59,10.0,0.6,10.0,0.5,5.0,0.49,5.0,0.52,4.13,0.53,5.0,0.03,0.02,0.096251,1776340596000
1776340649.002,149.002,0.56,6.0,0.55,5.0,0.58,3.43,0.59,5.0,0.41,10.0,0.4,10.0,0.44,5.0,0.45,5.0,0.02,0.03,0.09625,1776340648000
1776340661.233,161.233,0.61,45.0,0.59,48.0,0.65,5.0,0.66,5.0,0.42,3.43,0.41,5.0,0.44,6.0,0.45,5.0,0.04,0.02,0.096263,1776340659000
1776340663.678,163.678,0.64,5.0,0.63,5.0,0.65,4.0,0.66,5.0,0.35,5.0,0.34,5.0,0.39,45.0,0.41,48.0,0.01,0.04,0.096278,1776340662000
1776340667.069,167.069,0.64,17.3,0.63,44.2,0.67,4.47,0.68,5.0,0.35,4.0,0.34,5.0,0.36,5.0,0.37,5.0,0.03,0.01,0.096289,1776340665000
1776340667.911,167.911,0.64,17.3,0.63,49.2,0.67,4.47,0.68,5.0,0.33,4.47,0.32,5.0,0.36,17.3,0.37,44.2,0.03,0.03,0.096289,1776340666000
1776340668.252,168.252,0.64,22.3,0.63,49.2,0.67,4.47,0.68,5.0,0.33,4.47,0.32,5.0,0.36,17.3,0.37,49.2,0.03,0.03,0.096286,1776340667000
1776340670.366,170.366,0.67,5.0,0.66,5.0,0.69,5.0,0.7,5.0,0.33,4.47,0.32,5.0,0.36,22.3,0.37,49.2,0.02,0.03,0.096284,1776340668000
1776340678.62,178.62,0.61,5.0,0.6,10.0,0.64,5.0,0.65,5.0,0.31,5.0,0.3,5.0,0.33,5.0,0.34,5.0,0.03,0.02,0.096282,1776340677000
1776340679.739,179.739,0.62,5.0,0.61,5.0,0.67,8.58,0.68,5.0,0.36,5.0,0.35,5.0,0.39,5.0,0.4,10.0,0.05,0.03,0.096278,1776340678000
1776340680.013,180.013,0.62,4.48,0.61,5.0,0.67,3.58,0.68,5.0,0.33,8.58,0.32,5.0,0.38,5.0,0.39,5.0,0.05,0.05,0.096267,1776340679000
1776340686.508,186.508,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.33,3.58,0.32,5.0,0.38,4.48,0.39,5.0,0.02,0.05,0.096267,1776340685000
1776340688.806,188.806,0.65,5.0,0.64,5.0,0.67,6.0,0.69,5.0,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.02,0.02,0.096267,1776340687000
1776340690.135,190.135,0.67,5.0,0.66,5.0,0.68,3.52,0.69,5.0,0.33,6.0,0.31,5.0,0.35,5.0,0.36,5.0,0.01,0.02,0.096269,1776340689000
1776340699.201,199.201,0.66,5.0,0.65,5.0,0.69,5.0,0.7,5.0,0.32,3.52,0.31,5.0,0.33,5.0,0.34,5.0,0.03,0.01,0.096269,1776340697000
1776340706.264,206.264,0.7,5.0,0.69,5.0,0.74,5.0,0.75,10.0,0.31,5.0,0.3,5.0,0.34,5.0,0.35,5.0,0.04,0.03,0.096269,1776340704000
1776340710.553,210.553,0.75,5.0,0.74,5.0,0.77,5.0,0.78,5.0,0.25,10.0,0.24,5.0,0.28,5.0,0.29,5.0,0.02,0.03,0.09627,1776340709000
1776340716.404,216.404,0.72,5.0,0.71,5.0,0.75,5.0,0.76,5.0,0.23,5.0,0.22,5.0,0.25,5.0,0.26,5.0,0.03,0.02,0.096277,1776340715000
1776340731.385,231.385,0.79,0.23,0.78,5.0,0.82,5.0,0.83,23.39,0.25,5.0,0.24,5.0,0.28,5.0,0.29,5.0,0.03,0.03,0.096286,1776340730000
1776340732.204,232.204,0.67,0.84,0.66,5.0,0.7,5.0,0.71,5.0,0.18,5.0,0.17,23.39,0.21,0.23,0.22,5.0,0.03,0.03,0.096284,1776340731000
1776340733.51,233.51,0.61,5.0,0.6,10.0,0.64,5.0,0.65,5.0,0.3,5.0,0.29,5.0,0.33,0.84,0.34,5.0,0.03,0.03,0.096283,1776340732000
1776340737.513,237.513,0.6,5.0,0.59,5.0,0.63,5.0,0.64,5.0,0.36,5.0,0.35,5.0,0.39,5.0,0.4,10.0,0.03,0.03,0.096253,1776340736000
