timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776266703.226,3.226,0.45,2.0,0.31,425.0,0.5,25.0,0.55,8.0,0.5,25.0,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.09,0.093613,1776266702000
1776266705.686,5.686,0.49,11.0,0.48,5.0,0.5,25.0,0.55,8.0,0.5,25.0,0.45,8.0,0.55,2.0,0.69,425.0,0.01,0.05,0.093632,1776266704000
1776266712.211,12.211,0.49,61.0,0.48,5.0,0.5,10.0,0.55,8.0,0.5,20.0,0.45,8.0,0.51,11.0,0.52,5.0,0.01,0.01,0.093641,1776266710000
1776266712.776,12.776,0.51,40.0,0.49,71.0,0.55,8.0,0.61,5.0,0.5,10.0,0.45,8.0,0.51,61.0,0.52,5.0,0.04,0.01,0.093641,1776266711000
1776266714.863,14.863,0.54,8.03,0.53,5.0,0.55,14.67,0.61,5.0,0.45,8.0,0.39,5.0,0.49,40.0,0.51,71.0,0.01,0.04,0.09365,1776266713000
1776266716.53,16.53,0.54,57.0,0.53,5.0,0.55,12.08,0.67,5.0,0.45,14.67,0.39,5.0,0.46,8.03,0.47,5.0,0.01,0.01,0.093665,1776266715000
1776266718.333,18.333,0.54,67.0,0.53,5.0,0.55,1.97,0.65,5.0,0.45,7.07,0.33,5.0,0.46,57.0,0.47,5.0,0.01,0.01,0.093666,1776266717000
1776266722.268,22.268,0.61,48.03,0.54,77.0,0.72,5.0,0.73,10.0,0.45,1.97,0.35,5.0,0.46,67.0,0.47,5.0,0.11,0.01,0.093676,1776266720000
1776266722.883,22.883,0.7,5.0,0.69,5.0,0.71,5.34,0.72,5.0,0.28,5.0,0.27,10.0,0.39,48.03,0.46,77.0,0.01,0.11,0.093684,1776266721000
1776266724.272,24.272,0.7,5.0,0.69,5.0,0.71,8.52,0.72,10.0,0.29,5.34,0.28,5.0,0.3,5.0,0.31,5.0,0.01,0.01,0.093691,1776266723000
1776266727.472,27.472,0.7,5.0,0.69,5.0,0.76,1.57,0.77,5.0,0.29,8.52,0.28,10.0,0.3,5.0,0.31,5.0,0.06,0.01,0.093691,1776266726000
1776266729.278,29.278,0.76,5.0,0.75,5.0,0.78,10.0,0.79,5.0,0.24,1.57,0.23,5.0,0.3,5.0,0.31,5.0,0.02,0.06,0.093704,1776266727000
1776266730.092,30.092,0.76,5.0,0.75,5.0,0.77,8.11,0.78,5.0,0.22,10.0,0.21,5.0,0.24,5.0,0.25,5.0,0.01,0.02,0.093701,1776266729000
1776266735.368,35.368,0.76,5.0,0.75,5.0,0.78,10.0,0.79,5.0,0.23,8.11,0.22,5.0,0.24,5.0,0.25,5.0,0.02,0.01,0.093712,1776266734000
1776266747.313,47.313,0.78,5.0,0.77,5.0,0.8,5.0,0.81,10.0,0.22,10.0,0.21,5.0,0.24,5.0,0.25,5.0,0.02,0.02,0.093721,1776266745000
1776266751.062,51.062,0.74,5.0,0.73,5.0,0.76,10.0,0.77,5.0,0.2,5.0,0.19,10.0,0.22,5.0,0.23,5.0,0.02,0.02,0.093704,1776266749000
1776266752.546,52.546,0.7,5.0,0.69,5.0,0.72,5.0,0.73,10.0,0.24,10.0,0.23,5.0,0.26,5.0,0.27,5.0,0.02,0.02,0.093701,1776266751000
1776266771.962,71.962,0.77,5.0,0.76,5.0,0.79,5.0,0.81,31.89,0.28,5.0,0.27,10.0,0.3,5.0,0.31,5.0,0.02,0.02,0.093675,1776266770000
1776266776.243,76.243,0.81,5.0,0.8,5.0,0.82,3.66,0.83,5.0,0.21,5.0,0.19,31.89,0.23,5.0,0.24,5.0,0.01,0.02,0.093696,1776266775000
1776266800.008,100.008,0.7,5.0,0.69,5.0,0.72,5.0,0.73,5.0,0.18,3.66,0.17,5.0,0.19,5.0,0.2,5.0,0.02,0.01,0.093671,1776266799000
1776266816.043,116.043,0.72,5.0,0.71,5.0,0.74,3.64,0.75,5.0,0.28,5.0,0.27,5.0,0.3,5.0,0.31,5.0,0.02,0.02,0.093663,1776266814000
1776266851.196,151.196,0.82,5.0,0.81,5.0,0.84,6.0,0.85,5.0,0.26,3.64,0.25,5.0,0.28,5.0,0.29,5.0,0.02,0.02,0.093689,1776266849000
1776266875.454,175.454,0.91,5.0,0.9,5.0,0.92,1.0,0.94,51.1,0.16,6.0,0.15,5.0,0.18,5.0,0.19,5.0,0.01,0.02,0.093717,1776266874000
1776266889.305,189.305,0.95,10.0,0.94,5.0,0.97,43.3,0.98,147.69,0.08,1.0,0.06,51.1,0.09,5.0,0.1,5.0,0.02,0.01,0.09373,1776266888000
1776266897.003,197.003,0.96,0.03,0.95,10.0,0.97,88.3,0.98,152.69,0.03,43.3,0.02,147.69,0.05,10.0,0.06,5.0,0.01,0.02,0.093716,1776266895000
1776266898.967,198.967,0.92,5.0,0.91,5.0,0.93,94.97,0.97,59.3,0.03,88.3,0.02,152.69,0.04,0.03,0.05,10.0,0.01,0.01,0.093715,1776266897000
1776266915.651,215.651,0.93,5.0,0.92,5.0,0.94,15.25,0.95,54.7,0.07,94.97,0.03,59.3,0.08,5.0,0.09,5.0,0.01,0.01,0.093701,1776266913000
1776266920.169,220.169,0.92,5.0,0.91,5.0,0.93,95.0,0.94,52.1,0.06,15.25,0.05,54.7,0.07,5.0,0.08,5.0,0.01,0.01,0.093699,1776266918000
1776266940.743,240.743,0.88,4.28,0.87,5.0,0.9,5.0,0.91,67.0,0.07,95.0,0.06,52.1,0.08,5.0,0.09,5.0,0.02,0.01,0.093658,1776266939000
1776266941.797,241.797,0.89,5.0,0.88,4.28,0.9,210.45,0.91,86.7,0.1,1.66,0.09,67.0,0.12,4.28,0.13,5.0,0.01,0.02,0.093655,1776266940000
1776266943.421,243.421,0.89,5.0,0.88,4.28,0.9,231.85,0.91,81.7,0.1,232.97,0.09,86.7,0.11,5.0,0.12,4.28,0.01,0.01,0.093649,1776266941000
1776266948.68,248.68,0.86,5.0,0.85,5.0,0.88,35.6,0.89,31.6,0.1,231.85,0.09,81.7,0.11,5.0,0.12,4.28,0.02,0.01,0.09364,1776266947000
1776266951.463,251.463,0.79,5.0,0.78,5.0,0.81,4.9,0.82,6.0,0.12,35.6,0.11,31.6,0.14,5.0,0.15,5.0,0.02,0.02,0.093639,1776266949000
1776266953.353,253.353,0.75,5.0,0.74,5.0,0.78,107.0,0.79,5.0,0.19,4.9,0.18,6.0,0.21,5.0,0.22,5.0,0.03,0.02,0.093638,1776266951000
1776266954.222,254.222,0.76,5.0,0.75,5.0,0.78,102.0,0.81,71.89,0.22,107.0,0.21,5.0,0.25,5.0,0.26,5.0,0.02,0.03,0.093627,1776266953000
1776266955.507,255.507,0.77,5.0,0.76,5.0,0.79,129.7,0.8,21.2,0.22,102.0,0.19,71.89,0.24,5.0,0.25,5.0,0.02,0.02,0.093627,1776266954000
1776266957.389,257.389,0.71,5.0,0.7,5.0,0.73,6.0,0.74,71.0,0.21,129.7,0.2,21.2,0.24,5.0,0.25,5.0,0.02,0.03,0.093627,1776266956000
1776266957.834,257.834,0.72,5.0,0.71,5.0,0.74,69.64,0.75,5.0,0.27,6.0,0.26,71.0,0.29,5.0,0.3,5.0,0.02,0.02,0.093627,1776266956000
1776266961.104,261.104,0.68,5.0,0.67,5.0,0.7,5.0,0.71,17.6,0.27,5.0,0.26,69.64,0.29,3.82,0.3,5.0,0.02,0.02,0.093627,1776266960000
1776266962.502,262.502,0.67,5.0,0.66,5.0,0.69,11.0,0.7,17.4,0.3,5.0,0.29,17.6,0.32,5.0,0.33,5.0,0.02,0.02,0.093627,1776266961000
1776266965.607,265.607,0.67,5.0,0.66,5.0,0.68,9.17,0.69,5.0,0.31,11.0,0.3,17.4,0.33,5.0,0.34,5.0,0.01,0.02,0.093628,1776266964000
1776266966.88,266.88,0.53,3.57,0.52,5.0,0.55,5.0,0.56,5.0,0.3,3.19,0.29,17.6,0.33,5.0,0.34,5.0,0.02,0.03,0.093627,1776266965000
1776266968.493,268.493,0.55,11.0,0.54,5.0,0.57,5.0,0.58,5.0,0.45,5.0,0.44,5.0,0.47,3.57,0.48,5.0,0.02,0.02,0.093626,1776266967000
1776266968.798,268.798,0.57,5.0,0.56,5.0,0.6,5.0,0.61,5.0,0.43,5.0,0.42,5.0,0.45,11.0,0.46,5.0,0.03,0.02,0.093626,1776266967000
1776266969.763,269.763,0.45,2.0,0.29,5.0,0.56,49.0,0.57,5.0,0.4,5.0,0.39,5.0,0.43,5.0,0.44,5.0,0.11,0.03,0.093609,1776266968000
1776266970.087,270.087,0.32,5.0,0.31,5.0,0.46,40.0,0.47,5.0,0.44,49.0,0.43,5.0,0.55,2.0,0.71,5.0,0.14,0.11,0.09361,1776266969000
1776266972.094,272.094,0.48,2.8,0.47,5.0,0.49,54.0,0.61,50.0,0.54,40.0,0.53,5.0,0.68,5.0,0.69,5.0,0.01,0.14,0.093611,1776266970000
1776266972.332,272.332,0.48,2.8,0.47,5.0,0.49,10.0,0.54,5.0,0.51,54.0,0.39,50.0,0.52,2.8,0.53,5.0,0.01,0.01,0.093597,1776266971000
1776266972.867,272.867,0.64,0.13,0.63,5.0,0.7,12.4,0.71,17.6,0.46,5.0,0.35,11.4,0.48,5.0,0.49,55.0,0.06,0.02,0.093597,1776266971000
1776266974.536,274.536,0.61,44.87,0.56,5.0,0.62,5.0,0.63,5.0,0.3,12.4,0.29,17.6,0.36,0.13,0.37,5.0,0.01,0.06,0.093603,1776266973000
1776266974.888,274.888,0.61,43.09,0.56,5.0,0.62,5.0,0.63,5.0,0.38,5.0,0.37,5.0,0.39,44.87,0.44,5.0,0.01,0.01,0.093603,1776266973000
1776266975.527,275.527,0.61,36.12,0.51,50.0,0.62,5.0,0.63,5.0,0.38,5.0,0.37,5.0,0.39,41.77,0.44,5.0,0.01,0.01,0.093619,1776266974000
1776266976.679,276.679,0.51,94.73,0.5,5.0,0.53,5.0,0.54,5.0,0.38,5.0,0.37,5.0,0.39,36.12,0.49,50.0,0.02,0.01,0.093623,1776266975000
1776266978.741,278.741,0.52,3.57,0.51,94.73,0.53,5.0,0.54,5.0,0.47,5.0,0.46,5.0,0.49,94.73,0.5,5.0,0.01,0.02,0.093623,1776266977000
1776266981.382,281.382,0.55,5.0,0.54,11.0,0.57,5.0,0.58,5.0,0.47,5.0,0.46,5.0,0.48,3.57,0.49,94.73,0.02,0.01,0.093626,1776266980000
1776266982.081,282.081,0.54,11.0,0.53,5.0,0.6,1.03,0.61,5.0,0.43,5.0,0.42,5.0,0.45,5.0,0.46,11.0,0.06,0.02,0.093626,1776266980000
1776266983.132,283.132,0.72,5.0,0.71,10.0,0.75,1.04,0.76,5.0,0.4,1.03,0.39,5.0,0.46,11.0,0.47,5.0,0.03,0.06,0.093626,1776266981000
1776266985.062,285.062,0.67,5.0,0.66,5.0,0.74,5.0,0.75,5.0,0.25,5.0,0.24,2.11,0.27,5.0,0.28,5.0,0.07,0.02,0.093628,1776266983000
1776266985.996,285.996,0.8,5.0,0.79,5.0,0.83,2.77,0.84,5.0,0.26,5.0,0.25,5.0,0.33,5.0,0.34,5.0,0.03,0.07,0.093637,1776266985000
1776266989.929,289.929,0.87,5.0,0.86,5.0,0.88,4.86,0.89,5.0,0.17,2.77,0.16,5.0,0.2,5.0,0.21,5.0,0.01,0.03,0.093641,1776266989000
1776266995.586,295.586,0.96,5.0,0.95,10.0,0.98,16.0,0.99,230.0,0.11,5.0,0.1,5.0,0.14,5.0,0.15,5.0,0.02,0.03,0.093641,1776266994000
1776266996.417,296.417,0.97,5.0,0.96,5.0,0.99,230.0,,,0.02,14.97,0.01,230.0,0.04,5.0,0.05,10.0,0.02,0.02,0.093641,1776266995000
1776266996.798,296.798,0.98,3.89,0.97,10.0,0.99,140.69,,,0.01,226.89,,,0.02,3.89,0.03,10.0,0.01,0.01,0.093641,1776266995000
1776266997.319,297.319,0.98,8.89,0.97,10.0,0.99,135.63,,,0.01,140.69,,,0.02,3.89,0.03,10.0,0.01,0.01,0.093641,1776266995000
1776266997.629,297.629,0.98,8.89,0.97,10.0,0.99,124.52,,,0.01,134.52,,,0.02,8.89,0.03,10.0,0.01,0.01,0.09364,1776266996000
1776266998.182,298.182,0.98,8.89,0.97,10.0,0.99,122.49,,,0.01,124.52,,,0.02,8.89,0.03,10.0,0.01,0.01,0.09364,1776266997000
1776266998.422,298.422,0.98,8.89,0.97,10.0,0.99,77.49,,,0.01,122.49,,,0.02,8.89,0.03,10.0,0.01,0.01,0.09364,1776266997000
1776266998.81,298.81,0.98,23.89,0.97,10.0,0.99,21.38,,,0.01,71.38,,,0.02,8.89,0.03,10.0,0.01,0.01,0.09364,1776266997000

# RESULT,winner=Up,slug=doge-updown-5m-1776266700,ticks=68
