timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,doge_price,doge_oracle_ts
1776163801.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094488,1776163800000
1776163802.112,2.112,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163800000
1776163803.622,3.622,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163802000
1776163804.327,4.327,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163803000
1776163805.673,5.673,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163804000
1776163806.741,6.741,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163805000
1776163807.235,7.235,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163806000
1776163808.372,8.372,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163807000
1776163809.978,9.978,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163809000
1776163811.121,11.121,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163810000
1776163812.234,12.234,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.24,0.24,0.094488,1776163811000
1776163812.589,12.589,0.46,5.0,0.45,5.0,0.4,10.0,0.39,15.0,0.38,10.0,0.57,5.61,0.6,27.0,0.61,50.0,0.64,10.0,0.65,16.0,0.38,13.0,0.33,300.0,0.31,375.0,0.27,450.0,0.25,600.0,0.62,13.0,0.67,300.0,0.69,375.0,0.73,450.0,0.75,600.0,0.11,0.24,0.094488,1776163811000
