timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776313500.541,0.541,0.46,73.0,0.45,45.0,0.47,81.33,0.52,5.0,0.54,49.83,0.41,37.0,0.59,37.0,0.6,33.0,0.01,0.05,0.097698,1776313499000
1776313501.076,1.076,0.41,37.0,0.4,33.0,0.46,49.83,0.59,37.0,0.54,49.83,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097695,1776313500000
1776313502.108,2.108,0.41,37.0,0.4,33.0,0.46,49.83,0.59,37.0,0.54,49.83,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097692,1776313501000
1776313503.719,3.719,0.41,37.0,0.4,33.0,0.46,49.83,0.59,37.0,0.54,49.83,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.0977,1776313502000
1776313503.979,3.979,0.41,3.3,0.4,5.0,0.48,5.0,0.49,5.0,0.54,49.83,0.41,37.0,0.59,37.0,0.6,33.0,0.07,0.05,0.0977,1776313502000
1776313504.383,4.383,0.41,3.3,0.4,5.0,0.48,5.0,0.49,5.0,0.52,5.0,0.51,5.0,0.59,3.3,0.6,5.0,0.07,0.07,0.097687,1776313503000
1776313505.336,5.336,0.41,3.3,0.4,5.0,0.48,5.0,0.49,5.0,0.52,5.0,0.51,5.0,0.59,3.3,0.6,5.0,0.07,0.07,0.097682,1776313504000
1776313505.889,5.889,0.47,5.0,0.46,5.0,0.49,5.0,0.5,5.0,0.52,5.0,0.51,5.0,0.59,3.3,0.6,5.0,0.02,0.07,0.097682,1776313504000
1776313506.269,6.269,0.47,10.0,0.46,5.0,0.49,5.0,0.5,5.0,0.51,5.0,0.5,5.0,0.53,5.0,0.54,5.0,0.02,0.02,0.097682,1776313505000
1776313507.043,7.043,0.47,10.0,0.46,5.0,0.49,5.0,0.5,5.0,0.51,5.0,0.5,5.0,0.53,10.0,0.54,5.0,0.02,0.02,0.097696,1776313506000
