timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776186601.373,1.373,,,,,,,,,,,,,,,,,,,0.095179,1776186600000
1776186601.779,1.779,0.5,7.88,0.48,6.0,0.52,6.0,0.55,6.66,0.48,6.0,0.45,6.66,0.5,17.88,0.52,6.0,0.02,0.02,0.095179,1776186600000
1776186601.979,1.979,0.5,7.88,0.48,6.0,0.52,6.0,0.55,6.66,0.48,6.0,0.45,6.66,0.5,17.88,0.52,6.0,0.02,0.02,0.095185,1776186601000
1776186602.377,2.377,0.51,9.0,0.5,7.88,0.52,6.0,0.55,6.66,0.48,6.0,0.45,6.66,0.5,17.88,0.52,6.0,0.01,0.02,0.095185,1776186601000
1776186603.032,3.032,0.51,9.0,0.5,7.88,0.55,6.66,0.67,300.0,0.48,6.0,0.45,6.66,0.49,9.0,0.5,7.88,0.04,0.01,0.095185,1776186601000
1776186603.396,3.396,0.5,7.88,0.48,6.0,0.69,375.0,0.71,50.0,0.45,6.66,0.33,300.0,0.49,9.0,0.5,7.88,0.19,0.04,0.095192,1776186602000
1776186604.556,4.556,0.5,7.88,0.48,6.0,0.69,375.0,0.71,50.0,0.31,375.0,0.29,50.0,0.5,7.88,0.52,6.0,0.19,0.19,0.09523,1776186603000
1776186604.954,4.954,0.5,7.88,0.48,6.0,0.69,375.0,0.71,50.0,0.31,375.0,0.29,50.0,0.5,7.88,0.52,6.0,0.19,0.19,0.095233,1776186604000
1776186605.867,5.867,0.5,7.88,0.48,6.0,0.69,375.0,0.71,50.0,0.31,375.0,0.29,50.0,0.5,7.88,0.52,6.0,0.19,0.19,0.095258,1776186605000
1776186606.357,6.357,0.54,5.0,0.52,5.0,0.63,10.0,0.71,50.0,0.31,375.0,0.29,50.0,0.5,7.88,0.52,6.0,0.09,0.19,0.095258,1776186605000
1776186606.861,6.861,0.54,5.0,0.52,5.0,0.63,10.0,0.71,50.0,0.37,10.0,0.29,50.0,0.46,5.0,0.48,5.0,0.09,0.09,0.095271,1776186606000
1776186608.386,8.386,0.54,5.0,0.52,5.0,0.63,10.0,0.71,50.0,0.37,10.0,0.29,50.0,0.46,5.0,0.48,5.0,0.09,0.09,0.095237,1776186607000
1776186609.336,9.336,0.54,5.0,0.52,5.0,0.63,10.0,0.71,50.0,0.37,10.0,0.29,50.0,0.46,5.0,0.48,5.0,0.09,0.09,0.095239,1776186608000
1776186610.268,10.268,0.54,5.0,0.52,5.0,0.63,10.0,0.71,50.0,0.37,10.0,0.29,50.0,0.46,5.0,0.48,5.0,0.09,0.09,0.095267,1776186609000
1776186611.303,11.303,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.37,10.0,0.29,50.0,0.46,5.0,0.48,5.0,0.09,0.09,0.095267,1776186609000
1776186612.233,12.233,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095266,1776186611000
1776186613.227,13.227,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095243,1776186612000
1776186614.148,14.148,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095235,1776186613000
1776186615.228,15.228,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095255,1776186614000
1776186616.234,16.234,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095261,1776186615000
1776186617.462,17.462,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.095261,1776186616000
1776186618.073,18.073,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.09526,1776186617000
1776186619.239,19.239,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.09526,1776186618000
1776186620.518,20.518,0.56,3.8,0.55,9.0,0.65,10.0,0.76,20.0,0.35,10.0,0.24,20.0,0.44,3.8,0.45,9.0,0.09,0.09,0.09526,1776186619000
