timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776318601.005,1.005,0.41,37.0,0.4,33.0,0.5,4.0,0.59,37.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096525,1776318600000
1776318602.244,2.244,0.41,37.0,0.4,33.0,0.5,4.0,0.59,37.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096524,1776318601000
1776318603.444,3.444,0.41,37.0,0.4,33.0,0.5,4.0,0.59,37.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096547,1776318602000
1776318604.001,4.001,0.41,37.0,0.4,33.0,0.5,4.0,0.59,37.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096547,1776318603000
1776318604.972,4.972,0.41,37.0,0.4,33.0,0.5,4.0,0.59,37.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096551,1776318604000
1776318605.502,5.502,0.49,10.0,0.41,50.0,0.69,5.0,0.73,450.0,0.5,4.0,0.41,37.0,0.59,37.0,0.6,33.0,0.2,0.09,0.096551,1776318604000
1776318606.574,6.574,0.49,10.0,0.41,50.0,0.69,5.0,0.73,450.0,0.31,5.0,0.27,450.0,0.51,10.0,0.59,50.0,0.2,0.2,0.096547,1776318605000
1776318607.097,7.097,0.49,10.0,0.41,50.0,0.69,5.0,0.73,450.0,0.31,5.0,0.27,450.0,0.51,10.0,0.59,50.0,0.2,0.2,0.096558,1776318606000
1776318608.226,8.226,0.49,10.0,0.41,50.0,0.69,5.0,0.73,450.0,0.31,5.0,0.27,450.0,0.51,10.0,0.59,50.0,0.2,0.2,0.096568,1776318607000
1776318608.903,8.903,0.61,50.0,0.51,50.0,0.64,3.33,0.74,5.0,0.31,5.0,0.27,450.0,0.51,10.0,0.59,50.0,0.03,0.2,0.096568,1776318607000
1776318609.448,9.448,0.61,50.0,0.51,50.0,0.74,5.0,0.75,600.0,0.26,5.0,0.25,600.0,0.39,50.0,0.49,50.0,0.13,0.13,0.096571,1776318608000
