timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,doge_price,doge_oracle_ts
1776172501.462,1.462,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.51,5.1,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.49,5.1,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.04,0.04,0.094447,1776172500000
1776172502.211,2.211,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.51,5.1,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.49,5.1,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.04,0.04,0.094445,1776172501000
1776172503.792,3.792,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.51,5.1,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.49,5.1,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.04,0.04,0.094419,1776172502000
1776172504.396,4.396,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.51,5.1,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.49,5.1,0.47,6.0,0.41,13.0,0.4,8.0,0.39,8.0,0.53,6.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.04,0.04,0.094416,1776172503000
1776172505.214,5.214,0.35,14.0,0.31,425.0,0.27,450.0,0.25,600.0,0.21,800.0,0.53,6.0,0.57,11.0,0.61,50.0,0.69,375.0,0.71,50.0,0.47,6.0,0.43,11.0,0.39,50.0,0.31,375.0,0.29,50.0,0.65,14.0,0.69,425.0,0.73,450.0,0.75,600.0,0.79,800.0,0.18,0.18,0.094413,1776172504000
1776172506.468,6.468,0.32,5.0,0.27,450.0,0.26,19.0,0.25,600.0,0.21,800.0,0.42,2.61,0.48,9.0,0.51,50.0,0.53,6.0,0.61,50.0,0.47,6.0,0.43,11.0,0.39,50.0,0.31,375.0,0.29,50.0,0.65,14.0,0.69,425.0,0.73,450.0,0.75,600.0,0.79,800.0,0.1,0.18,0.094413,1776172504000
1776172506.972,6.972,0.32,3.52,0.27,450.0,0.25,600.0,0.24,20.0,0.23,10.0,0.43,5.0,0.47,10.0,0.48,19.0,0.49,10.0,0.5,10.0,0.58,2.61,0.52,9.0,0.49,50.0,0.47,6.0,0.39,50.0,0.68,5.0,0.73,450.0,0.74,19.0,0.75,600.0,0.79,800.0,0.11,0.1,0.094417,1776172505000
1776172507.438,7.438,0.32,3.52,0.27,450.0,0.25,600.0,0.24,20.0,0.23,10.0,0.43,5.0,0.47,10.0,0.48,19.0,0.49,10.0,0.5,10.0,0.57,5.0,0.53,10.0,0.52,19.0,0.51,10.0,0.5,10.0,0.68,3.52,0.73,450.0,0.75,600.0,0.76,20.0,0.77,10.0,0.11,0.11,0.094417,1776172506000
1776172508.384,8.384,0.32,3.52,0.27,450.0,0.25,600.0,0.24,20.0,0.23,10.0,0.43,5.0,0.47,10.0,0.48,19.0,0.49,10.0,0.5,10.0,0.57,5.0,0.53,10.0,0.52,19.0,0.51,10.0,0.5,10.0,0.68,3.52,0.73,450.0,0.75,600.0,0.76,20.0,0.77,10.0,0.11,0.11,0.094412,1776172507000
1776172508.997,8.997,0.32,3.52,0.27,450.0,0.25,600.0,0.24,20.0,0.23,10.0,0.43,5.0,0.47,10.0,0.48,19.0,0.49,10.0,0.5,10.0,0.57,5.0,0.53,10.0,0.52,19.0,0.51,10.0,0.5,10.0,0.68,3.52,0.73,450.0,0.75,600.0,0.76,20.0,0.77,10.0,0.11,0.11,0.094409,1776172508000
