timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776309300.506,0.506,0.41,37.0,0.4,33.0,0.5,6.0,0.59,37.0,0.5,6.0,0.48,5.0,0.53,25.0,0.54,78.0,0.09,0.03,0.096431,1776309299000
1776309301.35,1.35,0.41,37.0,0.4,33.0,0.5,6.0,0.59,37.0,0.5,6.0,0.41,37.0,0.59,37.0,0.6,33.0,0.09,0.09,0.096402,1776309300000
1776309304.987,4.987,0.49,5.0,0.48,5.0,0.5,1.0,0.51,50.0,0.5,6.0,0.41,37.0,0.59,37.0,0.6,33.0,0.01,0.09,0.096413,1776309303000
1776309305.839,5.839,0.49,5.0,0.48,5.0,0.58,5.0,0.59,5.0,0.5,1.0,0.49,50.0,0.51,5.0,0.52,5.0,0.09,0.01,0.096435,1776309304000
1776309314.343,14.343,0.57,5.0,0.56,5.0,0.62,1.93,0.63,5.0,0.42,5.0,0.41,5.0,0.51,5.0,0.52,5.0,0.05,0.09,0.096443,1776309312000
1776309316.878,16.878,0.57,2.11,0.56,5.0,0.59,10.0,0.6,5.0,0.38,1.93,0.37,5.0,0.43,5.0,0.44,5.0,0.02,0.05,0.096432,1776309315000
1776309317.334,17.334,0.6,5.0,0.59,5.0,0.63,10.0,0.64,5.0,0.41,10.0,0.4,5.0,0.43,2.11,0.44,5.0,0.03,0.02,0.096428,1776309316000
1776309319.364,19.364,0.63,5.0,0.62,5.0,0.65,5.0,0.66,5.0,0.37,10.0,0.36,5.0,0.4,5.0,0.41,5.0,0.02,0.03,0.096426,1776309318000
1776309320.175,20.175,0.68,5.0,0.67,5.0,0.7,5.0,0.71,5.0,0.35,5.0,0.34,5.0,0.37,5.0,0.38,5.0,0.02,0.02,0.096426,1776309318000
1776309322.107,22.107,0.71,5.0,0.7,5.0,0.73,5.0,0.74,5.0,0.3,5.0,0.29,5.0,0.32,5.0,0.33,5.0,0.02,0.02,0.096438,1776309321000
1776309322.899,22.899,0.71,5.0,0.7,5.0,0.72,3.43,0.73,5.0,0.27,5.0,0.26,5.0,0.29,5.0,0.3,5.0,0.01,0.02,0.096438,1776309321000
1776309323.262,23.262,0.72,5.0,0.71,5.0,0.74,9.51,0.75,5.0,0.28,3.43,0.27,5.0,0.29,5.0,0.3,5.0,0.02,0.01,0.096478,1776309322000
1776309326.221,26.221,0.81,5.0,0.8,5.0,0.83,1.42,0.84,5.0,0.26,9.51,0.25,5.0,0.28,5.0,0.29,5.0,0.02,0.02,0.09648,1776309324000
1776309326.641,26.641,0.77,5.0,0.76,5.0,0.8,5.0,0.81,55.0,0.17,10.0,0.16,15.0,0.22,5.0,0.23,5.0,0.03,0.05,0.096468,1776309325000
1776309350.402,50.402,0.78,5.0,0.77,5.0,0.8,1.0,0.81,5.0,0.2,5.0,0.19,55.0,0.23,5.0,0.24,5.0,0.02,0.03,0.096528,1776309349000
1776309351.419,51.419,0.78,5.0,0.77,5.0,0.8,1.0,0.81,21.89,0.2,1.0,0.19,5.0,0.22,5.0,0.23,5.0,0.02,0.02,0.09652,1776309350000
1776309355.271,55.271,0.76,5.0,0.75,5.0,0.79,15.7,0.8,21.75,0.2,1.0,0.19,21.89,0.22,5.0,0.23,5.0,0.03,0.02,0.096509,1776309354000
1776309357.267,57.267,0.79,30.0,0.78,5.0,0.8,0.55,0.83,18.39,0.21,15.7,0.2,21.75,0.24,5.0,0.25,5.0,0.01,0.03,0.096489,1776309355000
1776309359.205,59.205,0.79,5.0,0.78,25.0,0.85,20.39,0.86,21.6,0.2,0.55,0.17,18.39,0.21,30.0,0.22,5.0,0.06,0.01,0.096561,1776309358000
1776309361.28,61.28,0.84,3.75,0.83,5.0,0.85,25.39,0.86,26.6,0.15,20.39,0.14,21.6,0.21,5.0,0.22,25.0,0.01,0.06,0.09657,1776309359000
1776309381.883,81.883,0.73,1.51,0.72,5.0,0.84,19.3,0.85,20.39,0.15,25.39,0.14,26.6,0.16,3.75,0.17,5.0,0.11,0.01,0.096533,1776309380000
1776309383.322,83.322,0.68,10.0,0.66,5.0,0.7,5.0,0.71,5.0,0.16,19.3,0.15,20.39,0.27,1.51,0.28,5.0,0.02,0.11,0.096537,1776309382000
1776309384.891,84.891,0.7,5.0,0.69,5.0,0.71,2.0,0.72,5.0,0.3,5.0,0.29,5.0,0.32,10.0,0.33,5.0,0.01,0.02,0.096533,1776309383000
1776309391.484,91.484,0.68,5.0,0.66,5.0,0.7,5.0,0.71,5.0,0.29,0.45,0.28,5.0,0.3,5.0,0.31,5.0,0.02,0.01,0.096517,1776309390000
1776309393.146,93.146,0.61,5.0,0.6,5.0,0.69,5.0,0.7,5.0,0.3,5.0,0.29,5.0,0.32,5.0,0.35,5.0,0.08,0.02,0.096505,1776309392000
1776309394.369,94.369,0.63,5.0,0.62,5.0,0.65,2.87,0.66,5.0,0.35,2.87,0.31,5.0,0.38,5.0,0.39,5.0,0.02,0.03,0.096484,1776309393000
1776309397.453,97.453,0.69,5.0,0.68,5.0,0.71,17.6,0.72,17.9,0.35,2.87,0.34,5.0,0.37,5.0,0.38,5.0,0.02,0.02,0.096478,1776309396000
1776309417.454,117.454,0.54,5.0,0.53,5.0,0.56,5.0,0.57,5.0,0.29,17.6,0.28,17.9,0.31,5.0,0.32,5.0,0.02,0.02,0.096445,1776309416000
1776309422.586,122.586,0.58,5.0,0.57,5.0,0.6,10.8,0.61,15.9,0.44,5.0,0.43,5.0,0.47,5.0,0.48,5.0,0.02,0.03,0.09641,1776309420000
1776309423.212,123.212,0.57,5.0,0.56,5.0,0.6,15.8,0.61,15.9,0.4,10.8,0.39,15.9,0.42,5.0,0.43,5.0,0.03,0.02,0.096394,1776309422000
1776309428.611,128.611,0.36,5.0,0.35,5.0,0.38,5.0,0.39,5.0,0.4,15.8,0.39,15.9,0.43,5.0,0.44,5.0,0.02,0.03,0.096424,1776309427000
