timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776318301.028,1.028,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096487,1776318300000
1776318301.979,1.979,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096489,1776318301000
1776318303.034,3.034,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096492,1776318302000
1776318304.022,4.022,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096503,1776318303000
1776318305.029,5.029,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096498,1776318304000
1776318306.157,6.157,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096498,1776318305000
1776318307.241,7.241,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096478,1776318306000
1776318308.418,8.418,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096462,1776318307000
1776318308.896,8.896,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096462,1776318308000
1776318309.979,9.979,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096457,1776318309000
1776318310.706,10.706,0.36,10.0,0.32,6.0,0.45,0.36,0.5,5.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.09,0.18,0.096457,1776318309000
1776318325.675,25.675,0.27,25.13,0.26,10.0,0.46,5.0,0.47,5.0,0.55,0.36,0.5,5.0,0.64,10.0,0.68,6.0,0.19,0.09,0.096467,1776318324000
1776318347.351,47.351,0.39,6.0,0.38,5.0,0.55,3.52,0.56,10.0,0.54,5.0,0.53,5.0,0.73,25.13,0.74,10.0,0.16,0.19,0.096477,1776318346000
1776318350.267,50.267,0.38,7.74,0.31,50.0,0.49,5.0,0.5,5.0,0.45,3.52,0.44,10.0,0.61,6.0,0.62,5.0,0.11,0.16,0.096478,1776318348000
1776318363.683,63.683,0.66,15.0,0.59,5.0,0.69,1.75,0.7,5.0,0.51,5.0,0.5,5.0,0.62,7.74,0.69,50.0,0.03,0.11,0.096535,1776318362000
1776318364.446,64.446,0.66,0.29,0.59,5.0,0.7,5.0,0.71,62.6,0.31,1.75,0.3,5.0,0.34,15.0,0.41,5.0,0.04,0.03,0.096538,1776318363000
1776318368.358,68.358,0.66,1.14,0.59,5.0,0.7,5.0,0.73,13.2,0.3,5.0,0.29,62.6,0.34,0.29,0.41,5.0,0.04,0.04,0.096535,1776318367000
