timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776269402.568,2.568,0.45,6.0,0.33,300.0,0.48,5.0,0.52,10.0,0.52,5.0,0.41,37.0,0.59,37.0,0.6,33.0,0.03,0.07,0.094053,1776269401000
1776269407.08,7.08,0.47,5.0,0.46,5.0,0.49,5.0,0.5,43.0,0.52,5.0,0.48,10.0,0.55,6.0,0.67,300.0,0.02,0.03,0.094048,1776269405000
1776269417.384,17.384,0.45,1.0,0.41,5.0,0.46,10.0,0.47,11.0,0.51,5.0,0.5,43.0,0.53,5.0,0.54,5.0,0.01,0.02,0.094031,1776269416000
1776269417.772,17.772,0.41,5.0,0.4,5.0,0.46,10.0,0.47,11.0,0.54,10.0,0.53,11.0,0.55,1.0,0.59,5.0,0.05,0.01,0.094031,1776269416000
1776269424.247,24.247,0.47,5.0,0.46,5.0,0.5,43.0,0.51,5.0,0.54,10.0,0.53,11.0,0.59,5.0,0.6,5.0,0.03,0.05,0.094026,1776269423000
1776269428.159,28.159,0.48,5.0,0.47,5.0,0.5,38.0,0.52,15.0,0.5,43.0,0.49,5.0,0.53,5.0,0.54,5.0,0.02,0.03,0.094038,1776269427000
1776269429.53,29.53,0.48,5.0,0.47,5.0,0.5,38.0,0.51,5.0,0.5,38.0,0.48,15.0,0.52,5.0,0.53,5.0,0.02,0.02,0.094038,1776269428000
1776269429.85,29.85,0.47,5.0,0.46,5.0,0.49,2.95,0.5,43.0,0.5,38.0,0.49,5.0,0.52,5.0,0.53,5.0,0.02,0.02,0.094038,1776269428000
1776269430.725,30.725,0.46,5.0,0.45,11.0,0.49,2.95,0.5,43.0,0.51,2.95,0.5,43.0,0.53,5.0,0.54,5.0,0.03,0.02,0.094049,1776269429000
1776269450.83,50.83,0.49,10.0,0.48,5.0,0.5,33.0,0.52,10.0,0.51,2.95,0.5,43.0,0.54,5.0,0.55,11.0,0.01,0.03,0.094048,1776269449000
