timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776315011.484,11.484,0.6,5.0,0.52,10.0,0.78,10.0,0.79,10.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,0.096964,1776315010000
1776315024.52,24.52,0.65,2.14,0.64,5.0,0.71,50.0,0.72,5.0,0.22,10.0,0.21,10.0,0.4,5.0,0.48,10.0,0.06,0.18,0.096919,1776315023000
1776315025.499,25.499,0.64,5.0,0.56,10.0,0.71,50.0,0.72,5.0,0.29,50.0,0.28,5.0,0.35,2.14,0.36,5.0,0.07,0.06,0.096907,1776315024000
1776315036.965,36.965,0.54,2.54,0.48,10.0,0.64,5.0,0.71,50.0,0.29,50.0,0.28,5.0,0.36,5.0,0.44,10.0,0.1,0.07,0.09692,1776315035000
1776315048.439,48.439,0.57,5.0,0.5,10.0,0.66,10.0,0.71,50.0,0.36,5.0,0.29,50.0,0.46,2.54,0.52,10.0,0.09,0.1,0.096912,1776315047000
1776315061.533,61.533,0.38,11.0,0.37,11.2,0.61,35.0,0.63,5.42,0.34,10.0,0.29,50.0,0.43,5.0,0.5,10.0,0.23,0.09,0.096892,1776315060000
1776315067.966,67.966,0.41,35.27,0.4,10.8,0.54,5.0,0.6,10.8,0.39,35.0,0.37,5.42,0.62,6.12,0.63,11.2,0.13,0.23,0.096836,1776315066000
1776315076.173,76.173,0.41,24.57,0.39,10.9,0.51,5.0,0.52,5.0,0.46,5.0,0.4,10.8,0.59,35.27,0.6,10.8,0.1,0.13,0.096856,1776315074000
1776315080.991,80.991,0.41,17.62,0.38,11.0,0.47,10.0,0.54,10.5,0.49,5.0,0.48,5.0,0.59,24.57,0.61,10.9,0.06,0.1,0.096841,1776315079000
1776315099.094,99.094,0.41,15.5,0.36,5.0,0.46,5.0,0.47,5.0,0.53,10.0,0.46,10.5,0.59,17.62,0.62,11.0,0.05,0.06,0.096841,1776315097000
1776315101.073,101.073,0.41,15.5,0.36,5.0,0.46,2.8,0.47,5.0,0.54,5.0,0.53,5.0,0.59,15.5,0.64,5.0,0.05,0.05,0.096817,1776315099000
1776315102.886,102.886,0.48,62.5,0.41,15.5,0.5,4.9,0.54,10.5,0.54,2.8,0.53,5.0,0.59,15.5,0.64,5.0,0.02,0.05,0.096817,1776315101000
1776315103.575,103.575,0.48,53.15,0.41,15.5,0.49,5.0,0.5,5.0,0.5,4.9,0.46,10.5,0.52,62.5,0.59,15.5,0.01,0.02,0.096817,1776315102000
1776315106.557,106.557,0.48,43.71,0.41,15.5,0.49,5.0,0.5,5.0,0.51,5.0,0.5,5.0,0.52,53.15,0.59,15.5,0.01,0.01,0.096835,1776315105000
1776315110.453,110.453,0.48,37.98,0.41,15.5,0.49,5.0,0.5,5.0,0.51,5.0,0.5,5.0,0.52,43.71,0.59,15.5,0.01,0.01,0.096832,1776315109000
1776315111.932,111.932,0.52,25.06,0.41,20.5,0.55,10.5,0.56,10.6,0.51,5.0,0.5,5.0,0.52,37.98,0.59,15.5,0.03,0.01,0.096832,1776315110000
1776315112.24,112.24,0.52,20.06,0.41,20.5,0.54,5.0,0.55,10.5,0.45,10.5,0.44,10.6,0.48,25.06,0.59,20.5,0.02,0.03,0.09683,1776315111000
1776315112.452,112.452,0.52,8.37,0.41,20.5,0.54,5.0,0.55,10.5,0.46,5.0,0.45,10.5,0.48,20.06,0.59,20.5,0.02,0.02,0.09683,1776315111000
1776315113.136,113.136,0.52,3.91,0.41,20.5,0.54,5.0,0.55,10.5,0.46,5.0,0.45,10.5,0.48,8.37,0.59,20.5,0.02,0.02,0.096833,1776315112000
1776315117.237,117.237,0.41,15.5,0.33,5.0,0.54,10.5,0.55,10.5,0.46,5.0,0.45,10.5,0.48,3.91,0.59,20.5,0.13,0.02,0.096831,1776315116000
