timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,doge_price,doge_oracle_ts
1776313800.927,0.927,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097633,1776313800000
1776313801.945,1.945,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097626,1776313801000
1776313803.027,3.027,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097606,1776313802000
1776313803.876,3.876,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097622,1776313803000
1776313805.396,5.396,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097624,1776313804000
1776313806.301,6.301,0.41,37.0,0.4,33.0,0.46,60.92,0.59,37.0,0.54,60.92,0.41,37.0,0.59,37.0,0.6,33.0,0.05,0.05,0.097623,1776313805000
1776313806.721,6.721,0.41,50.0,0.31,50.0,0.46,75.7,0.53,6.38,0.54,80.7,0.47,6.38,0.69,50.0,0.73,450.0,0.05,0.15,0.097623,1776313805000
1776313806.97,6.97,0.41,50.0,0.31,50.0,0.46,25.7,0.53,6.38,0.54,75.7,0.47,6.38,0.59,50.0,0.69,50.0,0.05,0.05,0.097623,1776313805000
1776313807.247,7.247,0.41,50.0,0.31,50.0,0.47,57.07,0.53,6.38,0.53,57.07,0.47,6.38,0.59,50.0,0.69,50.0,0.06,0.06,0.097623,1776313806000
1776313807.532,7.532,0.31,50.0,0.25,600.0,0.47,52.07,0.53,6.38,0.53,57.07,0.47,6.38,0.59,50.0,0.69,50.0,0.16,0.06,0.097623,1776313806000
1776313808.399,8.399,0.31,50.0,0.25,600.0,0.47,52.07,0.53,6.38,0.53,52.07,0.47,6.38,0.69,50.0,0.75,600.0,0.16,0.16,0.097619,1776313807000
1776313810.111,10.111,0.31,50.0,0.25,600.0,0.47,52.07,0.53,6.38,0.53,52.07,0.47,6.38,0.69,50.0,0.75,600.0,0.16,0.16,0.09767,1776313808000
1776313810.76,10.76,0.31,50.0,0.25,600.0,0.47,52.07,0.53,6.38,0.53,52.07,0.47,6.38,0.69,50.0,0.75,600.0,0.16,0.16,0.097614,1776313809000
1776313812.957,12.957,0.3,20.0,0.27,10.0,0.41,45.0,0.43,5.0,0.53,52.07,0.47,6.38,0.69,50.0,0.75,600.0,0.11,0.16,0.097596,1776313811000
1776313814.984,14.984,0.3,15.0,0.27,10.0,0.41,45.0,0.46,5.0,0.59,45.0,0.57,5.0,0.7,20.0,0.73,10.0,0.11,0.11,0.097596,1776313813000
1776313815.421,15.421,0.28,13.5,0.27,10.0,0.41,45.0,0.46,5.0,0.59,45.0,0.54,5.0,0.7,15.0,0.73,10.0,0.13,0.11,0.097596,1776313813000
1776313820.26,20.26,0.13,20.0,0.12,10.0,0.23,5.0,0.26,5.0,0.59,45.0,0.54,5.0,0.72,13.5,0.73,10.0,0.1,0.13,0.09753,1776313818000
1776313820.801,20.801,0.16,5.0,0.13,20.0,0.23,0.47,0.26,5.0,0.77,5.0,0.74,5.0,0.87,20.0,0.88,10.0,0.07,0.1,0.097498,1776313819000
1776313822.085,22.085,0.11,102.47,0.1,10.0,0.23,0.47,0.26,5.0,0.77,0.47,0.74,5.0,0.84,3.65,0.87,20.0,0.12,0.07,0.097478,1776313820000
1776313828.095,28.095,0.11,92.47,0.06,70.0,0.18,18.66,0.21,50.0,0.77,0.47,0.74,5.0,0.89,102.47,0.9,10.0,0.07,0.12,0.097492,1776313827000
1776313836.198,36.198,0.16,14.03,0.15,20.39,0.18,5.0,0.21,50.0,0.82,18.66,0.79,50.0,0.89,92.47,0.94,70.0,0.02,0.07,0.09746,1776313835000
1776313836.645,36.645,0.16,9.03,0.15,20.39,0.17,20.0,0.21,50.0,0.82,5.0,0.79,50.0,0.84,14.03,0.85,20.39,0.01,0.02,0.09746,1776313835000
1776313837.068,37.068,0.15,15.39,0.14,21.6,0.16,20.0,0.17,5.0,0.83,20.0,0.79,50.0,0.84,9.03,0.85,20.39,0.01,0.01,0.09746,1776313835000
1776313837.448,37.448,0.15,10.39,0.14,21.6,0.17,25.0,0.21,50.0,0.84,20.0,0.83,5.0,0.85,15.39,0.86,21.6,0.02,0.01,0.097466,1776313836000
1776313843.463,43.463,0.19,9.16,0.18,17.6,0.23,25.47,0.29,20.0,0.83,25.0,0.79,50.0,0.85,10.39,0.86,21.6,0.04,0.02,0.097413,1776313842000
1776313853.571,53.571,0.2,10.09,0.19,16.89,0.23,0.47,0.25,10.0,0.77,25.47,0.71,20.0,0.81,9.16,0.82,17.6,0.03,0.04,0.097429,1776313852000
1776313855.184,55.184,0.22,3.66,0.21,15.7,0.23,0.47,0.28,25.0,0.77,0.47,0.75,10.0,0.8,6.09,0.81,16.89,0.01,0.03,0.097448,1776313854000
1776313882.098,82.098,0.14,21.6,0.13,23.0,0.21,48.15,0.23,0.47,0.77,0.47,0.72,25.0,0.78,3.66,0.79,15.7,0.07,0.01,0.09746,1776313880000
1776313885.021,85.021,0.14,9.97,0.13,23.0,0.21,48.15,0.22,5.16,0.79,48.15,0.77,0.47,0.86,21.6,0.87,23.0,0.07,0.07,0.097435,1776313883000
1776313892.395,92.395,0.09,15.18,0.08,35.29,0.11,50.0,0.13,10.16,0.79,48.15,0.78,5.16,0.86,9.97,0.87,23.0,0.02,0.07,0.09737,1776313891000
1776313894.432,94.432,0.08,35.29,0.07,39.9,0.11,50.0,0.13,10.16,0.89,50.0,0.87,10.16,0.91,15.18,0.92,35.29,0.03,0.02,0.097363,1776313893000
1776313904.88,104.88,0.05,44.17,0.04,122.7,0.1,22.23,0.11,60.16,0.89,50.0,0.87,10.16,0.92,35.29,0.93,39.9,0.05,0.03,0.09734,1776313903000
1776313919.025,119.025,0.07,39.9,0.06,46.1,0.1,7.23,0.11,50.0,0.9,22.23,0.89,60.16,0.95,44.17,0.96,122.7,0.03,0.05,0.097382,1776313917000
1776313923.531,123.531,0.07,3.92,0.04,72.7,0.09,10.16,0.1,36.13,0.9,7.23,0.89,50.0,0.93,39.9,0.94,46.1,0.02,0.03,0.09735,1776313922000
1776313924.579,124.579,0.04,72.7,0.03,94.3,0.09,36.7,0.1,36.13,0.91,10.16,0.9,36.13,0.93,3.92,0.96,72.7,0.05,0.02,0.09735,1776313923000
