timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776164400.595,0.595,0.52,0.08,0.51,12.31,0.5,23.0,0.46,100.0,0.45,5.0,0.54,100.0,0.55,5.0,0.56,10.0,0.6,13.0,0.61,8.0,0.46,100.0,0.45,5.0,0.44,10.0,0.4,13.0,0.39,8.0,0.47,5.08,0.48,5.0,0.49,12.31,0.5,23.0,0.54,100.0,0.02,0.01,2375.711485,1776164399000
1776164400.875,0.875,0.44,5.0,0.4,13.0,0.39,8.0,0.38,8.0,0.37,259.0,0.47,85.0,0.48,80.0,0.49,70.0,0.51,10.0,0.55,5.0,0.46,100.0,0.45,5.0,0.44,10.0,0.4,13.0,0.39,8.0,0.54,100.0,0.55,5.0,0.56,10.0,0.6,13.0,0.61,8.0,0.03,0.08,2375.711485,1776164399000
1776164401.148,1.148,0.4,5.0,0.37,70.0,0.36,83.89,0.35,70.0,0.33,300.0,0.44,5.0,0.47,67.0,0.48,80.0,0.49,70.0,0.51,10.0,0.53,67.0,0.52,80.0,0.51,70.0,0.49,10.0,0.45,5.0,0.6,13.0,0.61,8.0,0.62,8.0,0.63,259.0,0.64,92.89,0.04,0.07,2375.711485,1776164399000
1776164401.381,1.381,0.4,5.0,0.37,70.0,0.36,83.89,0.35,70.0,0.33,300.0,0.44,5.0,0.47,67.0,0.48,80.0,0.49,70.0,0.51,10.0,0.56,5.0,0.53,67.0,0.52,80.0,0.51,70.0,0.49,10.0,0.6,5.0,0.63,70.0,0.64,83.89,0.65,70.0,0.67,300.0,0.04,0.04,2375.68433,1776164400000
1776164402.067,2.067,0.37,92.0,0.36,132.89,0.35,91.0,0.33,300.0,0.31,375.0,0.41,5.0,0.42,33.0,0.43,26.0,0.44,5.0,0.46,9.0,0.56,5.0,0.53,67.0,0.52,80.0,0.51,70.0,0.49,10.0,0.6,5.0,0.63,70.0,0.64,83.89,0.65,70.0,0.67,300.0,0.04,0.04,2375.68433,1776164400000
1776164402.435,2.435,0.4,4.75,0.36,13.89,0.33,329.0,0.31,375.0,0.28,70.0,0.41,93.0,0.42,33.0,0.43,8.0,0.44,5.0,0.48,10.0,0.59,5.0,0.58,33.0,0.57,26.0,0.56,5.0,0.54,9.0,0.63,92.0,0.64,132.89,0.65,91.0,0.67,300.0,0.69,375.0,0.01,0.04,2375.6842,1776164401000
1776164402.667,2.667,0.33,243.89,0.31,375.0,0.27,450.0,0.26,84.0,0.25,647.0,0.37,7.93,0.4,8.0,0.41,168.0,0.42,22.0,0.44,5.0,0.59,93.0,0.58,33.0,0.57,8.0,0.56,5.0,0.52,10.0,0.6,4.75,0.64,13.89,0.67,329.0,0.69,375.0,0.72,70.0,0.04,0.01,2375.6842,1776164401000
1776164402.902,2.902,0.33,234.93,0.31,375.0,0.29,70.0,0.27,520.0,0.26,84.0,0.36,2.81,0.38,140.0,0.4,8.0,0.44,5.0,0.45,18.0,0.63,7.93,0.6,8.0,0.59,168.0,0.58,22.0,0.56,5.0,0.67,234.93,0.69,375.0,0.73,450.0,0.74,84.0,0.75,647.0,0.03,0.04,2375.6842,1776164401000
1776164403.357,3.357,0.31,375.0,0.29,70.0,0.27,520.0,0.26,14.0,0.25,621.0,0.38,127.35,0.4,8.0,0.44,5.0,0.45,18.0,0.46,21.0,0.66,5.0,0.62,140.0,0.6,8.0,0.59,202.0,0.56,5.0,0.67,224.93,0.69,375.0,0.71,70.0,0.73,520.0,0.74,84.0,0.07,0.01,2375.6842,1776164401000
1776164403.811,3.811,0.32,5.0,0.31,437.76,0.29,80.0,0.28,21.0,0.27,541.0,0.41,58.0,0.42,70.0,0.43,121.0,0.44,5.0,0.45,18.0,0.62,70.0,0.59,8.0,0.56,5.0,0.55,18.0,0.54,21.0,0.69,367.76,0.71,70.0,0.72,21.0,0.73,520.0,0.74,14.0,0.09,0.07,2375.6842,1776164401000
1776164404.11,4.11,0.32,5.0,0.31,437.76,0.3,25.0,0.29,101.0,0.28,21.0,0.37,94.0,0.39,21.0,0.4,21.0,0.41,48.0,0.42,91.0,0.63,94.0,0.61,21.0,0.6,31.0,0.59,48.0,0.58,91.0,0.68,5.0,0.69,437.76,0.7,25.0,0.71,101.0,0.72,21.0,0.05,0.05,2375.027475,1776164403000
1776164404.338,4.338,0.31,457.01,0.3,35.0,0.29,70.0,0.28,21.0,0.27,541.0,0.35,38.0,0.36,10.0,0.38,95.0,0.39,57.0,0.4,36.0,0.63,94.0,0.61,21.0,0.6,31.0,0.59,48.0,0.58,91.0,0.68,5.0,0.69,437.76,0.7,25.0,0.71,101.0,0.72,21.0,0.04,0.05,2375.027475,1776164403000
1776164404.648,4.648,0.31,474.56,0.3,40.0,0.29,70.0,0.28,31.0,0.27,551.0,0.32,10.0,0.33,10.0,0.34,10.0,0.35,35.0,0.36,40.0,0.65,38.0,0.64,10.0,0.62,95.0,0.61,57.0,0.6,36.0,0.69,457.01,0.7,35.0,0.71,70.0,0.72,21.0,0.73,541.0,0.01,0.04,2375.027475,1776164403000
1776164405.185,5.185,0.31,474.56,0.3,40.0,0.29,70.0,0.28,31.0,0.27,551.0,0.32,10.0,0.33,10.0,0.34,10.0,0.35,35.0,0.36,40.0,0.68,10.0,0.67,10.0,0.66,10.0,0.65,35.0,0.64,40.0,0.69,474.56,0.7,40.0,0.71,70.0,0.72,31.0,0.73,551.0,0.01,0.01,2374.68843,1776164404000
1776164405.468,5.468,0.31,92.0,0.3,40.0,0.29,70.0,0.28,21.0,0.27,541.0,0.33,7.27,0.34,10.0,0.35,35.0,0.36,40.0,0.37,37.0,0.68,5.0,0.67,10.0,0.66,10.0,0.65,35.0,0.64,40.0,0.69,87.0,0.7,40.0,0.71,70.0,0.72,21.0,0.73,541.0,0.02,0.01,2374.68843,1776164404000
1776164406.192,6.192,0.33,92.67,0.32,44.0,0.31,60.0,0.3,10.0,0.29,40.0,0.35,4.0,0.37,6.0,0.4,5.0,0.44,10.0,0.45,18.0,0.66,10.0,0.65,25.0,0.64,20.0,0.63,10.0,0.62,42.0,0.67,11.33,0.68,44.0,0.69,90.0,0.7,10.0,0.71,80.0,0.02,0.01,2374.68843,1776164404000
1776164406.409,6.409,0.4,64.51,0.39,187.55,0.38,37.0,0.37,10.0,0.36,60.0,0.43,15.0,0.44,10.0,0.45,54.0,0.46,35.0,0.47,10.0,0.59,25.9,0.57,31.33,0.56,35.0,0.55,54.0,0.54,10.0,0.6,55.01,0.61,84.55,0.62,10.0,0.63,10.0,0.64,60.0,0.03,0.01,2374.691621,1776164405000
1776164406.632,6.632,0.42,8.46,0.41,20.0,0.4,74.51,0.39,176.55,0.38,27.69,0.43,10.0,0.44,20.0,0.45,33.0,0.46,35.0,0.47,35.0,0.57,5.0,0.56,15.0,0.55,28.0,0.54,35.0,0.53,35.0,0.58,2.97,0.59,20.0,0.6,75.08,0.61,176.55,0.62,37.69,0.01,0.01,2374.691621,1776164405000
1776164406.933,6.933,0.41,9.14,0.4,97.0,0.39,149.55,0.38,27.69,0.37,15.0,0.42,10.0,0.43,15.0,0.44,15.0,0.45,28.0,0.46,15.0,0.57,15.0,0.56,20.0,0.55,28.0,0.54,10.0,0.53,35.0,0.59,34.57,0.6,101.5,0.61,149.55,0.62,27.69,0.63,15.0,0.01,0.02,2374.691621,1776164405000
1776164407.44,7.44,0.41,5.0,0.4,70.01,0.39,69.55,0.38,38.69,0.37,37.0,0.43,25.2,0.44,44.0,0.45,28.0,0.46,15.0,0.47,10.0,0.57,9.88,0.56,10.0,0.55,28.0,0.54,15.0,0.53,35.0,0.59,19.14,0.6,97.0,0.61,149.55,0.62,27.69,0.63,10.0,0.02,0.02,2374.712675,1776164406000
1776164407.719,7.719,0.4,70.01,0.39,69.55,0.38,28.69,0.37,27.0,0.36,138.45,0.42,8.17,0.43,25.2,0.44,44.0,0.45,28.0,0.46,20.0,0.58,3.17,0.57,25.2,0.56,44.0,0.55,28.0,0.54,20.0,0.59,5.0,0.6,70.01,0.61,69.55,0.62,28.69,0.63,27.0,0.02,0.01,2374.712675,1776164406000
1776164408.021,8.021,0.42,4.43,0.41,21.0,0.4,70.01,0.39,79.55,0.38,38.69,0.43,35.2,0.44,39.0,0.45,28.0,0.46,20.0,0.47,10.0,0.57,30.2,0.56,39.0,0.55,28.0,0.54,20.0,0.53,10.0,0.58,10.64,0.6,70.01,0.61,74.55,0.62,38.69,0.63,37.0,0.01,0.01,2374.712675,1776164406000
1776164408.225,8.225,0.44,15.0,0.43,109.0,0.42,45.43,0.41,86.0,0.4,65.01,0.45,16.0,0.51,32.0,0.52,30.0,0.53,5.09,0.54,10.0,0.57,35.2,0.56,39.0,0.55,28.0,0.54,20.0,0.53,10.0,0.58,4.43,0.59,21.0,0.6,70.01,0.61,79.55,0.62,38.69,0.01,0.01,2374.712675,1776164406000
1776164408.453,8.453,0.44,20.0,0.43,125.0,0.42,40.43,0.41,91.0,0.4,65.01,0.45,6.0,0.49,5.0,0.5,9.0,0.51,32.0,0.52,10.0,0.55,16.0,0.49,32.0,0.48,30.0,0.47,5.09,0.46,10.0,0.56,15.0,0.57,109.0,0.58,45.43,0.59,86.0,0.6,65.01,0.01,0.01,2374.813547,1776164407000
1776164408.889,8.889,0.51,10.0,0.5,10.0,0.49,10.0,0.48,15.0,0.47,10.0,0.52,45.0,0.53,30.09,0.54,10.0,0.55,5.0,0.56,148.89,0.49,32.0,0.48,35.0,0.47,5.09,0.46,10.0,0.44,130.0,0.56,20.0,0.57,125.0,0.58,40.43,0.59,91.0,0.6,65.01,0.01,0.07,2374.813547,1776164407000
1776164409.325,9.325,0.51,10.0,0.5,10.0,0.49,10.0,0.48,15.0,0.47,10.0,0.52,45.0,0.53,30.09,0.54,10.0,0.55,5.0,0.56,148.89,0.48,45.0,0.47,30.09,0.46,10.0,0.45,5.0,0.44,148.89,0.49,10.0,0.5,10.0,0.51,10.0,0.52,15.0,0.53,10.0,0.01,0.01,2375.04856,1776164408000
1776164410.226,10.226,0.51,10.0,0.5,10.0,0.49,10.0,0.48,15.0,0.47,10.0,0.52,45.0,0.53,30.09,0.54,10.0,0.55,5.0,0.56,148.89,0.48,45.0,0.47,30.09,0.46,10.0,0.45,5.0,0.44,148.89,0.49,10.0,0.5,10.0,0.51,10.0,0.52,15.0,0.53,10.0,0.01,0.01,2375.25769,1776164409000
1776164410.554,10.554,0.51,15.0,0.5,15.0,0.49,10.0,0.48,15.0,0.47,10.0,0.53,61.7,0.54,137.0,0.55,36.0,0.56,200.89,0.57,10.0,0.48,22.61,0.47,61.09,0.46,108.0,0.45,36.0,0.44,200.89,0.49,25.5,0.5,10.0,0.51,10.0,0.52,15.0,0.53,10.0,0.02,0.01,2375.25769,1776164409000
1776164410.83,10.83,0.49,20.5,0.48,25.5,0.47,10.0,0.46,10.0,0.45,40.0,0.52,10.5,0.53,66.7,0.54,137.0,0.55,36.0,0.56,200.89,0.47,66.7,0.46,137.0,0.45,36.0,0.44,200.89,0.43,10.0,0.49,14.38,0.5,15.0,0.51,10.0,0.52,15.0,0.53,10.0,0.03,0.02,2375.25769,1776164409000
1776164411.231,11.231,0.49,20.5,0.48,25.5,0.47,10.0,0.46,10.0,0.45,40.0,0.52,10.5,0.53,66.7,0.54,137.0,0.55,36.0,0.56,200.89,0.48,10.5,0.47,66.7,0.46,137.0,0.45,36.0,0.44,200.89,0.51,20.5,0.52,25.5,0.53,10.0,0.54,10.0,0.55,40.0,0.03,0.03,2375.565265,1776164410000
1776164411.601,11.601,0.5,12.8,0.49,25.5,0.48,25.5,0.47,10.0,0.46,10.0,0.51,20.5,0.52,76.5,0.53,74.09,0.54,28.0,0.55,36.0,0.48,10.5,0.47,66.7,0.46,137.0,0.45,36.0,0.44,200.89,0.51,20.5,0.52,25.5,0.53,10.0,0.54,10.0,0.55,40.0,0.01,0.03,2375.565265,1776164410000
1776164412.089,12.089,0.5,15.6,0.49,20.5,0.48,25.5,0.47,10.0,0.46,10.0,0.51,20.5,0.52,58.5,0.53,74.09,0.54,28.0,0.55,36.0,0.49,20.5,0.48,76.5,0.47,74.09,0.46,28.0,0.45,36.0,0.5,12.8,0.51,25.5,0.52,25.5,0.53,10.0,0.54,10.0,0.01,0.01,2375.565265,1776164410000
1776164412.764,12.764,0.5,15.6,0.49,25.5,0.48,20.5,0.47,10.0,0.46,10.0,0.51,10.0,0.52,58.5,0.53,74.09,0.54,28.0,0.55,36.0,0.49,20.5,0.48,58.5,0.47,74.09,0.46,28.0,0.45,36.0,0.5,15.6,0.51,20.5,0.52,25.5,0.53,10.0,0.54,10.0,0.01,0.01,2375.597185,1776164411000
1776164413.025,13.025,0.49,25.5,0.48,25.5,0.47,10.0,0.46,10.0,0.45,54.0,0.51,15.29,0.52,58.5,0.53,74.09,0.54,28.0,0.55,36.0,0.49,20.0,0.48,58.5,0.47,74.09,0.46,28.0,0.45,36.0,0.5,7.92,0.51,25.5,0.52,25.5,0.53,10.0,0.54,10.0,0.02,0.01,2375.597185,1776164411000
1776164413.41,13.41,0.49,25.5,0.48,25.5,0.47,10.0,0.46,10.0,0.45,54.0,0.51,15.29,0.52,58.5,0.53,74.09,0.54,28.0,0.55,36.0,0.49,15.29,0.48,58.5,0.47,74.09,0.46,28.0,0.45,36.0,0.51,25.5,0.52,25.5,0.53,10.0,0.54,10.0,0.55,54.0,0.02,0.02,2375.58771,1776164412000
1776164413.656,13.656,0.49,0.57,0.48,30.5,0.47,10.0,0.46,23.0,0.45,54.0,0.5,25.0,0.51,25.5,0.52,43.5,0.53,48.09,0.54,28.0,0.5,25.0,0.49,25.5,0.48,43.5,0.47,48.09,0.46,28.0,0.51,7.73,0.52,30.5,0.53,10.0,0.54,23.0,0.55,54.0,0.01,0.01,2375.58771,1776164412000
1776164414.305,14.305,0.49,0.57,0.48,30.5,0.47,10.0,0.46,23.0,0.45,54.0,0.5,25.0,0.51,25.5,0.52,43.5,0.53,48.09,0.54,28.0,0.5,25.0,0.49,25.5,0.48,43.5,0.47,48.09,0.46,28.0,0.51,0.57,0.52,30.5,0.53,10.0,0.54,23.0,0.55,54.0,0.01,0.01,2375.581995,1776164413000
1776164414.758,14.758,0.49,28.5,0.48,30.5,0.47,10.0,0.46,28.0,0.45,54.0,0.5,20.0,0.51,25.5,0.52,43.5,0.53,48.09,0.54,28.0,0.5,25.0,0.49,25.5,0.48,43.5,0.47,48.09,0.46,28.0,0.51,0.57,0.52,30.5,0.53,10.0,0.54,23.0,0.55,54.0,0.01,0.01,2375.581995,1776164413000
1776164415.43,15.43,0.49,28.5,0.48,30.5,0.47,10.0,0.46,28.0,0.45,54.0,0.5,20.0,0.51,25.5,0.52,43.5,0.53,48.09,0.54,28.0,0.5,20.0,0.49,25.5,0.48,43.5,0.47,48.09,0.46,28.0,0.51,28.5,0.52,30.5,0.53,10.0,0.54,28.0,0.55,54.0,0.01,0.01,2375.596375,1776164414000
1776164416.063,16.063,0.49,28.5,0.48,30.5,0.47,10.0,0.46,28.0,0.45,54.0,0.5,20.0,0.51,25.5,0.52,43.5,0.53,48.09,0.54,28.0,0.5,20.0,0.49,25.5,0.48,43.5,0.47,48.09,0.46,28.0,0.51,28.5,0.52,30.5,0.53,10.0,0.54,28.0,0.55,54.0,0.01,0.01,2375.57632,1776164415000
1776164416.298,16.298,0.46,15.41,0.45,33.0,0.44,48.0,0.43,119.09,0.42,45.43,0.48,20.5,0.49,51.5,0.5,58.5,0.51,25.5,0.52,32.5,0.51,56.5,0.5,58.5,0.49,25.5,0.48,32.5,0.47,33.18,0.53,4.91,0.54,20.5,0.55,33.0,0.56,48.0,0.57,119.09,0.02,0.02,2375.57632,1776164415000
1776164416.528,16.528,0.45,53.32,0.44,48.0,0.43,119.09,0.42,45.43,0.41,91.09,0.47,45.09,0.48,25.5,0.49,51.5,0.5,53.5,0.51,25.5,0.53,40.0,0.52,25.5,0.51,51.5,0.5,53.5,0.49,25.5,0.54,4.91,0.55,53.5,0.56,48.0,0.57,119.09,0.58,45.43,0.02,0.01,2375.57632,1776164415000
1776164416.99,16.99,0.46,12.5,0.45,47.5,0.44,48.0,0.43,119.09,0.42,41.0,0.47,10.09,0.48,25.5,0.49,41.5,0.5,53.5,0.51,25.5,0.53,37.96,0.52,25.5,0.51,51.5,0.5,53.5,0.49,25.5,0.54,10.5,0.55,53.32,0.56,53.0,0.57,119.09,0.58,41.0,0.01,0.01,2375.57632,1776164415000
1776164417.653,17.653,0.43,5.09,0.41,5.09,0.4,60.1,0.39,69.55,0.38,49.69,0.47,210.69,0.48,62.5,0.49,51.5,0.5,46.5,0.51,117.5,0.53,10.09,0.52,25.5,0.51,41.5,0.5,53.5,0.49,25.5,0.54,12.5,0.55,47.5,0.56,48.0,0.57,119.09,0.58,41.0,0.04,0.01,2375.57632,1776164415000
1776164418.099,18.099,0.4,49.1,0.39,69.55,0.38,17.69,0.36,21.45,0.35,38.09,0.41,157.32,0.42,35.0,0.43,10.0,0.44,15.0,0.45,85.0,0.59,14.82,0.56,10.0,0.55,80.0,0.54,90.5,0.53,192.69,0.6,60.1,0.61,69.55,0.62,44.69,0.63,117.0,0.64,92.45,0.01,0.01,2375.57632,1776164415000
1776164418.299,18.299,0.39,62.17,0.38,117.69,0.37,100.0,0.36,133.45,0.35,105.09,0.4,20.5,0.41,352.42,0.42,43.0,0.43,40.0,0.44,145.0,0.59,357.42,0.58,43.0,0.57,40.0,0.56,145.0,0.55,180.0,0.61,69.55,0.62,117.69,0.63,100.0,0.64,108.45,0.65,105.09,0.01,0.02,2375.57632,1776164415000
1776164418.567,18.567,0.39,36.0,0.38,117.69,0.37,100.0,0.36,108.45,0.35,130.09,0.4,272.5,0.41,208.42,0.42,135.0,0.43,140.0,0.44,145.0,0.6,20.5,0.59,352.42,0.58,43.0,0.57,40.0,0.56,145.0,0.61,62.17,0.62,117.69,0.63,100.0,0.64,133.45,0.65,105.09,0.01,0.01,2375.57632,1776164415000
1776164419.395,19.395,0.39,26.0,0.38,117.69,0.37,100.0,0.36,108.45,0.35,130.09,0.4,267.5,0.41,208.42,0.42,135.0,0.43,140.0,0.44,145.0,0.6,267.5,0.59,208.42,0.58,135.0,0.57,140.0,0.56,145.0,0.61,26.0,0.62,117.69,0.63,100.0,0.64,108.45,0.65,130.09,0.01,0.01,2375.434385,1776164418000
1776164419.978,19.978,0.39,27.03,0.38,117.69,0.37,100.0,0.36,108.45,0.35,200.09,0.4,247.5,0.41,183.42,0.42,140.0,0.43,145.0,0.44,150.0,0.6,277.5,0.59,208.42,0.58,140.0,0.57,145.0,0.56,150.0,0.61,20.85,0.62,117.69,0.63,100.0,0.64,118.95,0.65,200.09,0.01,0.01,2375.434385,1776164418000
