timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776164701.489,1.489,0.51,5.0,0.5,5.0,0.46,100.0,0.45,5.0,0.44,80.0,0.54,122.77,0.55,75.0,0.56,80.0,0.67,300.0,0.69,375.0,0.46,127.77,0.45,75.0,0.44,80.0,0.43,6.0,0.33,300.0,0.49,5.0,0.5,5.0,0.54,100.0,0.55,5.0,0.56,80.0,0.03,0.03,2376.60004,1776164699000
1776164701.863,1.863,0.51,5.0,0.5,5.0,0.46,100.0,0.45,5.0,0.44,80.0,0.54,122.77,0.55,75.0,0.56,80.0,0.67,300.0,0.69,375.0,0.48,96.0,0.47,30.0,0.46,75.0,0.45,80.0,0.44,85.0,0.49,5.0,0.5,5.0,0.54,18.0,0.55,36.0,0.56,85.0,0.03,0.01,2376.62132,1776164700000
1776164702.125,2.125,0.51,2.75,0.5,5.0,0.46,18.0,0.45,31.0,0.44,85.0,0.52,96.0,0.53,30.0,0.54,75.0,0.55,75.0,0.56,85.0,0.48,96.0,0.47,30.0,0.46,75.0,0.45,80.0,0.44,85.0,0.49,5.0,0.5,5.0,0.54,18.0,0.55,36.0,0.56,85.0,0.01,0.01,2376.62132,1776164700000
1776164702.339,2.339,0.51,2.75,0.5,5.0,0.46,18.0,0.45,31.0,0.44,85.0,0.52,80.8,0.53,30.0,0.54,75.0,0.55,75.0,0.56,90.0,0.48,96.0,0.47,30.0,0.46,75.0,0.45,75.0,0.44,85.0,0.49,2.75,0.5,5.0,0.54,18.0,0.55,31.0,0.56,85.0,0.01,0.01,2376.61353,1776164701000
1776164703.055,3.055,0.51,2.75,0.5,5.0,0.46,18.0,0.45,31.0,0.44,85.0,0.52,80.8,0.53,30.0,0.54,75.0,0.55,75.0,0.56,90.0,0.48,80.8,0.47,30.0,0.46,75.0,0.45,75.0,0.44,90.0,0.49,2.75,0.5,5.0,0.54,18.0,0.55,31.0,0.56,85.0,0.01,0.01,2376.520085,1776164702000
1776164703.632,3.632,0.44,10.0,0.43,17.0,0.42,41.0,0.41,5.0,0.4,5.0,0.52,179.99,0.53,71.0,0.54,36.0,0.55,41.0,0.56,96.0,0.48,80.8,0.47,30.0,0.46,75.0,0.45,75.0,0.44,90.0,0.49,2.75,0.5,5.0,0.54,18.0,0.55,31.0,0.56,85.0,0.08,0.01,2376.520085,1776164702000
1776164704.067,4.067,0.4,42.0,0.39,32.0,0.38,75.0,0.37,75.0,0.36,125.0,0.45,84.0,0.46,45.0,0.47,15.0,0.48,85.0,0.49,85.0,0.48,179.99,0.47,71.0,0.46,36.0,0.45,41.0,0.44,96.0,0.56,10.0,0.57,17.0,0.58,41.0,0.59,5.0,0.6,5.0,0.05,0.08,2376.520085,1776164702000
1776164704.475,4.475,0.4,37.0,0.39,32.0,0.38,75.0,0.37,75.0,0.36,125.0,0.43,10.0,0.45,84.0,0.46,45.0,0.47,15.0,0.48,85.0,0.57,10.0,0.55,84.0,0.54,45.0,0.53,15.0,0.52,85.0,0.6,37.0,0.61,32.0,0.62,75.0,0.63,75.0,0.64,125.0,0.03,0.03,2376.49157,1776164703000
1776164704.915,4.915,0.4,26.23,0.39,32.0,0.38,75.0,0.37,75.0,0.36,125.0,0.41,10.0,0.42,10.0,0.43,26.0,0.44,36.0,0.45,30.0,0.59,10.0,0.58,10.0,0.57,26.0,0.56,36.0,0.55,30.0,0.6,26.23,0.61,32.0,0.62,75.0,0.63,75.0,0.64,125.0,0.01,0.01,2376.463915,1776164704000
1776164705.431,5.431,0.39,21.0,0.38,107.0,0.37,85.0,0.36,85.0,0.35,15.0,0.4,8.75,0.41,20.0,0.42,35.0,0.43,52.0,0.44,15.0,0.59,10.0,0.58,10.0,0.57,26.0,0.56,36.0,0.55,30.0,0.6,26.23,0.61,32.0,0.62,75.0,0.63,75.0,0.64,125.0,0.01,0.01,2376.463915,1776164704000
1776164705.652,5.652,0.39,24.28,0.38,107.0,0.37,85.0,0.36,85.0,0.35,15.0,0.4,18.75,0.41,20.0,0.42,35.0,0.43,52.0,0.44,15.0,0.6,8.75,0.59,20.0,0.58,35.0,0.57,52.0,0.56,15.0,0.61,36.0,0.62,107.0,0.63,85.0,0.64,85.0,0.65,15.0,0.01,0.01,2376.463915,1776164704000
