timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776167411.314,11.314,0.57,10.0,0.56,24.91,0.55,40.0,0.54,30.0,0.53,25.0,0.58,2.27,0.59,25.0,0.6,68.0,0.61,33.0,0.62,65.0,0.42,2.27,0.41,25.0,0.4,68.0,0.39,33.0,0.38,71.0,0.43,15.0,0.44,19.91,0.45,40.0,0.46,30.0,0.47,25.0,0.01,0.01,2376.610855,1776167410000
1776167411.599,11.599,0.57,25.5,0.56,29.91,0.55,40.0,0.54,25.0,0.53,25.0,0.58,15.5,0.59,20.0,0.6,63.0,0.61,33.0,0.62,65.0,0.42,2.27,0.41,25.0,0.4,68.0,0.39,33.0,0.38,71.0,0.43,15.0,0.44,19.91,0.45,40.0,0.46,30.0,0.47,25.0,0.01,0.01,2376.610855,1776167410000
1776167412.445,12.445,0.57,25.5,0.56,29.91,0.55,40.0,0.54,25.0,0.53,25.0,0.58,13.24,0.59,15.0,0.6,63.0,0.61,33.0,0.62,65.0,0.42,13.24,0.41,15.0,0.4,63.0,0.39,33.0,0.38,65.0,0.43,25.5,0.44,29.91,0.45,40.0,0.46,25.0,0.47,25.0,0.01,0.01,2376.657415,1776167411000
1776167412.975,12.975,0.59,19.82,0.58,40.5,0.57,40.5,0.56,29.91,0.55,45.0,0.6,68.5,0.61,54.5,0.62,65.0,0.63,25.0,0.64,48.89,0.4,68.5,0.39,54.5,0.38,65.0,0.37,25.0,0.36,48.89,0.41,19.82,0.42,40.5,0.43,40.5,0.44,29.91,0.45,45.0,0.01,0.01,2376.662415,1776167412000
1776167414.109,14.109,0.59,19.82,0.58,40.5,0.57,40.5,0.56,29.91,0.55,45.0,0.6,68.5,0.61,54.5,0.62,65.0,0.63,25.0,0.64,48.89,0.4,68.5,0.39,54.5,0.38,65.0,0.37,25.0,0.36,48.89,0.41,19.82,0.42,40.5,0.43,40.5,0.44,29.91,0.45,45.0,0.01,0.01,2376.66077,1776167413000
1776167414.684,14.684,0.62,40.0,0.61,45.5,0.6,40.5,0.59,45.32,0.58,55.5,0.63,25.46,0.64,102.39,0.65,25.0,0.66,100.0,0.67,35.0,0.4,68.5,0.39,54.5,0.38,65.0,0.37,25.0,0.36,48.89,0.41,19.82,0.42,40.5,0.43,40.5,0.44,29.91,0.45,45.0,0.01,0.01,2376.66077,1776167413000
1776167415.226,15.226,0.62,40.0,0.61,45.5,0.6,40.5,0.59,45.32,0.58,55.5,0.63,25.46,0.64,102.39,0.65,25.0,0.66,100.0,0.67,35.0,0.37,25.46,0.36,102.39,0.35,25.0,0.34,100.0,0.33,35.0,0.38,40.0,0.39,45.5,0.4,40.5,0.41,45.32,0.42,55.5,0.01,0.01,2376.714365,1776167414000
1776167415.7,15.7,0.62,32.68,0.61,45.5,0.6,40.5,0.59,45.32,0.58,64.12,0.63,17.46,0.64,115.39,0.65,25.0,0.66,100.0,0.67,35.0,0.37,25.46,0.36,102.39,0.35,25.0,0.34,100.0,0.33,35.0,0.38,40.0,0.39,45.5,0.4,40.5,0.41,45.32,0.42,55.5,0.01,0.01,2376.714365,1776167414000
1776167416.909,16.909,0.62,32.68,0.61,45.5,0.6,40.5,0.59,45.32,0.58,64.12,0.63,17.46,0.64,115.39,0.65,25.0,0.66,100.0,0.67,35.0,0.37,17.46,0.36,115.39,0.35,25.0,0.34,100.0,0.33,35.0,0.38,32.68,0.39,45.5,0.4,40.5,0.41,45.32,0.42,64.12,0.01,0.01,2376.791845,1776167416000
1776167417.143,17.143,0.62,32.68,0.61,35.5,0.6,40.5,0.59,45.32,0.58,44.12,0.64,125.39,0.65,25.0,0.66,100.0,0.67,35.0,0.68,25.0,0.37,17.46,0.36,115.39,0.35,25.0,0.34,100.0,0.33,35.0,0.38,32.68,0.39,45.5,0.4,40.5,0.41,45.32,0.42,64.12,0.02,0.01,2376.791845,1776167416000
