timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776263700.522,0.522,0.48,4.23,0.47,5.0,0.49,5.05,0.51,18.0,0.51,10.05,0.49,18.0,0.52,4.23,0.53,5.0,0.01,0.01,2336.7914,1776263699000
1776263700.756,0.756,0.47,3.65,0.46,8.0,0.51,13.0,0.54,5.0,0.49,13.0,0.46,155.0,0.52,4.23,0.53,5.0,0.04,0.03,2336.7914,1776263699000
1776263701.05,1.05,0.47,3.65,0.46,8.0,0.51,11.03,0.54,5.0,0.49,13.0,0.46,5.0,0.53,3.65,0.54,8.0,0.04,0.04,2336.7914,1776263699000
1776263701.367,1.367,0.5,85.0,0.49,201.0,0.54,5.0,0.59,5.0,0.49,9.06,0.46,5.0,0.53,3.65,0.54,8.0,0.04,0.04,2336.88414,1776263700000
1776263701.979,1.979,0.52,0.56,0.51,5.0,0.54,12.0,0.55,41.0,0.43,5.0,0.41,5.0,0.46,9.0,0.47,5.0,0.02,0.03,2336.88414,1776263700000
1776263702.251,2.251,0.52,0.56,0.51,5.0,0.54,12.0,0.55,41.0,0.46,12.0,0.45,41.0,0.48,0.56,0.49,5.0,0.02,0.02,2337.059689,1776263701000
1776263702.502,2.502,0.51,0.34,0.5,5.0,0.54,30.0,0.55,36.0,0.46,17.0,0.45,36.0,0.48,0.56,0.49,10.0,0.03,0.02,2337.059689,1776263701000
1776263702.721,2.721,0.5,5.0,0.49,117.0,0.53,2.33,0.54,25.0,0.47,2.33,0.46,25.0,0.49,0.34,0.5,10.0,0.03,0.02,2337.059689,1776263701000
1776263703.34,3.34,0.5,5.0,0.49,117.0,0.53,2.33,0.54,25.0,0.47,2.33,0.46,25.0,0.5,5.0,0.51,117.0,0.03,0.03,2337.3503,1776263702000
1776263703.823,3.823,0.46,27.88,0.45,115.0,0.47,10.0,0.48,14.47,0.52,14.47,0.51,20.0,0.53,12.65,0.54,26.0,0.01,0.01,2337.3503,1776263702000
1776263705.067,5.067,0.46,27.88,0.45,115.0,0.47,10.0,0.48,14.47,0.53,10.0,0.52,14.47,0.54,27.88,0.55,115.0,0.01,0.01,2336.916069,1776263704000
1776263705.68,5.68,0.46,25.78,0.45,70.0,0.47,150.0,0.48,155.0,0.53,175.0,0.52,201.47,0.54,17.88,0.55,10.0,0.01,0.01,2336.916069,1776263704000
1776263706.143,6.143,0.46,5.78,0.45,5.0,0.47,185.57,0.48,228.0,0.53,150.0,0.52,155.0,0.54,25.78,0.55,70.0,0.01,0.01,2336.916069,1776263704000
1776263706.383,6.383,0.43,5.0,0.42,5.0,0.45,10.0,0.46,60.0,0.53,114.0,0.52,142.0,0.56,6.05,0.57,5.0,0.02,0.03,2336.563044,1776263705000
1776263706.725,6.725,0.38,5.0,0.37,60.0,0.39,3.75,0.4,24.0,0.61,10.0,0.6,10.0,0.62,6.67,0.63,160.0,0.01,0.01,2336.563044,1776263705000
1776263707.304,7.304,0.37,0.14,0.36,173.89,0.38,15.0,0.39,3.75,0.61,3.75,0.6,24.0,0.63,5.0,0.64,173.89,0.01,0.02,2336.563044,1776263705000
1776263707.52,7.52,0.37,0.14,0.36,173.89,0.39,3.75,0.4,24.0,0.62,15.0,0.61,3.75,0.63,0.14,0.64,173.89,0.02,0.01,2336.45784,1776263706000
1776263708.034,8.034,0.37,0.14,0.36,173.89,0.39,3.75,0.4,24.0,0.61,3.75,0.6,24.0,0.63,0.14,0.64,173.89,0.02,0.02,2336.247491,1776263707000
1776263708.797,8.797,0.36,177.78,0.35,174.0,0.37,10.0,0.38,10.0,0.61,2.54,0.6,29.0,0.64,169.02,0.65,174.0,0.01,0.03,2336.247491,1776263707000
1776263708.999,8.999,0.36,177.78,0.35,174.0,0.4,53.72,0.41,104.0,0.63,10.0,0.62,10.0,0.64,177.78,0.65,174.0,0.04,0.01,2336.247491,1776263707000
1776263709.356,9.356,0.39,5.0,0.36,157.21,0.4,97.22,0.41,154.0,0.6,53.72,0.59,104.0,0.64,176.21,0.65,174.0,0.01,0.04,2335.539345,1776263708000
1776263709.731,9.731,0.39,2.8,0.37,50.0,0.4,137.22,0.41,164.0,0.6,137.22,0.59,164.0,0.61,5.0,0.63,50.0,0.01,0.01,2335.539345,1776263708000
1776263710.14,10.14,0.39,2.8,0.38,10.0,0.42,70.0,0.43,70.0,0.6,27.54,0.59,164.0,0.61,2.8,0.63,50.0,0.03,0.01,2335.539345,1776263708000
1776263710.403,10.403,0.38,2.8,0.37,65.0,0.4,15.0,0.41,23.0,0.58,70.0,0.57,70.0,0.61,2.8,0.62,10.0,0.02,0.03,2335.539345,1776263708000
1776263710.617,10.617,0.38,2.8,0.37,75.0,0.39,88.46,0.4,10.0,0.6,15.0,0.59,23.0,0.62,2.8,0.63,65.0,0.01,0.02,2335.602035,1776263709000
1776263710.961,10.961,0.38,2.8,0.37,65.0,0.39,83.46,0.4,10.0,0.61,83.46,0.6,10.0,0.62,2.8,0.63,65.0,0.01,0.01,2335.623093,1776263710000
1776263711.337,11.337,0.38,67.8,0.37,70.0,0.39,60.0,0.4,29.0,0.6,2.32,0.59,20.0,0.62,2.8,0.63,70.0,0.01,0.02,2335.623093,1776263710000
