timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776162601.614,1.614,0.5,19.65,0.46,100.0,0.45,5.0,0.4,11.0,0.37,180.0,0.51,5.05,0.54,100.0,0.55,5.0,0.6,13.0,0.61,14.0,0.49,5.05,0.46,100.0,0.45,5.0,0.4,13.0,0.39,14.0,0.5,19.65,0.54,100.0,0.55,5.0,0.6,11.0,0.63,180.0,0.01,0.01,2384.1556,1776162600000
1776162602.097,2.097,0.5,19.65,0.46,100.0,0.45,5.0,0.4,11.0,0.37,180.0,0.51,5.05,0.54,100.0,0.55,5.0,0.6,13.0,0.61,14.0,0.49,5.05,0.46,100.0,0.45,5.0,0.4,13.0,0.39,14.0,0.5,19.65,0.54,100.0,0.55,5.0,0.6,11.0,0.63,180.0,0.01,0.01,2384.16474,1776162601000
1776162603.292,3.292,0.5,19.65,0.46,100.0,0.45,5.0,0.4,11.0,0.37,180.0,0.51,5.05,0.54,100.0,0.55,5.0,0.6,13.0,0.61,14.0,0.49,5.05,0.46,100.0,0.45,5.0,0.4,13.0,0.39,14.0,0.5,19.65,0.54,100.0,0.55,5.0,0.6,11.0,0.63,180.0,0.01,0.01,2384.177606,1776162602000
1776162603.544,3.544,0.53,25.0,0.52,25.0,0.51,30.0,0.5,34.6,0.49,25.0,0.54,5.0,0.55,80.0,0.56,75.0,0.57,75.0,0.58,5.0,0.49,5.05,0.46,100.0,0.45,5.0,0.4,13.0,0.39,14.0,0.5,19.65,0.54,100.0,0.55,5.0,0.6,11.0,0.63,180.0,0.01,0.01,2384.177606,1776162602000
1776162605.019,5.019,0.53,25.0,0.52,25.0,0.51,30.0,0.5,34.6,0.49,25.0,0.54,5.0,0.55,80.0,0.56,75.0,0.57,75.0,0.58,5.0,0.46,5.0,0.45,80.0,0.44,75.0,0.43,75.0,0.42,5.0,0.47,25.0,0.48,25.0,0.49,30.0,0.5,34.6,0.51,25.0,0.01,0.01,2384.25098,1776162603000
1776162605.337,5.337,0.6,20.0,0.59,30.0,0.58,35.0,0.57,25.0,0.56,25.0,0.63,90.0,0.64,28.89,0.65,85.0,0.66,156.0,0.67,15.0,0.39,5.0,0.38,15.0,0.37,95.0,0.36,28.89,0.35,85.0,0.4,15.0,0.41,25.0,0.42,40.0,0.43,25.0,0.44,25.0,0.03,0.01,2384.25098,1776162603000
1776162605.663,5.663,0.62,10.0,0.61,10.0,0.6,20.0,0.59,35.0,0.58,35.0,0.63,88.39,0.64,33.89,0.65,90.0,0.66,156.0,0.67,15.0,0.37,90.0,0.36,28.89,0.35,85.0,0.34,156.0,0.33,15.0,0.4,20.0,0.41,30.0,0.42,35.0,0.43,25.0,0.44,25.0,0.01,0.03,2384.25098,1776162603000
1776162606.342,6.342,0.62,10.0,0.61,10.0,0.6,20.0,0.59,35.0,0.58,35.0,0.63,86.32,0.64,38.89,0.65,90.0,0.66,156.0,0.67,15.0,0.37,86.32,0.36,38.89,0.35,90.0,0.34,156.0,0.33,15.0,0.38,10.0,0.39,10.0,0.4,20.0,0.41,35.0,0.42,35.0,0.01,0.01,2384.338448,1776162605000
1776162606.609,6.609,0.62,15.0,0.61,10.0,0.6,40.0,0.59,30.0,0.58,35.0,0.63,73.63,0.64,38.89,0.65,90.0,0.66,135.0,0.67,15.0,0.37,86.32,0.36,38.89,0.35,90.0,0.34,156.0,0.33,15.0,0.38,10.0,0.39,10.0,0.4,20.0,0.41,35.0,0.42,35.0,0.01,0.01,2384.338448,1776162605000
1776162607.069,7.069,0.62,20.0,0.61,25.0,0.6,50.0,0.59,30.0,0.58,25.0,0.63,73.83,0.64,38.89,0.65,90.0,0.66,135.0,0.67,15.0,0.37,73.63,0.36,38.89,0.35,90.0,0.34,135.0,0.33,15.0,0.38,15.0,0.39,10.0,0.4,40.0,0.41,30.0,0.42,35.0,0.01,0.01,2384.338448,1776162605000
