timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776323400.93,0.93,0.51,5.0,0.49,1.84,0.53,15.0,0.54,15.0,0.47,15.0,0.46,15.0,0.49,5.0,0.51,1.84,0.02,0.02,2353.578618,1776323400000
1776323402.346,2.346,0.51,5.0,0.49,1.84,0.53,15.0,0.54,15.0,0.47,15.0,0.46,15.0,0.49,5.0,0.51,1.84,0.02,0.02,2353.565585,1776323401000
1776323402.563,2.563,0.51,3.32,0.5,75.0,0.52,11.06,0.53,13.0,0.48,11.06,0.47,13.0,0.49,6.63,0.5,75.0,0.01,0.01,2353.565585,1776323401000
1776323403.092,3.092,0.55,67.0,0.54,70.0,0.57,13.0,0.58,13.0,0.48,11.06,0.47,13.0,0.49,3.32,0.5,75.0,0.02,0.01,2353.565585,1776323401000
1776323403.557,3.557,0.55,67.0,0.54,70.0,0.57,13.0,0.58,13.0,0.43,13.0,0.42,13.0,0.45,67.0,0.46,70.0,0.02,0.02,2353.481665,1776323402000
1776323404.294,4.294,0.55,67.0,0.54,70.0,0.57,13.0,0.58,13.0,0.43,13.0,0.42,13.0,0.45,67.0,0.46,70.0,0.02,0.02,2353.560655,1776323403000
1776323404.837,4.837,0.56,5.0,0.55,77.0,0.57,13.0,0.58,13.0,0.43,13.0,0.42,13.0,0.45,67.0,0.46,70.0,0.01,0.02,2353.560655,1776323403000
1776323405.581,5.581,0.56,5.0,0.55,77.0,0.57,8.0,0.58,23.0,0.43,8.0,0.42,23.0,0.44,5.0,0.45,77.0,0.01,0.01,2353.722011,1776323404000
1776323405.867,5.867,0.56,3.33,0.55,77.0,0.57,5.0,0.58,28.0,0.43,8.0,0.42,23.0,0.44,5.0,0.45,77.0,0.01,0.01,2353.722011,1776323404000
1776323406.262,6.262,0.55,83.66,0.54,90.0,0.56,5.0,0.57,15.0,0.43,11.0,0.42,28.0,0.44,3.48,0.45,82.0,0.01,0.01,2353.722011,1776323404000
1776323407.499,7.499,0.55,83.66,0.54,95.56,0.56,8.21,0.57,15.0,0.44,8.21,0.43,15.0,0.45,83.66,0.46,95.56,0.01,0.01,2353.808552,1776323406000
