timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776381901.069,1.069,0.44,55.0,0.43,75.0,0.47,5.0,0.48,5.0,0.53,5.0,0.52,5.0,0.56,55.0,0.57,75.0,0.03,0.03,2351.292646,1776381900000
1776381901.613,1.613,0.45,60.0,0.44,55.0,0.47,15.0,0.48,5.0,0.53,15.0,0.52,5.0,0.55,65.0,0.56,55.0,0.02,0.02,2351.292646,1776381900000
1776381902.286,2.286,0.45,146.36,0.44,55.0,0.46,8.77,0.47,15.0,0.53,15.0,0.52,10.0,0.55,46.36,0.56,55.0,0.01,0.02,2351.291016,1776381901000
1776381902.974,2.974,0.45,128.17,0.44,55.0,0.46,8.77,0.47,15.0,0.54,8.77,0.53,15.0,0.55,146.36,0.56,55.0,0.01,0.01,2351.291016,1776381901000
1776381903.28,3.28,0.45,127.63,0.44,55.0,0.46,8.77,0.47,36.0,0.54,8.77,0.53,15.0,0.55,128.17,0.56,55.0,0.01,0.01,2351.291016,1776381901000
1776381903.536,3.536,0.45,108.87,0.44,55.0,0.46,18.77,0.47,25.0,0.54,8.77,0.53,36.0,0.55,112.42,0.56,55.0,0.01,0.01,2350.845762,1776381902000
1776381904.782,4.782,0.45,100.27,0.44,155.0,0.46,218.54,0.47,42.0,0.54,69.77,0.53,38.0,0.55,105.27,0.56,55.0,0.01,0.01,2350.725403,1776381903000
1776381905.82,5.82,0.45,98.27,0.44,100.0,0.46,223.54,0.47,42.0,0.54,218.54,0.53,42.0,0.55,100.27,0.56,155.0,0.01,0.01,2350.771395,1776381904000
1776381908.08,8.08,0.42,36.11,0.41,25.0,0.43,60.75,0.44,27.0,0.54,223.54,0.53,42.0,0.55,92.9,0.56,100.0,0.01,0.01,2350.600827,1776381906000
1776381909.512,9.512,0.42,89.05,0.41,90.0,0.43,15.0,0.44,12.0,0.57,60.75,0.56,27.0,0.58,34.05,0.59,25.0,0.01,0.01,2350.499461,1776381907000
