timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776375300.502,0.502,0.52,10.0,0.51,5.0,0.54,25.0,0.58,70.0,0.46,30.0,0.39,34.0,0.48,10.0,0.49,5.0,0.02,0.02,2342.67614,1776375299000
1776375300.727,0.727,0.52,10.0,0.51,34.41,0.54,20.0,0.58,70.0,0.46,25.0,0.42,70.0,0.48,10.0,0.49,5.0,0.02,0.02,2342.67614,1776375299000
1776375301.103,1.103,0.52,5.83,0.51,34.41,0.54,20.0,0.58,70.0,0.46,20.0,0.42,70.0,0.48,10.0,0.49,34.41,0.02,0.02,2342.67614,1776375299000
1776375302.021,2.021,0.53,61.0,0.52,183.47,0.54,10.0,0.55,200.0,0.46,15.0,0.42,70.0,0.48,5.83,0.49,34.41,0.01,0.02,2342.88631,1776375300000
1776375302.371,2.371,0.53,12.0,0.52,17.83,0.54,6.83,0.55,205.0,0.46,10.0,0.45,200.0,0.47,61.0,0.48,183.47,0.01,0.01,2342.88631,1776375300000
1776375302.919,2.919,0.53,4.32,0.52,10.83,0.54,12.6,0.55,214.0,0.46,2.6,0.45,214.0,0.47,1.32,0.48,5.83,0.01,0.01,2342.93136,1776375301000
1776375303.5,3.5,0.53,14.32,0.52,20.83,0.54,8.93,0.55,214.0,0.46,12.6,0.45,214.0,0.47,4.32,0.48,10.83,0.01,0.01,2342.93136,1776375301000
1776375304.358,4.358,0.53,10.06,0.52,20.83,0.54,5.26,0.55,214.0,0.46,5.26,0.45,214.0,0.47,14.32,0.48,20.83,0.01,0.01,2343.306713,1776375302000
1776375305.024,5.024,0.53,10.06,0.52,50.08,0.54,3.18,0.55,214.0,0.46,5.26,0.45,214.0,0.47,10.06,0.48,20.83,0.01,0.01,2343.385406,1776375303000
1776375305.696,5.696,0.53,10.06,0.52,50.08,0.55,212.18,0.56,90.0,0.46,3.18,0.45,214.0,0.47,10.06,0.48,50.08,0.02,0.01,2343.229653,1776375304000
1776375306.225,6.225,0.54,10.0,0.53,10.06,0.55,193.18,0.56,90.0,0.45,207.18,0.44,90.0,0.47,10.06,0.48,50.08,0.01,0.02,2343.229653,1776375304000
1776375307.496,7.496,0.54,10.0,0.53,15.06,0.55,191.18,0.56,90.0,0.45,193.18,0.44,90.0,0.46,10.0,0.47,10.06,0.01,0.01,2343.170144,1776375305000
1776375308.397,8.397,0.54,10.0,0.53,10.06,0.55,192.18,0.56,90.0,0.45,191.18,0.44,90.0,0.46,10.0,0.47,15.06,0.01,0.01,2343.17401,1776375306000
1776375311.446,11.446,0.54,10.0,0.53,25.56,0.55,217.49,0.56,75.0,0.45,192.18,0.44,90.0,0.46,10.0,0.47,10.06,0.01,0.01,2343.171558,1776375309000
1776375311.759,11.759,0.54,7.82,0.53,30.56,0.55,217.49,0.56,75.0,0.45,217.49,0.44,75.0,0.46,10.0,0.47,25.56,0.01,0.01,2343.149886,1776375310000
1776375312.009,12.009,0.54,7.82,0.53,30.56,0.55,212.03,0.56,75.0,0.45,217.49,0.44,75.0,0.46,7.82,0.47,30.56,0.01,0.01,2343.149886,1776375310000
1776375312.351,12.351,0.54,69.7,0.53,35.56,0.55,174.53,0.56,80.5,0.45,212.03,0.44,75.0,0.46,7.82,0.47,30.56,0.01,0.01,2343.149886,1776375310000
