timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776402900.99,0.99,0.55,173.68,0.54,10.0,0.6,10.0,0.61,6.0,0.4,10.0,0.39,6.0,0.45,173.68,0.46,10.0,0.05,0.05,2321.259522,1776402900000
1776402901.442,1.442,0.55,10.91,0.54,34.0,0.56,148.0,0.57,86.0,0.4,10.0,0.39,6.0,0.45,173.68,0.46,10.0,0.01,0.05,2321.259522,1776402900000
1776402901.854,1.854,0.53,24.91,0.52,155.15,0.56,140.0,0.57,86.0,0.44,148.0,0.43,86.0,0.45,10.91,0.46,34.0,0.03,0.01,2321.259522,1776402900000
1776402902.123,2.123,0.53,3.91,0.52,160.15,0.54,5.0,0.55,62.0,0.46,5.0,0.45,62.0,0.47,3.91,0.48,160.15,0.01,0.01,2321.286331,1776402901000
1776402902.366,2.366,0.53,8.91,0.52,155.15,0.54,49.0,0.55,25.81,0.46,5.0,0.45,62.0,0.47,3.91,0.48,160.15,0.01,0.01,2321.286331,1776402901000
1776402902.586,2.586,0.53,3.91,0.52,155.15,0.55,14.46,0.56,70.0,0.46,49.0,0.45,25.81,0.47,8.91,0.48,155.15,0.02,0.01,2321.286331,1776402901000
1776402903.025,3.025,0.54,83.18,0.53,3.91,0.55,12.46,0.56,84.0,0.45,14.46,0.44,70.0,0.47,3.91,0.48,155.15,0.01,0.02,2321.286331,1776402901000
1776402903.32,3.32,0.54,57.65,0.53,3.91,0.55,17.46,0.56,14.0,0.45,12.46,0.44,84.0,0.46,79.39,0.47,3.91,0.01,0.01,2321.286331,1776402902000
1776402903.543,3.543,0.52,54.57,0.51,33.0,0.55,40.46,0.56,14.0,0.45,40.46,0.44,14.0,0.48,75.41,0.49,33.0,0.03,0.03,2321.286331,1776402902000
1776402904.04,4.04,0.44,5.0,0.42,23.0,0.48,74.52,0.49,142.48,0.51,60.48,0.45,22.46,0.63,30.0,0.64,70.0,0.04,0.12,2321.286331,1776402902000
1776402904.247,4.247,0.44,5.0,0.43,7.0,0.46,5.0,0.47,10.0,0.52,74.52,0.51,142.48,0.56,5.0,0.58,23.0,0.02,0.04,2321.286331,1776402902000
1776402904.606,4.606,0.44,10.0,0.43,17.0,0.45,3.95,0.46,5.0,0.54,5.0,0.53,10.0,0.56,5.0,0.57,7.0,0.01,0.02,2321.107385,1776402903000
1776402904.861,4.861,0.44,15.0,0.43,22.0,0.47,8.03,0.48,75.52,0.55,3.95,0.54,5.0,0.56,10.0,0.57,17.0,0.03,0.01,2321.107385,1776402903000
1776402905.195,5.195,0.45,9.27,0.44,15.0,0.46,10.0,0.47,10.0,0.53,8.03,0.52,75.52,0.56,15.0,0.57,22.0,0.01,0.03,2321.107385,1776402903000
1776402905.505,5.505,0.45,9.27,0.44,15.0,0.46,10.0,0.47,10.0,0.54,10.0,0.53,10.0,0.55,9.27,0.56,15.0,0.01,0.01,2320.887529,1776402904000
1776402905.998,5.998,0.45,9.27,0.44,15.0,0.46,10.0,0.47,10.0,0.54,10.0,0.53,10.0,0.55,9.27,0.56,15.0,0.01,0.01,2320.791623,1776402905000
1776402906.337,6.337,0.44,24.0,0.43,10.0,0.45,140.0,0.46,161.0,0.54,10.0,0.53,10.0,0.55,9.27,0.56,15.0,0.01,0.01,2320.791623,1776402905000
1776402907.037,7.037,0.44,19.0,0.43,10.0,0.45,140.0,0.46,161.0,0.55,140.0,0.54,161.0,0.56,19.0,0.57,10.0,0.01,0.01,2320.791025,1776402906000
1776402908.021,8.021,0.43,6.0,0.42,10.0,0.45,47.32,0.46,165.0,0.55,47.32,0.54,165.0,0.57,6.0,0.58,10.0,0.02,0.02,2320.75009,1776402907000
1776402908.403,8.403,0.44,142.0,0.43,131.0,0.45,1.0,0.46,15.0,0.55,47.32,0.54,165.0,0.57,6.0,0.58,10.0,0.01,0.02,2320.75009,1776402907000
1776402908.917,8.917,0.47,152.36,0.46,158.89,0.48,69.91,0.49,145.0,0.54,6.0,0.52,70.0,0.55,15.0,0.56,154.42,0.01,0.01,2320.75009,1776402907000
1776402909.396,9.396,0.47,157.36,0.46,158.89,0.49,133.48,0.5,10.0,0.52,69.91,0.51,145.0,0.53,152.36,0.54,158.89,0.02,0.01,2320.66,1776402908000
1776402909.999,9.999,0.47,157.36,0.46,158.89,0.49,133.48,0.5,10.0,0.51,133.48,0.5,10.0,0.53,157.36,0.54,158.89,0.02,0.02,2320.688515,1776402909000
1776402911.038,11.038,0.51,76.0,0.5,165.0,0.52,15.0,0.53,15.0,0.51,133.48,0.5,10.0,0.53,157.36,0.54,158.89,0.01,0.02,2320.902627,1776402910000
1776402911.279,11.279,0.51,44.69,0.5,160.0,0.52,10.0,0.53,15.0,0.48,15.0,0.47,15.0,0.49,76.0,0.5,165.0,0.01,0.01,2320.902627,1776402910000
1776402911.619,11.619,0.51,39.69,0.5,160.0,0.52,2.11,0.53,20.0,0.48,10.0,0.47,15.0,0.49,44.69,0.5,160.0,0.01,0.01,2320.902627,1776402910000
1776402912.889,12.889,0.51,5.0,0.5,125.0,0.52,24.43,0.53,15.0,0.48,2.11,0.47,20.0,0.49,39.69,0.5,160.0,0.01,0.01,2321.077021,1776402911000
1776402914.876,14.876,0.51,5.0,0.5,174.0,0.52,7.69,0.53,10.0,0.48,24.43,0.47,15.0,0.49,5.0,0.5,125.0,0.01,0.01,2321.32155,1776402913000
1776402915.97,15.97,0.47,124.36,0.46,154.89,0.52,81.0,0.53,25.0,0.48,7.69,0.47,10.0,0.49,5.0,0.5,174.0,0.05,0.01,2321.201836,1776402914000
1776402916.367,16.367,0.47,134.36,0.46,154.89,0.48,4.95,0.49,15.0,0.52,5.47,0.51,15.0,0.53,129.36,0.54,159.89,0.01,0.01,2321.201898,1776402915000
1776402918.178,18.178,0.47,142.47,0.46,215.89,0.48,9.95,0.49,5.0,0.52,4.95,0.51,15.0,0.53,134.36,0.54,154.89,0.01,0.01,2321.070915,1776402917000
1776402919.456,19.456,0.47,186.47,0.46,171.89,0.5,14.05,0.51,43.94,0.52,9.95,0.51,5.0,0.53,142.47,0.54,215.89,0.03,0.01,2321.015198,1776402918000
1776402922.229,22.229,0.49,274.98,0.48,15.0,0.51,30.23,0.52,35.05,0.5,14.05,0.49,43.94,0.53,186.47,0.54,171.89,0.02,0.03,2321.043571,1776402921000
1776402922.62,22.62,0.5,44.3,0.49,262.98,0.51,16.73,0.52,35.05,0.49,30.23,0.48,35.05,0.51,274.98,0.52,15.0,0.01,0.02,2321.043571,1776402921000
1776402925.233,25.233,0.5,237.3,0.49,382.98,0.52,10.05,0.53,5.0,0.49,11.73,0.48,35.05,0.5,68.5,0.51,262.98,0.02,0.01,2321.058582,1776402923000
1776402928.181,28.181,0.51,252.3,0.5,171.0,0.54,5.0,0.55,70.0,0.48,10.05,0.47,5.0,0.5,237.3,0.51,382.98,0.03,0.02,2321.239461,1776402927000
1776402928.848,28.848,0.54,52.0,0.53,160.0,0.55,52.52,0.56,70.0,0.46,5.0,0.45,70.0,0.49,252.3,0.5,171.0,0.01,0.03,2321.239461,1776402927000
1776402929.661,29.661,0.54,47.0,0.53,155.0,0.55,52.52,0.56,70.0,0.45,52.52,0.44,70.0,0.46,52.0,0.47,160.0,0.01,0.01,2321.223348,1776402928000
1776402930.055,30.055,0.54,73.0,0.53,155.0,0.55,47.52,0.56,77.0,0.45,52.52,0.44,70.0,0.46,47.0,0.47,155.0,0.01,0.01,2321.223348,1776402928000
1776402932.906,32.906,0.54,365.98,0.53,160.0,0.56,58.05,0.57,7.0,0.45,38.75,0.44,77.0,0.46,73.0,0.47,155.0,0.02,0.01,2321.530257,1776402931000
