timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776170101.431,1.431,0.46,75.0,0.45,75.0,0.44,70.0,0.4,11.1,0.36,13.89,0.48,9.95,0.51,6.97,0.55,5.0,0.56,70.0,0.57,70.0,0.52,9.95,0.49,6.97,0.45,5.0,0.44,70.0,0.43,70.0,0.54,75.0,0.55,75.0,0.56,70.0,0.6,11.1,0.64,13.89,0.02,0.02,2374.63435,1776170099000
1776170101.843,1.843,0.46,75.0,0.45,75.0,0.44,70.0,0.4,11.1,0.36,13.89,0.48,9.95,0.51,6.97,0.55,5.0,0.56,70.0,0.57,70.0,0.52,9.95,0.49,6.97,0.45,5.0,0.44,70.0,0.43,70.0,0.54,75.0,0.55,75.0,0.56,70.0,0.6,11.1,0.64,13.89,0.02,0.02,2374.63435,1776170099000
1776170102.583,2.583,0.46,70.0,0.45,75.0,0.44,70.0,0.4,11.1,0.39,12.0,0.48,9.95,0.51,6.97,0.55,5.0,0.56,70.0,0.57,70.0,0.52,9.95,0.49,6.97,0.45,5.0,0.44,70.0,0.43,70.0,0.54,70.0,0.55,75.0,0.56,70.0,0.6,11.1,0.61,12.0,0.02,0.02,2374.5847,1776170101000
1776170103.23,3.23,0.46,70.0,0.45,75.0,0.44,70.0,0.4,11.1,0.39,12.0,0.48,9.95,0.51,6.97,0.55,5.0,0.56,70.0,0.57,70.0,0.52,9.95,0.49,6.97,0.45,5.0,0.44,70.0,0.43,70.0,0.54,70.0,0.55,75.0,0.56,70.0,0.6,11.1,0.61,12.0,0.02,0.02,2374.5847,1776170102000
1776170103.679,3.679,0.47,310.0,0.46,96.0,0.45,15.0,0.44,15.0,0.43,15.0,0.51,6.97,0.58,5.0,0.59,5.0,0.6,5.0,0.61,27.0,0.52,9.95,0.49,6.97,0.45,5.0,0.44,70.0,0.43,70.0,0.54,70.0,0.55,75.0,0.56,70.0,0.6,11.1,0.61,12.0,0.04,0.02,2374.5847,1776170102000
1776170104.308,4.308,0.57,5.0,0.56,26.0,0.55,5.0,0.54,68.03,0.53,25.0,0.59,10.0,0.6,30.0,0.61,92.0,0.62,15.0,0.63,15.0,0.39,27.0,0.38,27.0,0.37,10.0,0.36,93.89,0.35,80.0,0.43,10.0,0.45,10.0,0.46,63.03,0.47,70.0,0.48,10.0,0.02,0.04,2374.5847,1776170102000
1776170104.626,4.626,0.57,5.0,0.56,26.0,0.55,5.0,0.54,68.03,0.53,25.0,0.59,10.0,0.6,30.0,0.61,92.0,0.62,15.0,0.63,15.0,0.41,10.0,0.4,30.0,0.39,92.0,0.38,15.0,0.37,15.0,0.43,5.0,0.44,26.0,0.45,5.0,0.46,68.03,0.47,25.0,0.02,0.02,2374.59195,1776170103000
1776170105.275,5.275,0.57,5.0,0.56,26.0,0.55,5.0,0.54,68.03,0.53,25.0,0.59,10.0,0.6,30.0,0.61,92.0,0.62,15.0,0.63,15.0,0.41,10.0,0.4,30.0,0.39,92.0,0.38,15.0,0.37,15.0,0.43,5.0,0.44,26.0,0.45,5.0,0.46,68.03,0.47,25.0,0.02,0.02,2374.639122,1776170104000
1776170106.102,6.102,0.57,5.0,0.56,26.0,0.55,5.0,0.54,68.03,0.53,25.0,0.59,10.0,0.6,30.0,0.61,92.0,0.62,15.0,0.63,15.0,0.41,10.0,0.4,30.0,0.39,92.0,0.38,15.0,0.37,15.0,0.43,5.0,0.44,26.0,0.45,5.0,0.46,68.03,0.47,25.0,0.02,0.02,2375.042084,1776170105000
1776170106.929,6.929,0.54,59.89,0.51,10.0,0.5,20.0,0.49,20.0,0.48,111.0,0.55,116.0,0.56,100.0,0.57,20.0,0.58,85.0,0.59,15.0,0.41,10.0,0.4,30.0,0.39,92.0,0.38,15.0,0.37,15.0,0.43,5.0,0.44,26.0,0.45,5.0,0.46,68.03,0.47,25.0,0.01,0.02,2375.042084,1776170105000
