timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776160801.045,1.045,0.5,19.1,0.45,75.0,0.44,70.0,0.43,80.0,0.4,19.0,0.55,57.0,0.56,70.0,0.57,80.0,0.6,19.0,0.61,8.0,0.46,100.0,0.45,5.0,0.43,10.0,0.4,19.0,0.39,8.0,0.5,19.1,0.54,100.0,0.55,5.0,0.57,10.0,0.6,19.0,0.05,0.04,2387.710225,1776160799000
1776160801.408,1.408,0.5,19.1,0.45,75.0,0.44,70.0,0.43,80.0,0.4,19.0,0.55,57.0,0.56,70.0,0.57,80.0,0.6,19.0,0.61,8.0,0.45,57.0,0.44,70.0,0.43,80.0,0.4,19.0,0.39,8.0,0.5,19.1,0.55,75.0,0.56,70.0,0.57,80.0,0.6,19.0,0.05,0.05,2387.897431,1776160800000
1776160802.061,2.061,0.5,19.1,0.45,75.0,0.44,70.0,0.43,80.0,0.4,19.0,0.55,57.0,0.56,70.0,0.57,80.0,0.6,19.0,0.61,8.0,0.45,57.0,0.44,70.0,0.43,80.0,0.4,19.0,0.39,8.0,0.5,19.1,0.55,75.0,0.56,70.0,0.57,80.0,0.6,19.0,0.05,0.05,2387.70603,1776160801000
1776160802.871,2.871,0.5,4.05,0.45,70.0,0.44,70.0,0.43,33.0,0.42,99.0,0.51,133.0,0.52,26.0,0.55,21.0,0.56,70.0,0.57,101.0,0.45,57.0,0.44,70.0,0.43,80.0,0.4,19.0,0.39,8.0,0.5,19.1,0.55,75.0,0.56,70.0,0.57,80.0,0.6,19.0,0.01,0.05,2387.70603,1776160801000
1776160803.102,3.102,0.45,36.78,0.44,75.0,0.43,38.0,0.42,99.0,0.41,55.0,0.46,1.0,0.47,21.0,0.48,67.0,0.49,57.0,0.5,46.0,0.54,11.0,0.53,26.95,0.52,62.0,0.51,52.0,0.5,20.0,0.55,51.78,0.56,75.0,0.57,38.0,0.58,99.0,0.59,55.0,0.01,0.01,2387.70603,1776160801000
1776160803.337,3.337,0.45,9.78,0.44,90.0,0.43,48.0,0.42,109.0,0.41,65.0,0.46,27.0,0.47,46.0,0.48,67.0,0.49,31.0,0.5,56.0,0.54,27.0,0.53,36.0,0.52,67.0,0.51,57.0,0.5,56.0,0.55,30.78,0.56,90.0,0.57,48.0,0.58,99.0,0.59,65.0,0.01,0.01,2387.70603,1776160802000
1776160804.095,4.095,0.45,10.0,0.44,38.0,0.43,69.0,0.42,36.0,0.41,112.0,0.46,2.0,0.47,5.0,0.49,36.0,0.5,51.0,0.51,15.0,0.54,12.0,0.53,10.0,0.52,31.0,0.51,36.0,0.5,25.0,0.56,82.78,0.57,48.0,0.58,85.0,0.59,65.0,0.6,36.0,0.01,0.02,2387.70603,1776160802000
1776160804.318,4.318,0.47,25.0,0.46,15.0,0.45,10.0,0.44,38.0,0.43,69.0,0.49,33.0,0.5,25.0,0.51,5.0,0.52,5.0,0.53,5.0,0.52,12.0,0.51,51.0,0.5,25.0,0.49,5.0,0.48,5.0,0.53,10.0,0.54,15.0,0.55,15.0,0.56,38.0,0.57,69.0,0.02,0.01,2387.70603,1776160802000
1776160804.575,4.575,0.47,17.92,0.46,20.0,0.45,10.0,0.44,33.0,0.43,48.0,0.48,10.0,0.49,33.0,0.5,51.0,0.51,5.0,0.52,5.0,0.52,5.0,0.51,33.0,0.5,51.0,0.49,5.0,0.48,5.0,0.53,15.0,0.54,15.0,0.55,10.0,0.56,33.0,0.57,69.0,0.01,0.01,2387.60905,1776160803000
1776160804.779,4.779,0.48,3.12,0.47,85.0,0.46,15.0,0.45,10.0,0.44,33.0,0.49,33.0,0.5,51.0,0.51,5.0,0.52,5.0,0.53,15.0,0.51,33.0,0.5,51.0,0.49,5.0,0.48,5.0,0.47,15.0,0.52,5.24,0.53,90.56,0.54,15.0,0.55,10.0,0.56,33.0,0.01,0.01,2387.60905,1776160803000
