timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776320700.738,0.738,0.5,3.01,0.46,150.0,0.52,140.0,0.54,137.2,0.46,207.2,0.45,70.0,0.5,14.4,0.54,220.0,0.02,0.04,2357.37255,1776320699000
1776320701.357,1.357,0.45,8.88,0.4,70.0,0.48,5.0,0.49,70.0,0.48,140.0,0.46,137.2,0.54,150.0,0.55,8.88,0.03,0.06,2357.42725,1776320700000
1776320702.051,2.051,0.46,3.69,0.45,8.88,0.47,5.0,0.48,145.0,0.52,5.0,0.51,70.0,0.55,8.88,0.6,70.0,0.01,0.03,2357.42725,1776320700000
1776320702.648,2.648,0.45,3.8,0.41,5.0,0.47,5.0,0.48,80.0,0.53,5.0,0.52,145.0,0.54,3.69,0.55,8.88,0.02,0.01,2357.42225,1776320701000
1776320703.182,3.182,0.36,75.5,0.35,70.0,0.4,51.25,0.41,61.2,0.6,57.5,0.59,61.2,0.64,75.5,0.65,70.0,0.04,0.04,2357.42225,1776320701000
1776320703.661,3.661,0.36,83.93,0.35,70.0,0.37,4.72,0.38,10.0,0.63,4.72,0.62,10.0,0.64,75.5,0.65,70.0,0.01,0.01,2357.22178,1776320702000
1776320704.137,4.137,0.36,71.43,0.35,70.0,0.37,4.72,0.38,10.0,0.63,4.72,0.62,10.0,0.64,83.93,0.65,70.0,0.01,0.01,2357.22178,1776320702000
1776320705.982,5.982,0.36,108.43,0.35,84.0,0.37,5.0,0.38,14.33,0.62,9.33,0.61,10.0,0.64,71.43,0.65,70.0,0.01,0.02,2356.848494,1776320704000
1776320706.202,6.202,0.36,106.86,0.35,89.0,0.37,5.0,0.38,14.33,0.63,5.0,0.62,14.33,0.64,108.43,0.65,84.0,0.01,0.01,2356.848494,1776320704000
1776320707.233,7.233,0.36,116.86,0.35,89.0,0.38,6.44,0.39,10.0,0.62,11.44,0.61,10.0,0.64,116.86,0.65,89.0,0.02,0.02,2356.88666,1776320705000
1776320708.104,8.104,0.36,105.86,0.35,99.0,0.37,10.0,0.38,6.44,0.62,6.44,0.61,10.0,0.64,116.86,0.65,89.0,0.01,0.02,2356.853237,1776320706000
1776320708.533,8.533,0.36,120.86,0.35,99.0,0.4,51.25,0.41,73.2,0.63,10.0,0.62,6.44,0.64,105.86,0.65,99.0,0.04,0.01,2356.839397,1776320707000
1776320708.906,8.906,0.39,79.0,0.38,99.0,0.4,46.25,0.41,61.2,0.6,51.25,0.59,73.2,0.64,120.86,0.65,99.0,0.01,0.04,2356.839397,1776320707000
1776320709.342,9.342,0.39,25.0,0.38,239.0,0.4,45.87,0.41,61.2,0.6,46.25,0.59,61.2,0.61,79.0,0.62,99.0,0.01,0.01,2356.839502,1776320708000
1776320709.599,9.599,0.39,35.0,0.38,239.0,0.41,49.57,0.44,10.0,0.6,38.37,0.59,61.2,0.61,30.0,0.62,239.0,0.02,0.01,2356.839502,1776320708000
