timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,eth_price,eth_oracle_ts
1776168000.836,0.836,0.5,3.77,0.46,100.0,0.45,5.0,0.4,13.0,0.39,8.0,0.54,82.0,0.55,5.0,0.57,5.0,0.6,13.0,0.61,8.0,0.46,100.0,0.45,5.0,0.43,5.0,0.4,13.0,0.39,8.0,0.5,3.77,0.54,100.0,0.55,5.0,0.6,13.0,0.61,8.0,0.04,0.04,2374.88417,1776167999000
1776168001.28,1.28,0.5,3.77,0.46,100.0,0.45,5.0,0.4,13.0,0.39,8.0,0.54,82.0,0.55,5.0,0.57,5.0,0.6,13.0,0.61,8.0,0.46,82.0,0.45,5.0,0.43,5.0,0.4,13.0,0.39,8.0,0.5,3.77,0.54,100.0,0.55,5.0,0.6,13.0,0.61,8.0,0.04,0.04,2374.88059,1776168000000
1776168001.832,1.832,0.5,0.47,0.46,219.0,0.45,226.0,0.44,95.0,0.43,70.0,0.54,217.0,0.55,201.0,0.56,70.0,0.57,170.0,0.6,112.0,0.46,82.0,0.45,5.0,0.43,5.0,0.4,13.0,0.39,8.0,0.5,3.77,0.54,100.0,0.55,5.0,0.6,13.0,0.61,8.0,0.04,0.04,2374.88059,1776168000000
1776168002.442,2.442,0.46,100.0,0.45,170.0,0.44,170.0,0.43,185.0,0.42,126.0,0.48,9.14,0.54,191.0,0.55,196.0,0.56,70.0,0.57,170.0,0.46,217.0,0.45,201.0,0.44,70.0,0.43,170.0,0.4,112.0,0.5,0.47,0.54,219.0,0.55,226.0,0.56,95.0,0.57,70.0,0.02,0.04,2374.88059,1776168000000
1776168002.939,2.939,0.45,65.52,0.44,70.0,0.43,70.0,0.4,27.0,0.39,19.0,0.47,191.0,0.48,25.0,0.5,15.0,0.55,170.0,0.56,81.0,0.53,191.0,0.52,25.0,0.5,15.0,0.45,170.0,0.44,81.0,0.55,65.52,0.56,70.0,0.57,70.0,0.6,27.0,0.61,19.0,0.02,0.02,2374.890275,1776168002000
1776168003.347,3.347,0.42,4.22,0.4,104.73,0.39,112.0,0.38,80.0,0.37,148.0,0.45,5.0,0.46,45.0,0.47,36.0,0.49,80.0,0.5,95.0,0.56,7.73,0.55,25.0,0.53,80.0,0.52,25.0,0.51,70.0,0.61,154.0,0.62,97.0,0.63,95.0,0.65,25.0,0.66,39.0,0.03,0.05,2374.890275,1776168002000
1776168003.871,3.871,0.42,4.22,0.4,104.73,0.39,112.0,0.38,80.0,0.37,148.0,0.45,5.0,0.46,45.0,0.47,36.0,0.49,80.0,0.5,95.0,0.55,5.0,0.54,45.0,0.53,36.0,0.51,80.0,0.5,95.0,0.58,4.22,0.6,104.73,0.61,112.0,0.62,80.0,0.63,148.0,0.03,0.03,2374.8491,1776168003000
1776168004.099,4.099,0.43,5.0,0.42,61.73,0.41,87.0,0.4,10.0,0.39,105.0,0.46,11.0,0.47,36.0,0.48,10.0,0.49,80.0,0.5,95.0,0.56,5.0,0.55,15.0,0.54,15.0,0.53,36.0,0.52,10.0,0.57,5.0,0.58,61.73,0.59,87.0,0.6,10.0,0.61,80.0,0.03,0.01,2374.8491,1776168003000
1776168004.339,4.339,0.41,73.0,0.4,10.0,0.39,105.0,0.38,80.0,0.37,148.0,0.43,10.0,0.44,10.0,0.45,10.0,0.46,24.0,0.47,35.0,0.54,11.0,0.53,36.0,0.52,10.0,0.51,80.0,0.5,95.0,0.57,5.0,0.58,61.73,0.59,87.0,0.6,10.0,0.61,105.0,0.02,0.03,2374.8491,1776168003000
1776168004.739,4.739,0.41,78.0,0.4,32.0,0.39,105.0,0.38,80.0,0.37,148.0,0.42,12.11,0.43,10.0,0.44,10.0,0.45,10.0,0.46,24.0,0.57,10.0,0.56,10.0,0.55,10.0,0.54,24.0,0.53,35.0,0.59,73.0,0.6,10.0,0.61,105.0,0.62,80.0,0.63,148.0,0.01,0.02,2374.8491,1776168003000
1776168004.946,4.946,0.41,78.0,0.4,32.0,0.39,105.0,0.38,80.0,0.37,148.0,0.44,10.0,0.45,10.0,0.46,24.0,0.47,45.0,0.48,10.0,0.58,10.0,0.57,10.0,0.56,10.0,0.55,10.0,0.54,24.0,0.59,73.0,0.6,32.0,0.61,105.0,0.62,80.0,0.63,148.0,0.03,0.01,2374.8491,1776168003000
1776168005.371,5.371,0.41,78.0,0.4,32.0,0.39,105.0,0.38,80.0,0.37,148.0,0.44,10.0,0.45,10.0,0.46,24.0,0.47,45.0,0.48,10.0,0.56,10.0,0.55,10.0,0.54,24.0,0.53,45.0,0.52,10.0,0.59,78.0,0.6,32.0,0.61,105.0,0.62,80.0,0.63,148.0,0.03,0.03,2374.339233,1776168004000
1776168005.621,5.621,0.43,5.0,0.42,33.71,0.41,96.0,0.4,15.0,0.39,110.0,0.51,69.0,0.52,15.0,0.53,15.0,0.54,124.27,0.55,135.0,0.56,10.0,0.55,15.0,0.54,29.0,0.53,50.0,0.52,15.0,0.58,33.71,0.59,96.0,0.6,15.0,0.61,110.0,0.62,85.0,0.08,0.02,2374.339233,1776168004000
1776168006.358,6.358,0.45,19.81,0.44,30.0,0.43,15.0,0.42,33.71,0.41,91.0,0.46,10.0,0.47,15.0,0.48,48.0,0.49,59.0,0.5,25.0,0.49,69.0,0.48,15.0,0.47,15.0,0.46,124.27,0.45,135.0,0.57,5.0,0.58,33.71,0.59,96.0,0.6,15.0,0.61,110.0,0.01,0.08,2374.339233,1776168004000
