timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776351301.044,1.044,0.4,38.0,0.39,34.0,0.5,5.0,0.51,45.36,0.5,5.0,0.49,45.36,0.6,38.0,0.61,34.0,0.1,0.1,2311.536146,1776351300000
1776351301.848,1.848,0.48,11.0,0.47,18.0,0.5,5.0,0.51,50.36,0.5,5.0,0.49,50.36,0.52,9.15,0.53,18.0,0.02,0.02,2311.536146,1776351300000
1776351302.053,2.053,0.48,11.0,0.47,18.0,0.5,5.0,0.51,50.36,0.5,5.0,0.49,50.36,0.52,11.0,0.53,18.0,0.02,0.02,2311.56069,1776351301000
1776351302.866,2.866,0.49,84.0,0.48,81.0,0.5,6.82,0.51,45.36,0.5,5.0,0.49,50.36,0.51,2.0,0.52,11.0,0.01,0.01,2311.56069,1776351301000
1776351303.128,3.128,0.5,30.0,0.49,123.0,0.51,57.48,0.55,23.88,0.49,57.48,0.45,8.88,0.51,79.0,0.52,81.0,0.01,0.02,2311.56069,1776351301000
1776351304.042,4.042,0.5,61.0,0.49,118.0,0.51,7.48,0.54,15.0,0.49,7.48,0.46,15.0,0.5,61.0,0.51,118.0,0.01,0.01,2311.65678,1776351302000
1776351304.643,4.643,0.5,5.0,0.49,110.0,0.51,23.48,0.52,15.0,0.49,13.48,0.47,25.0,0.5,10.0,0.51,118.0,0.01,0.01,2311.65678,1776351302000
1776351305.364,5.364,0.5,5.0,0.49,105.0,0.51,15.3,0.52,15.0,0.49,15.3,0.48,15.0,0.5,5.0,0.51,105.0,0.01,0.01,2312.03088,1776351304000
1776351305.664,5.664,0.47,15.0,0.46,25.0,0.48,26.2,0.49,35.0,0.49,15.3,0.48,15.0,0.5,5.0,0.51,105.0,0.01,0.01,2312.03088,1776351304000
1776351306.404,6.404,0.47,10.0,0.46,30.0,0.48,10.0,0.49,30.0,0.52,26.2,0.51,35.0,0.53,15.0,0.54,25.0,0.01,0.01,2311.968011,1776351305000
1776351307.113,7.113,0.47,4.33,0.46,30.0,0.48,20.0,0.49,30.0,0.52,20.0,0.51,30.0,0.53,4.33,0.54,30.0,0.01,0.01,2311.591479,1776351306000
1776351307.861,7.861,0.46,1.72,0.45,90.0,0.47,49.2,0.48,15.0,0.52,20.0,0.51,30.0,0.53,4.33,0.54,30.0,0.01,0.01,2311.591479,1776351306000
1776351308.329,8.329,0.45,90.0,0.44,10.0,0.47,49.2,0.48,15.0,0.53,49.2,0.52,15.0,0.55,90.0,0.56,10.0,0.02,0.02,2311.451822,1776351307000
1776351308.987,8.987,0.45,90.0,0.44,10.0,0.47,49.2,0.48,15.0,0.53,49.2,0.52,15.0,0.55,90.0,0.56,10.0,0.02,0.02,2311.483852,1776351308000
1776351309.428,9.428,0.48,46.82,0.47,36.5,0.49,110.5,0.5,80.0,0.51,120.5,0.5,75.0,0.54,25.5,0.55,67.5,0.01,0.03,2311.483852,1776351308000
1776351310.011,10.011,0.48,51.82,0.47,36.5,0.49,76.5,0.5,80.0,0.51,110.5,0.5,80.0,0.52,46.82,0.53,36.5,0.01,0.01,2311.483852,1776351308000
1776351310.39,10.39,0.49,39.2,0.48,69.2,0.5,80.0,0.51,180.5,0.5,80.0,0.49,170.0,0.52,69.54,0.53,57.78,0.01,0.02,2311.293637,1776351309000
1776351311.018,11.018,0.5,54.0,0.49,86.92,0.51,10.0,0.52,120.41,0.5,80.0,0.49,180.5,0.51,39.2,0.52,69.2,0.01,0.01,2311.293637,1776351309000
1776351311.224,11.224,0.51,10.0,0.5,78.7,0.52,50.0,0.53,85.5,0.49,10.0,0.48,120.41,0.5,54.0,0.51,86.92,0.01,0.01,2311.321295,1776351310000
1776351312.04,12.04,0.51,51.0,0.5,48.0,0.53,75.5,0.54,30.5,0.48,50.0,0.47,85.5,0.49,10.0,0.5,78.7,0.02,0.01,2311.321295,1776351310000
1776351313.05,13.05,0.51,35.0,0.5,48.0,0.53,50.5,0.54,76.55,0.47,75.5,0.46,30.5,0.49,51.0,0.5,48.0,0.02,0.02,2311.633695,1776351312000
1776351313.287,13.287,0.51,5.0,0.5,15.5,0.52,30.76,0.53,50.5,0.47,50.5,0.46,76.55,0.49,25.0,0.5,36.0,0.01,0.02,2311.633695,1776351312000
1776351316.303,16.303,0.5,11.0,0.49,15.0,0.51,185.35,0.52,142.33,0.48,30.76,0.47,50.5,0.49,5.0,0.5,15.5,0.01,0.01,2311.785632,1776351314000
1776351316.62,16.62,0.47,12.5,0.46,65.5,0.48,15.0,0.49,123.19,0.5,29.5,0.49,316.18,0.52,10.0,0.53,50.0,0.01,0.02,2311.76464,1776351315000
1776351317.128,17.128,0.45,62.0,0.44,40.0,0.46,40.75,0.47,52.85,0.52,15.0,0.51,123.19,0.54,59.25,0.55,52.0,0.01,0.02,2311.764155,1776351316000
1776351317.405,17.405,0.45,77.5,0.44,35.0,0.46,55.75,0.47,30.0,0.54,40.75,0.53,52.85,0.55,62.0,0.56,40.0,0.01,0.01,2311.764155,1776351316000
1776351318.799,18.799,0.46,18.64,0.45,87.5,0.47,40.0,0.48,47.64,0.53,10.0,0.52,32.64,0.55,82.5,0.56,45.0,0.01,0.02,2311.41873,1776351317000
1776351320.737,20.737,0.45,77.5,0.44,55.0,0.46,101.49,0.47,45.0,0.53,40.0,0.52,47.64,0.54,18.64,0.55,87.5,0.01,0.01,2311.302448,1776351319000
1776351322.434,22.434,0.45,0.08,0.44,45.0,0.46,145.98,0.47,62.65,0.54,101.49,0.53,45.0,0.55,77.5,0.56,55.0,0.01,0.01,2311.233243,1776351321000
1776351325.869,25.869,0.44,32.0,0.43,120.0,0.45,128.49,0.46,127.13,0.54,145.98,0.53,62.65,0.55,6.97,0.56,65.5,0.01,0.01,2311.082493,1776351324000
1776351327.087,27.087,0.4,85.0,0.39,208.0,0.41,10.0,0.45,128.49,0.55,128.49,0.54,127.13,0.56,32.0,0.57,120.0,0.01,0.01,2310.92976,1776351326000
1776351327.452,27.452,0.4,132.5,0.39,198.0,0.43,10.0,0.44,49.0,0.59,10.0,0.55,128.49,0.6,85.0,0.61,208.0,0.03,0.01,2310.92976,1776351326000
1776351327.839,27.839,0.42,26.0,0.41,25.5,0.43,10.0,0.44,57.53,0.57,10.0,0.56,54.0,0.58,6.0,0.59,15.0,0.01,0.01,2310.92976,1776351326000
1776351328.073,28.073,0.43,26.0,0.42,20.0,0.45,49.85,0.46,38.5,0.57,10.0,0.56,39.53,0.58,16.39,0.59,25.5,0.02,0.01,2310.92976,1776351326000
