timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776285000.557,0.557,0.54,13.0,0.53,37.0,0.6,38.0,0.61,40.0,0.46,442.69,0.45,170.0,0.47,37.0,0.48,5.0,0.06,0.01,2361.242629,1776284999000
1776285001.256,1.256,0.54,13.0,0.53,37.0,0.6,38.0,0.61,40.0,0.4,38.0,0.39,40.0,0.46,13.0,0.47,37.0,0.06,0.06,2361.22524,1776285000000
1776285001.608,1.608,0.54,15.82,0.53,37.0,0.55,5.0,0.6,22.0,0.4,38.0,0.39,40.0,0.46,13.0,0.47,37.0,0.01,0.06,2361.22524,1776285000000
1776285002.469,2.469,0.54,15.82,0.53,37.0,0.55,58.0,0.56,13.0,0.45,5.0,0.4,22.0,0.46,15.82,0.47,37.0,0.01,0.01,2361.22453,1776285001000
1776285003.722,3.722,0.54,31.47,0.53,63.0,0.55,38.0,0.56,23.0,0.45,58.0,0.44,13.0,0.46,10.47,0.47,37.0,0.01,0.01,2361.225845,1776285002000
1776285004.228,4.228,0.54,36.47,0.53,73.0,0.56,18.0,0.57,15.0,0.45,8.0,0.44,23.0,0.46,41.47,0.47,73.0,0.02,0.01,2361.233694,1776285003000
1776285004.61,4.61,0.55,26.0,0.54,48.47,0.58,13.0,0.59,13.0,0.44,18.0,0.43,15.0,0.46,36.47,0.47,73.0,0.03,0.02,2361.233694,1776285003000
1776285004.886,4.886,0.62,15.0,0.61,20.0,0.64,10.35,0.65,15.0,0.42,13.0,0.41,13.0,0.45,26.0,0.46,48.47,0.02,0.03,2361.233694,1776285003000
1776285005.451,5.451,0.61,5.0,0.6,27.0,0.62,14.0,0.63,20.0,0.36,5.35,0.35,15.0,0.37,10.0,0.38,15.0,0.01,0.01,2361.26525,1776285004000
1776285005.691,5.691,0.6,37.4,0.59,5.0,0.61,59.0,0.62,44.0,0.39,5.0,0.38,78.0,0.4,37.4,0.41,5.0,0.01,0.01,2361.26525,1776285004000
1776285006.104,6.104,0.56,3.29,0.55,15.0,0.59,52.0,0.6,33.0,0.39,61.0,0.38,44.0,0.4,32.4,0.41,5.0,0.03,0.01,2361.26525,1776285004000
1776285006.968,6.968,0.56,58.29,0.55,128.77,0.57,42.14,0.58,89.0,0.41,52.0,0.4,33.0,0.44,3.29,0.45,15.0,0.01,0.03,2361.26525,1776285004000
1776285007.26,7.26,0.56,54.88,0.55,128.77,0.57,36.0,0.58,84.0,0.43,42.14,0.42,89.0,0.44,58.29,0.45,128.77,0.01,0.01,2361.760406,1776285006000
1776285007.963,7.963,0.56,59.88,0.55,133.77,0.57,28.46,0.58,89.0,0.43,27.94,0.42,89.0,0.44,54.88,0.45,128.77,0.01,0.01,2361.760406,1776285006000
1776285008.297,8.297,0.54,56.62,0.53,92.0,0.55,15.0,0.56,78.0,0.43,28.46,0.42,89.0,0.44,59.88,0.45,133.77,0.01,0.01,2361.760406,1776285006000
1776285009.537,9.537,0.55,3.0,0.54,76.62,0.57,15.0,0.58,245.0,0.45,15.0,0.44,78.0,0.46,56.62,0.47,92.0,0.02,0.01,2361.755878,1776285008000
1776285009.867,9.867,0.55,58.0,0.54,76.62,0.56,1.82,0.57,20.0,0.43,15.0,0.42,245.0,0.45,3.0,0.46,76.62,0.01,0.02,2361.755878,1776285008000
1776285010.4,10.4,0.56,20.0,0.55,63.0,0.57,4.15,0.59,10.0,0.43,19.15,0.42,78.0,0.45,63.0,0.46,256.62,0.01,0.02,2361.755878,1776285008000
1776285011.399,11.399,0.55,0.89,0.54,61.62,0.56,15.0,0.57,10.0,0.43,4.15,0.41,10.0,0.44,20.0,0.45,63.0,0.01,0.01,2361.719072,1776285010000
1776285011.821,11.821,0.54,1.05,0.53,82.0,0.56,25.0,0.57,25.0,0.44,15.0,0.43,10.0,0.45,0.89,0.46,61.62,0.02,0.01,2361.719072,1776285010000
1776285012.296,12.296,0.54,11.55,0.53,92.5,0.55,39.51,0.56,35.5,0.44,25.0,0.43,25.0,0.46,1.05,0.47,82.0,0.01,0.02,2361.719072,1776285010000
1776285013.34,13.34,0.53,47.5,0.52,60.0,0.54,23.14,0.55,70.01,0.45,39.51,0.44,25.5,0.46,6.55,0.47,92.5,0.01,0.01,2361.720797,1776285011000
1776285014.44,14.44,0.53,102.5,0.52,60.0,0.54,77.1,0.55,276.5,0.46,18.88,0.45,65.01,0.47,47.5,0.48,65.0,0.01,0.01,2361.531024,1776285013000
1776285015.885,15.885,0.56,55.5,0.55,40.5,0.57,7.0,0.58,70.5,0.46,77.1,0.45,276.5,0.47,102.5,0.48,60.0,0.01,0.01,2361.510178,1776285014000
1776285016.842,16.842,0.57,70.5,0.56,305.5,0.59,13.0,0.6,70.5,0.43,7.0,0.42,70.5,0.44,55.5,0.45,40.5,0.02,0.01,2361.506018,1776285015000
1776285017.996,17.996,0.59,15.0,0.58,35.5,0.6,21.17,0.61,75.5,0.41,13.0,0.4,70.5,0.43,70.5,0.44,305.5,0.01,0.02,2361.512039,1776285016000
1776285022.096,22.096,0.64,12.0,0.63,13.42,0.65,25.34,0.66,200.5,0.4,21.17,0.39,75.5,0.41,15.0,0.42,35.5,0.01,0.01,2361.817915,1776285020000
1776285023.039,23.039,0.63,45.72,0.62,15.0,0.64,41.68,0.65,27.34,0.35,25.34,0.34,200.5,0.36,12.0,0.37,13.42,0.01,0.01,2361.881057,1776285021000
1776285023.29,23.29,0.63,55.72,0.62,15.0,0.64,36.68,0.65,27.34,0.36,51.68,0.35,27.34,0.37,50.72,0.38,15.0,0.01,0.01,2361.881057,1776285021000
1776285024.206,24.206,0.63,38.36,0.62,30.5,0.64,108.5,0.65,95.34,0.36,36.68,0.35,27.34,0.37,55.72,0.38,15.0,0.01,0.01,2361.8832,1776285022000
1776285026.223,26.223,0.64,20.0,0.63,132.34,0.65,3.0,0.66,5.0,0.36,108.5,0.35,95.34,0.37,31.36,0.38,30.5,0.01,0.01,2362.171193,1776285024000
1776285026.533,26.533,0.64,78.52,0.63,317.34,0.66,5.0,0.67,65.5,0.35,3.0,0.34,5.0,0.36,20.0,0.37,132.34,0.02,0.01,2362.171193,1776285024000
1776285026.88,26.88,0.66,21.0,0.65,71.0,0.68,226.0,0.69,50.0,0.33,65.5,0.32,72.0,0.36,78.52,0.37,317.34,0.02,0.03,2362.123875,1776285025000
1776285027.57,27.57,0.67,94.89,0.66,92.5,0.68,41.0,0.69,240.5,0.32,226.0,0.31,50.0,0.34,21.0,0.35,71.0,0.01,0.02,2362.123875,1776285025000
1776285028.079,28.079,0.67,77.6,0.66,134.42,0.68,41.0,0.69,245.5,0.32,41.0,0.31,240.5,0.33,94.89,0.34,92.5,0.01,0.01,2362.165137,1776285026000
1776285028.829,28.829,0.69,122.5,0.68,107.5,0.7,49.0,0.71,65.5,0.32,41.0,0.31,245.5,0.33,77.6,0.34,134.42,0.01,0.01,2362.22853,1776285027000
1776285029.124,29.124,0.69,127.5,0.68,107.5,0.7,5.99,0.71,245.5,0.3,7.42,0.29,65.5,0.31,132.5,0.32,107.5,0.01,0.01,2362.22853,1776285027000
1776285029.827,29.827,0.72,37.5,0.71,117.5,0.73,10.0,0.74,64.0,0.3,5.99,0.29,245.5,0.31,127.5,0.32,107.5,0.01,0.01,2362.42443,1776285028000
1776285030.116,30.116,0.73,35.0,0.72,52.5,0.74,4.0,0.75,10.0,0.27,10.0,0.26,64.0,0.28,37.5,0.29,117.5,0.01,0.01,2362.42443,1776285028000
1776285030.453,30.453,0.77,4.71,0.76,10.0,0.78,50.0,0.79,81.0,0.26,10.0,0.23,50.0,0.27,15.0,0.28,32.5,0.01,0.01,2362.44443,1776285029000
1776285030.857,30.857,0.75,29.0,0.74,10.0,0.76,5.5,0.77,10.5,0.22,65.0,0.21,133.0,0.24,20.0,0.26,15.0,0.01,0.02,2362.44443,1776285029000
1776285031.281,31.281,0.74,21.0,0.73,47.5,0.76,12.0,0.77,7.26,0.23,19.26,0.22,60.0,0.25,31.08,0.26,21.0,0.02,0.02,2362.44443,1776285029000
1776285031.613,31.613,0.74,141.65,0.73,35.5,0.75,14.66,0.76,5.0,0.23,7.26,0.22,70.5,0.24,0.08,0.25,10.5,0.01,0.01,2362.627302,1776285030000
1776285032.5,32.5,0.74,406.65,0.73,37.5,0.75,19.66,0.76,10.0,0.25,14.66,0.24,5.0,0.26,141.65,0.27,35.5,0.01,0.01,2362.99253,1776285031000
1776285032.714,32.714,0.74,444.65,0.73,37.5,0.75,4.0,0.77,30.5,0.25,19.66,0.24,10.0,0.26,406.65,0.27,37.5,0.01,0.01,2362.99253,1776285031000
1776285033.063,33.063,0.76,101.0,0.75,10.0,0.78,4.0,0.79,211.0,0.23,13.0,0.21,211.0,0.26,439.65,0.27,37.5,0.02,0.03,2363.02737,1776285032000
1776285033.561,33.561,0.78,267.7,0.77,27.0,0.79,24.56,0.8,60.0,0.21,204.56,0.2,60.0,0.24,101.0,0.25,10.0,0.01,0.03,2363.02737,1776285032000
1776285033.963,33.963,0.79,22.0,0.78,257.7,0.8,1.58,0.82,7.0,0.21,9.45,0.2,60.0,0.22,302.7,0.23,49.0,0.01,0.01,2363.02737,1776285032000
1776285034.164,34.164,0.79,253.0,0.78,89.7,0.81,47.0,0.82,7.0,0.2,1.58,0.18,7.0,0.21,22.0,0.22,257.7,0.02,0.01,2363.085886,1776285033000
1776285034.387,34.387,0.81,110.73,0.8,110.0,0.82,30.0,0.83,15.94,0.19,47.0,0.18,7.0,0.21,253.0,0.22,89.7,0.01,0.02,2363.085886,1776285033000
1776285034.712,34.712,0.81,76.0,0.8,126.0,0.82,199.39,0.83,121.94,0.18,8.78,0.17,290.94,0.19,130.0,0.2,115.0,0.01,0.01,2363.085886,1776285033000
1776285035.015,35.015,0.81,45.5,0.8,25.5,0.82,184.39,0.83,126.44,0.18,199.39,0.17,121.94,0.19,60.52,0.2,115.0,0.01,0.01,2363.085886,1776285033000
1776285036.197,36.197,0.77,60.5,0.76,86.5,0.79,3.0,0.8,10.0,0.18,184.39,0.17,126.44,0.19,45.5,0.2,25.5,0.02,0.01,2363.827405,1776285035000
1776285036.417,36.417,0.76,65.5,0.75,75.5,0.77,128.58,0.78,310.0,0.21,3.0,0.2,10.0,0.23,60.5,0.24,86.5,0.01,0.02,2363.827405,1776285035000
1776285036.653,36.653,0.75,60.26,0.74,65.0,0.77,149.58,0.78,161.0,0.23,128.58,0.22,310.0,0.24,65.5,0.25,75.5,0.02,0.01,2363.827405,1776285035000
1776285038.985,38.985,0.8,5.0,0.79,47.5,0.81,350.81,0.82,206.11,0.23,149.58,0.22,161.0,0.25,60.26,0.26,65.0,0.01,0.02,2363.65004,1776285037000
1776285039.489,39.489,0.8,4.0,0.79,97.5,0.81,384.31,0.82,217.11,0.19,350.81,0.18,206.11,0.2,5.0,0.21,47.5,0.01,0.01,2363.515544,1776285038000
1776285040.707,40.707,0.78,57.5,0.77,20.5,0.79,108.0,0.8,220.5,0.2,140.8,0.19,379.31,0.21,135.5,0.22,108.5,0.01,0.01,2363.640735,1776285039000
