timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776372305.545,5.545,0.34,5.0,0.32,5.0,0.51,36.0,0.52,64.0,0.47,30.0,0.46,5.0,0.49,14.0,0.53,30.0,0.17,0.02,633.65644,1776372304000
1776372307.22,7.22,0.45,5.0,0.44,5.0,0.48,17.0,0.49,5.0,0.49,36.0,0.48,64.0,0.66,5.0,0.68,5.0,0.03,0.17,633.61829,1776372306000
1776372307.765,7.765,0.45,2.0,0.44,5.0,0.48,10.0,0.49,15.0,0.52,17.0,0.51,5.0,0.53,3.11,0.54,5.0,0.03,0.01,633.61829,1776372306000
1776372314.579,14.579,0.41,11.69,0.36,5.0,0.42,5.0,0.43,5.0,0.52,10.0,0.51,15.0,0.55,2.0,0.56,5.0,0.01,0.03,633.682,1776372313000
1776372324.978,24.978,0.41,2.91,0.33,10.0,0.42,64.0,0.43,15.0,0.58,5.0,0.57,5.0,0.59,11.69,0.64,5.0,0.01,0.01,633.642445,1776372323000
1776372325.359,25.359,0.3,5.0,0.26,5.0,0.32,5.0,0.33,5.0,0.58,64.0,0.57,15.0,0.67,9.91,0.7,5.0,0.02,0.09,633.642268,1776372324000
1776372331.302,31.302,0.36,5.0,0.35,5.0,0.37,2.0,0.38,5.0,0.68,1.25,0.67,5.0,0.7,5.0,0.71,5.0,0.01,0.02,633.52137,1776372330000
1776372334.482,34.482,0.44,5.0,0.43,5.0,0.46,5.0,0.47,5.0,0.62,5.0,0.61,5.0,0.64,3.12,0.65,4.23,0.02,0.02,633.62377,1776372333000
1776372339.88,39.88,0.48,2.0,0.47,5.0,0.5,5.0,0.52,15.0,0.54,5.0,0.53,5.0,0.56,5.0,0.57,5.0,0.02,0.02,633.682,1776372338000
1776372342.155,42.155,0.49,10.0,0.48,7.0,0.56,4.1,0.57,15.0,0.5,2.12,0.48,15.0,0.52,2.0,0.53,5.0,0.07,0.02,633.684,1776372340000
1776372342.718,42.718,0.5,5.0,0.49,5.0,0.52,3.07,0.53,5.0,0.44,4.1,0.43,15.0,0.51,10.0,0.52,7.0,0.02,0.07,633.714332,1776372341000
1776372352.934,52.934,0.6,5.0,0.59,5.0,0.61,5.0,0.62,10.0,0.48,3.07,0.47,5.0,0.5,5.0,0.51,5.0,0.01,0.02,633.75,1776372351000
1776372353.509,53.509,0.62,5.0,0.61,5.0,0.63,2.0,0.64,10.0,0.39,5.0,0.38,10.0,0.4,5.0,0.41,5.0,0.01,0.01,633.752,1776372352000
1776372354.689,54.689,0.62,5.0,0.61,5.0,0.63,7.0,0.64,5.0,0.36,10.0,0.35,5.0,0.4,5.0,0.41,5.0,0.01,0.04,633.752,1776372352000
1776372355.835,55.835,0.63,5.0,0.62,5.0,0.64,8.5,0.65,5.0,0.37,7.0,0.36,5.0,0.38,5.0,0.39,5.0,0.01,0.01,633.79344,1776372354000
1776372356.39,56.39,0.66,5.0,0.65,5.0,0.69,5.0,0.71,17.6,0.36,8.5,0.35,5.0,0.37,5.0,0.38,5.0,0.03,0.01,633.79344,1776372354000
1776372369.412,69.412,0.64,5.0,0.63,5.0,0.67,5.0,0.68,5.0,0.31,2.0,0.29,17.6,0.34,5.0,0.35,5.0,0.03,0.03,633.908443,1776372367000
1776372371.15,71.15,0.71,5.0,0.7,5.0,0.72,2.0,0.73,5.0,0.33,5.0,0.32,5.0,0.36,5.0,0.37,5.0,0.01,0.03,633.938499,1776372369000
1776372372.399,72.399,0.71,5.0,0.7,5.0,0.74,23.5,0.75,18.9,0.28,2.0,0.27,5.0,0.29,5.0,0.3,5.0,0.03,0.01,633.938986,1776372370000
1776372373.729,73.729,0.72,5.0,0.71,5.0,0.73,9.0,0.74,23.5,0.26,23.5,0.25,18.9,0.29,5.0,0.3,5.0,0.01,0.03,633.940554,1776372372000
1776372380.85,80.85,0.76,5.0,0.75,5.0,0.77,2.0,0.79,20.7,0.27,9.0,0.26,23.5,0.28,5.0,0.29,5.0,0.01,0.01,633.938,1776372379000
1776372381.855,81.855,0.8,5.0,0.79,5.0,0.81,6.89,0.82,17.6,0.23,2.0,0.21,20.7,0.24,5.0,0.25,5.0,0.01,0.01,633.964305,1776372380000
1776372382.429,82.429,0.82,5.0,0.81,5.0,0.83,15.39,0.84,19.3,0.19,6.89,0.18,17.6,0.2,5.0,0.21,5.0,0.01,0.01,633.994907,1776372381000
1776372385.397,85.397,0.89,5.0,0.88,5.0,0.9,35.9,0.91,42.7,0.17,15.39,0.16,19.3,0.18,5.0,0.19,5.0,0.01,0.01,634.220714,1776372384000
1776372385.73,85.73,0.89,29.0,0.88,5.0,0.9,2.0,0.91,11.0,0.1,35.9,0.09,42.7,0.11,5.0,0.12,5.0,0.01,0.01,634.220714,1776372384000
1776372388.665,88.665,0.9,25.0,0.89,29.0,0.91,1.0,0.92,12.0,0.09,11.0,0.08,12.0,0.11,29.0,0.12,5.0,0.01,0.02,634.407315,1776372386000
1776372388.894,88.894,0.9,25.0,0.89,29.0,0.92,12.0,0.93,14.0,0.09,1.0,0.08,12.0,0.1,25.0,0.11,29.0,0.02,0.01,634.546,1776372387000
1776372389.668,89.668,0.91,5.0,0.9,35.0,0.92,7.0,0.93,14.0,0.08,12.0,0.07,14.0,0.1,25.0,0.11,29.0,0.01,0.02,634.581,1776372388000
1776372390.07,90.07,0.91,2.0,0.9,35.0,0.92,7.0,0.93,14.0,0.08,7.0,0.07,14.0,0.09,5.0,0.1,35.0,0.01,0.01,634.581,1776372389000
1776372394.858,94.858,0.91,2.0,0.9,25.0,0.92,2.0,0.93,14.0,0.08,7.0,0.07,14.0,0.09,2.0,0.1,35.0,0.01,0.01,634.647094,1776372393000
1776372400.996,100.996,0.91,43.7,0.9,53.9,0.93,14.0,0.94,16.0,0.08,2.0,0.07,14.0,0.09,2.0,0.1,25.0,0.02,0.01,634.740187,1776372399000
1776372403.461,103.461,0.92,40.29,0.91,33.7,0.93,4.0,0.94,16.0,0.07,14.0,0.06,16.0,0.09,43.7,0.1,53.9,0.01,0.02,634.75345,1776372401000
1776372407.489,107.489,0.93,6.0,0.92,40.29,0.94,16.0,0.95,20.0,0.07,4.0,0.06,16.0,0.08,40.29,0.09,33.7,0.01,0.01,634.946289,1776372406000
1776372409.503,109.503,0.93,44.9,0.92,40.29,0.94,6.0,0.95,20.0,0.06,16.0,0.05,20.0,0.07,6.0,0.08,40.29,0.01,0.01,634.943,1776372408000
1776372420.451,120.451,0.93,35.04,0.92,40.29,0.94,6.0,0.95,20.0,0.06,6.0,0.05,20.0,0.07,44.9,0.08,40.29,0.01,0.01,634.924728,1776372419000
1776372421.646,121.646,0.93,35.04,0.92,40.29,0.94,1.0,0.95,20.0,0.06,6.0,0.05,20.0,0.07,35.04,0.08,40.29,0.01,0.01,634.869278,1776372420000
