timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776246011.54,11.54,0.48,5.0,0.45,1.53,0.5,5.0,0.51,5.0,0.49,5.0,0.48,5.0,0.52,10.0,0.53,10.0,0.02,0.03,614.903654,1776244517000
1776246011.939,11.939,0.48,5.0,0.45,1.53,0.5,5.0,0.51,5.0,0.49,5.0,0.48,5.0,0.5,10.0,0.51,5.0,0.02,0.01,614.903654,1776244517000
1776246012.425,12.425,0.47,5.0,0.46,5.0,0.51,5.0,0.52,5.0,0.49,5.0,0.48,5.0,0.5,10.0,0.51,5.0,0.04,0.01,614.903654,1776244517000
1776246012.771,12.771,0.48,5.0,0.47,5.0,0.51,5.0,0.52,5.0,0.5,5.0,0.49,5.0,0.52,5.0,0.53,5.0,0.03,0.02,614.903654,1776244517000
1776246016.33,16.33,0.63,5.0,0.62,5.0,0.65,5.0,0.66,5.0,0.49,5.0,0.48,5.0,0.52,5.0,0.53,5.0,0.02,0.03,614.903654,1776244517000
1776246021.51,21.51,0.49,5.0,0.48,5.0,0.51,5.0,0.52,5.0,0.35,5.0,0.34,5.0,0.37,5.0,0.38,5.0,0.02,0.02,614.903654,1776244517000
1776246048.322,48.322,0.58,5.0,0.57,5.0,0.6,0.18,0.61,5.0,0.49,5.0,0.48,5.0,0.51,5.0,0.52,5.0,0.02,0.02,614.903654,1776244517000
1776246050.608,50.608,0.6,5.0,0.59,5.0,0.62,5.0,0.63,5.0,0.4,0.18,0.39,5.0,0.42,5.0,0.43,5.0,0.02,0.02,614.903654,1776244517000
1776246064.918,64.918,0.57,5.0,0.56,5.0,0.6,5.0,0.61,5.0,0.38,5.0,0.37,5.0,0.4,5.0,0.41,5.0,0.03,0.02,614.903654,1776244517000
1776246072.574,72.574,0.53,5.0,0.52,5.0,0.55,5.0,0.56,5.0,0.4,5.0,0.39,5.0,0.43,5.0,0.44,5.0,0.02,0.03,614.903654,1776244517000
1776246084.527,84.527,0.6,5.0,0.59,5.0,0.62,5.0,0.63,5.0,0.45,5.0,0.44,5.0,0.47,5.0,0.48,5.0,0.02,0.02,614.903654,1776244517000
1776246090.076,90.076,0.64,5.0,0.63,5.0,0.66,7.0,0.67,5.0,0.38,5.0,0.37,5.0,0.4,5.0,0.41,5.0,0.02,0.02,614.903654,1776244517000
1776246093.332,93.332,0.63,1.83,0.62,5.0,0.65,5.0,0.67,10.0,0.34,7.0,0.33,5.0,0.36,5.0,0.37,5.0,0.02,0.02,614.903654,1776244517000
1776246096.431,96.431,0.73,5.0,0.72,5.0,0.75,5.0,0.76,5.0,0.35,5.0,0.33,10.0,0.37,1.83,0.38,5.0,0.02,0.02,614.903654,1776244517000
1776246118.084,118.084,0.88,24.6,0.87,23.0,0.93,10.0,0.94,5.0,0.25,5.0,0.24,5.0,0.27,5.0,0.28,5.0,0.05,0.02,614.903654,1776244517000
1776246130.909,130.909,0.8,16.3,0.79,15.7,0.82,5.0,0.83,5.0,0.07,10.0,0.06,5.0,0.12,24.6,0.13,23.0,0.02,0.05,614.903654,1776244517000
1776246131.207,131.207,0.8,5.0,0.79,15.7,0.81,5.0,0.82,5.0,0.18,5.0,0.17,5.0,0.2,11.3,0.21,15.7,0.01,0.02,614.903654,1776244517000
1776246134.331,134.331,0.79,15.7,0.78,15.2,0.81,5.0,0.82,5.0,0.19,5.0,0.18,5.0,0.2,5.0,0.21,15.7,0.02,0.01,614.903654,1776244517000
1776246136.189,136.189,0.79,27.7,0.78,15.2,0.81,5.0,0.82,5.0,0.19,5.0,0.18,5.0,0.21,15.7,0.22,15.2,0.02,0.02,614.903654,1776244517000
1776246140.321,140.321,0.79,42.7,0.78,15.2,0.81,5.0,0.82,5.0,0.19,5.0,0.18,5.0,0.21,27.7,0.22,15.2,0.02,0.02,614.903654,1776244517000
1776246141.949,141.949,0.79,10.0,0.64,11.3,0.8,10.0,0.81,55.0,0.19,5.0,0.18,5.0,0.21,42.7,0.22,15.2,0.01,0.02,614.903654,1776244517000
1776246142.522,142.522,0.67,18.0,0.61,5.0,0.68,5.0,0.69,5.0,0.2,10.0,0.19,55.0,0.33,5.0,0.36,11.3,0.01,0.13,614.903654,1776244517000
1776246150.366,150.366,0.66,5.0,0.65,5.0,0.68,5.0,0.69,5.0,0.32,5.0,0.31,5.0,0.33,18.0,0.39,5.0,0.02,0.01,614.903654,1776244517000
1776246154.1,154.1,0.66,5.0,0.65,5.0,0.68,11.0,0.69,5.0,0.32,5.0,0.31,5.0,0.34,5.0,0.35,5.0,0.02,0.02,614.903654,1776244517000
1776246156.619,156.619,0.61,5.0,0.6,5.0,0.63,5.0,0.64,5.0,0.32,11.0,0.31,5.0,0.34,5.0,0.35,5.0,0.02,0.02,614.903654,1776244517000
1776246157.639,157.639,0.57,5.0,0.56,5.0,0.59,5.0,0.6,5.0,0.37,5.0,0.36,5.0,0.39,5.0,0.4,5.0,0.02,0.02,614.903654,1776244517000
1776246166.318,166.318,0.79,5.0,0.78,5.0,0.81,55.0,0.84,5.0,0.41,5.0,0.4,5.0,0.43,5.0,0.44,5.0,0.02,0.02,614.903654,1776244517000
1776246168.056,168.056,0.89,5.0,0.88,5.0,0.91,81.7,0.92,35.29,0.19,55.0,0.16,5.0,0.21,5.0,0.22,5.0,0.02,0.02,614.903654,1776244517000
1776246188.53,188.53,0.9,5.0,0.89,5.0,0.91,20.0,0.97,11.0,0.09,81.7,0.08,35.29,0.11,5.0,0.12,5.0,0.01,0.02,614.903654,1776244517000
1776246202.014,202.014,0.9,33.9,0.89,31.6,0.91,17.8,0.96,5.0,0.09,20.0,0.03,11.0,0.1,5.0,0.11,5.0,0.01,0.01,614.903654,1776244517000
1776246205.113,205.113,0.9,33.9,0.89,31.6,0.91,15.6,0.96,5.0,0.09,17.8,0.04,5.0,0.1,33.9,0.11,31.6,0.01,0.01,614.903654,1776244517000
1776246208.042,208.042,0.9,47.9,0.89,31.6,0.91,10.49,0.97,10.0,0.09,15.6,0.04,5.0,0.1,33.9,0.11,31.6,0.01,0.01,614.903654,1776244517000
1776246208.345,208.345,0.9,47.9,0.89,31.6,0.91,5.43,0.97,10.0,0.09,10.49,0.03,10.0,0.1,47.9,0.11,31.6,0.01,0.01,614.903654,1776244517000
1776246210.668,210.668,0.9,47.9,0.89,31.6,0.97,10.0,0.98,142.69,0.09,5.43,0.03,10.0,0.1,47.9,0.11,31.6,0.07,0.01,614.903654,1776244517000
1776246242.675,242.675,0.96,72.7,0.95,59.7,0.98,7.0,0.99,5482.6,0.03,10.0,0.02,142.69,0.1,47.9,0.11,31.6,0.02,0.07,614.903654,1776244517000
1776246243.196,243.196,0.97,94.3,0.96,72.7,0.98,1.0,0.99,5482.6,0.02,7.0,0.01,5482.6,0.04,72.7,0.05,59.7,0.01,0.02,614.903654,1776244517000
1776246252.056,252.056,0.98,137.69,0.97,94.3,0.99,215.95,,,0.02,1.0,0.01,5482.6,0.03,94.3,0.04,72.7,0.01,0.01,614.903654,1776244517000
1776246268.845,268.845,0.99,905.07,0.98,137.69,,,,,0.01,214.93,,,0.02,137.69,0.03,94.3,,0.01,614.903654,1776244517000
