timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776316501.2,1.2,0.5,10.72,0.41,37.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.5,10.72,0.59,37.0,0.09,0.09,622.865,1776316500000
1776316504.507,4.507,0.5,5.72,0.41,50.0,0.51,5.0,0.52,5.0,0.41,37.0,0.4,33.0,0.5,10.72,0.59,37.0,0.01,0.09,622.802094,1776316502000
1776316505.241,5.241,0.37,5.0,0.36,10.0,0.51,5.0,0.52,5.0,0.49,5.0,0.48,5.0,0.5,5.72,0.59,50.0,0.14,0.01,622.771,1776316503000
1776316505.869,5.869,0.39,5.0,0.38,5.0,0.41,5.0,0.42,5.0,0.49,5.0,0.48,5.0,0.63,5.0,0.64,10.0,0.02,0.14,622.819,1776316504000
1776316528.369,28.369,0.51,5.0,0.5,5.0,0.53,5.0,0.54,5.0,0.59,5.0,0.58,5.0,0.61,5.0,0.62,5.0,0.02,0.02,622.832361,1776316527000
1776316539.952,39.952,0.49,6.9,0.41,5.0,0.5,5.0,0.51,55.0,0.47,5.0,0.46,5.0,0.49,5.0,0.5,5.0,0.01,0.02,622.826194,1776316538000
1776316540.426,40.426,0.32,10.0,0.31,10.0,0.34,5.0,0.35,5.0,0.5,5.0,0.49,55.0,0.59,5.0,0.68,5.0,0.02,0.09,622.822867,1776316539000
1776316542.641,42.641,0.38,1.75,0.37,5.0,0.39,5.0,0.4,10.0,0.65,5.0,0.64,5.0,0.67,5.0,0.68,15.0,0.01,0.02,622.749555,1776316541000
1776316552.326,52.326,0.43,5.0,0.42,5.0,0.45,10.0,0.46,5.0,0.61,5.0,0.6,10.0,0.62,1.75,0.63,5.0,0.02,0.01,622.75639,1776316551000
1776316556.529,56.529,0.48,5.0,0.47,5.0,0.5,5.0,0.51,5.0,0.55,10.0,0.54,5.0,0.57,5.0,0.58,5.0,0.02,0.02,622.773,1776316555000
1776316557.436,57.436,0.52,5.0,0.51,5.0,0.54,5.0,0.55,10.0,0.5,5.0,0.49,5.0,0.52,5.0,0.53,5.0,0.02,0.02,622.77,1776316556000
1776316571.205,71.205,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.47,5.0,0.46,5.0,0.49,5.0,0.5,5.0,0.02,0.02,623.014531,1776316569000
1776316585.227,85.227,0.67,5.0,0.66,5.0,0.69,12.2,0.7,22.4,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.02,0.02,622.96316,1776316584000
1776316602.459,102.459,0.61,5.0,0.6,5.0,0.63,7.2,0.64,26.3,0.31,12.2,0.3,22.4,0.33,5.0,0.34,5.0,0.02,0.02,622.893482,1776316601000
1776316620.738,120.738,0.48,5.0,0.47,5.0,0.51,5.0,0.52,5.0,0.37,7.2,0.36,26.3,0.39,5.0,0.4,5.0,0.03,0.02,622.95672,1776316619000
1776316620.948,120.948,0.55,3.55,0.54,5.0,0.58,5.0,0.59,5.0,0.42,5.0,0.41,5.0,0.44,5.0,0.45,5.0,0.03,0.02,622.95672,1776316619000
1776316621.546,121.546,0.55,3.55,0.54,5.0,0.58,10.0,0.59,5.0,0.42,5.0,0.41,5.0,0.45,3.55,0.46,5.0,0.03,0.03,622.956729,1776316620000
1776316621.855,121.855,0.56,5.0,0.55,3.55,0.58,5.0,0.59,5.0,0.42,10.0,0.41,5.0,0.45,3.55,0.46,5.0,0.02,0.03,622.956729,1776316620000
1776316622.628,122.628,0.55,3.55,0.54,5.0,0.58,10.0,0.6,5.0,0.42,5.0,0.41,5.0,0.44,5.0,0.45,3.55,0.03,0.02,622.90509,1776316621000
1776316627.326,127.326,0.53,5.0,0.52,5.0,0.55,5.0,0.56,5.0,0.42,15.0,0.41,5.0,0.46,2.55,0.47,5.0,0.02,0.04,622.859,1776316626000
1776316629.401,129.401,0.56,5.0,0.55,5.0,0.59,5.0,0.6,5.0,0.45,5.0,0.44,5.0,0.47,5.0,0.48,5.0,0.03,0.02,622.863,1776316627000
1776316630.542,130.542,0.56,10.0,0.55,5.0,0.57,3.0,0.58,5.0,0.41,5.0,0.4,5.0,0.44,5.0,0.45,5.0,0.01,0.03,622.887094,1776316629000
1776316633.119,133.119,0.56,5.0,0.55,5.0,0.58,2.0,0.59,5.0,0.43,3.0,0.42,5.0,0.44,10.0,0.45,5.0,0.02,0.01,622.934326,1776316631000
1776316664.363,164.363,0.38,5.0,0.37,16.2,0.41,5.0,0.42,5.0,0.4,3.0,0.39,5.0,0.42,5.0,0.43,5.0,0.03,0.02,622.930617,1776316662000
1776316665.776,165.776,0.44,1.07,0.43,5.0,0.45,5.0,0.46,5.0,0.57,5.0,0.56,5.0,0.6,5.0,0.61,5.0,0.01,0.03,622.923835,1776316664000
1776316682.331,182.331,0.54,2.0,0.53,5.0,0.57,5.0,0.58,10.1,0.54,5.0,0.53,5.0,0.57,5.0,0.58,5.0,0.03,0.03,622.824462,1776316681000
1776316697.465,197.465,0.6,5.0,0.59,5.0,0.63,5.0,0.64,10.0,0.43,5.0,0.42,10.1,0.46,2.0,0.47,5.0,0.03,0.03,622.908147,1776316696000
