timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776169801.094,1.094,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.08112,1776169800000
1776169802.225,2.225,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.001649,1776169801000
1776169803.211,3.211,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.001692,1776169802000
1776169804.322,4.322,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.142,1776169803000
1776169805.408,5.408,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.27293,1776169804000
1776169806.227,6.227,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.27293,1776169805000
1776169807.106,7.106,0.71,5.0,0.67,5.0,0.66,5.0,0.65,5.0,0.64,5.0,0.72,10.0,0.75,600.0,0.78,22.0,0.79,750.0,0.81,50.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.01,0.18,616.27293,1776169805000
1776169808.399,8.399,0.67,5.0,0.66,5.0,0.65,5.0,0.64,5.0,0.63,5.0,0.72,10.0,0.75,600.0,0.78,22.0,0.79,750.0,0.81,50.0,0.28,10.0,0.25,600.0,0.22,22.0,0.21,750.0,0.19,50.0,0.33,5.0,0.34,5.0,0.35,5.0,0.36,5.0,0.37,5.0,0.05,0.05,616.32036,1776169807000
1776169808.781,8.781,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.28,10.0,0.25,600.0,0.22,22.0,0.21,750.0,0.19,50.0,0.33,5.0,0.34,5.0,0.35,5.0,0.36,5.0,0.37,5.0,0.23,0.05,616.32036,1776169807000
1776169809.332,9.332,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.27299,1776169808000
1776169811.03,11.03,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.26213,1776169809000
1776169811.621,11.621,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.234878,1776169810000
1776169812.176,12.176,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.20643,1776169811000
1776169813.245,13.245,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.178796,1776169812000
1776169814.426,14.426,0.51,50.0,0.41,50.0,0.31,50.0,0.25,600.0,0.21,800.0,0.74,10.0,0.75,600.0,0.79,750.0,0.81,50.0,0.83,900.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.23,0.23,616.129205,1776169813000
1776169814.795,14.795,0.48,9.0,0.45,5.0,0.44,5.0,0.43,5.0,0.42,5.0,0.57,26.43,0.58,10.0,0.6,5.0,0.62,5.0,0.69,5.0,0.26,10.0,0.25,600.0,0.21,750.0,0.19,50.0,0.17,900.0,0.49,50.0,0.59,50.0,0.69,50.0,0.75,600.0,0.79,800.0,0.09,0.23,616.129205,1776169813000
