timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776394801.141,1.141,0.42,11.9,0.41,10.0,0.59,10.0,0.63,180.0,0.41,10.0,0.37,180.0,0.58,11.9,0.59,10.0,0.17,0.17,629.765077,1776394800000
1776394816.484,16.484,0.46,20.0,0.45,5.0,0.48,5.0,0.49,5.0,0.41,10.0,0.37,180.0,0.58,11.9,0.59,10.0,0.02,0.17,629.755683,1776394815000
1776394820.609,20.609,0.46,13.14,0.4,5.0,0.47,45.0,0.48,5.0,0.52,5.0,0.51,5.0,0.54,20.0,0.55,5.0,0.01,0.02,629.749626,1776394819000
1776394821.406,21.406,0.45,10.0,0.4,5.0,0.47,45.0,0.48,5.0,0.53,45.0,0.52,5.0,0.54,13.14,0.6,5.0,0.02,0.01,629.740686,1776394820000
1776394822.813,22.813,0.45,4.9,0.44,5.0,0.46,5.0,0.47,45.0,0.53,45.0,0.52,5.0,0.55,10.0,0.6,5.0,0.01,0.02,629.732627,1776394821000
1776394825.399,25.399,0.44,13.21,0.42,5.0,0.45,5.0,0.46,5.0,0.54,5.0,0.53,45.0,0.55,4.9,0.56,5.0,0.01,0.01,629.730736,1776394823000
1776394836.281,36.281,0.45,5.0,0.44,15.0,0.47,38.63,0.48,5.0,0.55,5.0,0.54,5.0,0.56,13.21,0.58,5.0,0.02,0.01,629.737815,1776394835000
1776394842.397,42.397,0.45,3.18,0.44,15.0,0.46,5.0,0.47,38.63,0.53,38.63,0.52,5.0,0.55,5.0,0.56,15.0,0.01,0.02,629.745139,1776394841000
1776394845.107,45.107,0.44,10.0,0.43,5.0,0.47,4.04,0.48,5.0,0.54,5.0,0.53,38.63,0.55,3.18,0.56,15.0,0.03,0.01,629.73814,1776394844000
1776394852.563,52.563,0.51,5.0,0.5,5.0,0.54,5.0,0.55,15.0,0.53,4.04,0.52,5.0,0.56,10.0,0.57,5.0,0.03,0.03,629.737609,1776394851000
