timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776166511.526,11.526,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.109,1776166510000
1776166511.995,11.995,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.109,1776166510000
1776166512.976,12.976,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.182,1776166512000
1776166513.962,13.962,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.182,1776166513000
1776166514.996,14.996,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.172413,1776166514000
1776166515.998,15.998,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.170928,1776166515000
1776166517.051,17.051,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.171,1776166516000
1776166518.085,18.085,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.185,1776166517000
1776166518.977,18.977,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.184,1776166518000
1776166520.019,20.019,0.5,5.0,0.49,5.0,0.43,16.0,0.42,5.0,0.41,55.0,0.59,10.0,0.6,5.0,0.61,5.0,0.64,13.0,0.67,5.0,0.41,10.0,0.4,5.0,0.39,5.0,0.36,13.0,0.33,5.0,0.5,5.0,0.51,5.0,0.57,16.0,0.58,5.0,0.59,55.0,0.09,0.09,616.17104,1776166519000
