timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776387900.508,0.508,0.48,5.0,0.47,40.0,0.52,5.0,0.53,40.0,0.41,5.0,0.4,65.0,0.59,5.0,0.6,65.0,0.04,0.18,633.649521,1776387899000
1776387901.003,1.003,0.41,5.0,0.4,65.0,0.59,5.0,0.6,65.0,0.41,5.0,0.4,65.0,0.59,5.0,0.6,65.0,0.18,0.18,633.649843,1776387900000
1776387913.196,13.196,0.57,5.0,0.56,5.0,0.58,5.33,0.64,8.0,0.41,5.0,0.4,65.0,0.59,5.0,0.6,65.0,0.01,0.18,633.673202,1776387912000
1776387913.446,13.446,0.59,5.0,0.58,5.0,0.63,5.0,0.64,13.0,0.36,13.0,0.35,13.0,0.43,5.0,0.44,5.0,0.04,0.07,633.673202,1776387912000
1776387913.785,13.785,0.6,5.0,0.59,5.0,0.62,5.0,0.63,5.0,0.37,5.0,0.36,13.0,0.41,5.0,0.42,5.0,0.02,0.04,633.673202,1776387912000
1776387931.807,31.807,0.62,27.0,0.61,47.0,0.63,5.0,0.64,5.0,0.38,5.0,0.37,5.0,0.4,5.0,0.41,5.0,0.01,0.02,633.752804,1776387930000
1776387955.435,55.435,0.62,10.0,0.61,47.0,0.64,5.0,0.65,5.0,0.37,5.0,0.36,5.0,0.38,27.0,0.39,47.0,0.02,0.01,633.781612,1776387954000
1776387957.198,57.198,0.63,5.0,0.62,10.0,0.65,5.0,0.66,5.0,0.36,5.0,0.35,5.0,0.38,10.0,0.39,47.0,0.02,0.02,633.781612,1776387956000
1776387959.394,59.394,0.62,5.0,0.61,47.0,0.64,5.0,0.65,5.0,0.35,5.0,0.34,5.0,0.37,5.0,0.38,10.0,0.02,0.02,633.780862,1776387958000
1776387963.246,63.246,0.63,5.0,0.62,5.0,0.65,5.0,0.67,26.8,0.36,5.0,0.35,5.0,0.38,5.0,0.39,47.0,0.02,0.02,633.719621,1776387962000
1776387979.95,79.95,0.68,5.0,0.67,5.0,0.69,4.0,0.7,10.0,0.35,5.0,0.33,26.8,0.37,5.0,0.38,5.0,0.01,0.02,633.76,1776387978000
1776387980.304,80.304,0.68,5.0,0.67,5.0,0.7,10.0,0.72,5.0,0.31,4.0,0.3,10.0,0.32,5.0,0.33,5.0,0.02,0.01,633.758761,1776387979000
1776387990.641,90.641,0.63,5.0,0.62,5.0,0.66,4.0,0.67,5.0,0.3,10.0,0.28,5.0,0.32,5.0,0.33,5.0,0.03,0.02,633.770435,1776387988000
1776387998.03,98.03,0.72,5.0,0.71,5.0,0.73,2.0,0.74,5.0,0.34,4.0,0.33,5.0,0.37,5.0,0.38,5.0,0.01,0.03,633.8,1776387996000
1776388000.12,100.12,0.8,5.0,0.79,5.0,0.81,47.0,0.83,5.0,0.27,2.0,0.26,5.0,0.28,5.0,0.29,5.0,0.01,0.01,633.817332,1776387998000
1776388000.687,100.687,0.8,5.0,0.79,5.0,0.81,45.64,0.83,5.0,0.19,47.0,0.17,5.0,0.2,5.0,0.21,5.0,0.01,0.01,633.843406,1776387999000
1776388003.57,103.57,0.8,5.0,0.79,5.0,0.81,37.4,0.82,5.0,0.19,45.64,0.17,5.0,0.2,5.0,0.21,5.0,0.01,0.01,633.933596,1776388002000
1776388005.981,105.981,0.87,5.0,0.86,5.0,0.88,26.6,0.89,31.6,0.19,37.4,0.18,5.0,0.2,5.0,0.21,5.0,0.01,0.01,633.928457,1776388004000
1776388026.782,126.782,0.89,4.14,0.88,5.0,0.9,10.0,0.91,42.7,0.12,24.6,0.11,31.6,0.13,1.0,0.14,5.0,0.01,0.01,634.066158,1776388024000
1776388032.744,132.744,0.89,4.14,0.88,10.0,0.91,11.0,0.92,12.0,0.1,10.0,0.09,42.7,0.11,4.14,0.12,5.0,0.02,0.01,634.06259,1776388031000
1776388039.49,139.49,0.9,5.0,0.89,35.74,0.91,1.0,0.92,12.0,0.09,11.0,0.08,12.0,0.11,4.14,0.12,10.0,0.01,0.02,634.111984,1776388038000
1776388043.492,143.492,0.9,60.9,0.89,30.74,0.92,12.0,0.93,14.0,0.09,1.0,0.08,12.0,0.1,5.0,0.11,35.74,0.02,0.01,634.120412,1776388042000
1776388056.482,156.482,0.91,42.46,0.9,38.9,0.92,1.9,0.93,14.0,0.08,12.0,0.07,14.0,0.1,60.9,0.11,30.74,0.01,0.02,634.133323,1776388055000
1776388060.805,160.805,0.91,74.46,0.9,43.9,0.93,0.71,0.94,16.0,0.08,1.9,0.07,14.0,0.09,42.46,0.1,38.9,0.02,0.01,634.138142,1776388059000
