timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776408001.573,1.573,0.42,11.9,0.41,10.0,0.59,10.0,0.6,5.0,0.41,10.0,0.4,5.0,0.58,11.9,0.59,10.0,0.17,0.17,628.132371,1776408000000
1776408006.004,6.004,0.57,5.0,0.56,5.0,0.6,8.0,0.61,58.0,0.41,10.0,0.4,5.0,0.62,5.13,0.63,6.0,0.03,0.21,628.15632,1776408004000
1776408013.24,13.24,0.42,3.1,0.41,5.0,0.44,5.0,0.45,5.0,0.4,8.0,0.39,58.0,0.44,5.0,0.45,5.0,0.02,0.04,628.126,1776408011000
1776408015.367,15.367,0.39,5.0,0.38,5.0,0.42,3.04,0.43,5.0,0.56,5.0,0.55,5.0,0.58,3.1,0.59,5.0,0.03,0.02,628.07074,1776408014000
1776408025.886,25.886,0.5,20.0,0.49,5.0,0.53,5.0,0.54,5.0,0.58,3.04,0.57,5.0,0.61,5.0,0.62,5.0,0.03,0.03,628.12,1776408024000
1776408026.45,26.45,0.51,5.0,0.5,15.0,0.52,1.15,0.53,5.0,0.47,5.0,0.46,5.0,0.5,20.0,0.51,5.0,0.01,0.03,628.112,1776408025000
1776408026.773,26.773,0.51,10.0,0.5,5.0,0.53,1.15,0.54,5.0,0.48,1.15,0.47,5.0,0.49,5.0,0.5,15.0,0.02,0.01,628.112,1776408025000
1776408033.556,33.556,0.49,5.0,0.48,20.0,0.51,5.0,0.52,5.0,0.45,5.0,0.44,5.0,0.49,10.0,0.5,5.0,0.02,0.04,628.222,1776408032000
1776408043.008,43.008,0.66,5.0,0.65,5.0,0.67,5.0,0.69,5.0,0.49,5.0,0.48,5.0,0.51,5.0,0.52,20.0,0.01,0.02,628.107,1776408041000
1776408043.508,43.508,0.65,5.0,0.64,5.0,0.67,5.0,0.68,5.0,0.33,5.0,0.31,5.0,0.34,5.0,0.35,5.0,0.02,0.01,628.14224,1776408042000
1776408044.601,44.601,0.64,5.0,0.63,5.0,0.66,3.5,0.67,5.0,0.33,5.0,0.32,5.0,0.35,5.0,0.36,5.0,0.02,0.02,628.195,1776408043000
1776408052.269,52.269,0.78,5.0,0.77,10.0,0.79,4.0,0.8,5.0,0.35,5.0,0.34,3.5,0.36,5.0,0.37,5.0,0.01,0.01,628.425041,1776408051000
1776408082.405,82.405,0.78,5.0,0.77,5.0,0.81,55.0,0.82,5.0,0.21,4.0,0.2,5.0,0.22,5.0,0.23,10.0,0.03,0.01,628.464716,1776408081000
1776408086.482,86.482,0.68,10.0,0.66,5.0,0.71,45.0,0.72,5.0,0.19,55.0,0.18,5.0,0.22,5.0,0.23,5.0,0.03,0.03,628.408437,1776408084000
1776408086.834,86.834,0.69,4.83,0.68,15.0,0.71,45.0,0.72,5.0,0.29,45.0,0.28,5.0,0.32,10.0,0.34,5.0,0.02,0.03,628.408437,1776408084000
1776408115.594,115.594,0.7,20.0,0.69,4.83,0.71,39.67,0.75,5.0,0.29,45.0,0.28,5.0,0.31,4.83,0.32,15.0,0.01,0.02,628.331,1776408114000
1776408134.441,134.441,0.7,25.0,0.69,17.2,0.71,27.32,0.77,5.0,0.29,39.67,0.25,5.0,0.3,20.0,0.31,4.83,0.01,0.01,628.336,1776408133000
1776408149.273,149.273,0.7,27.4,0.69,17.2,0.71,17.32,0.76,5.0,0.29,27.32,0.23,5.0,0.3,25.0,0.31,17.2,0.01,0.01,628.329,1776408147000
1776408149.597,149.597,0.7,37.4,0.69,17.2,0.71,12.24,0.76,5.0,0.29,17.32,0.24,5.0,0.3,27.4,0.31,17.2,0.01,0.01,628.329,1776408147000
1776408154.574,154.574,0.7,25.0,0.69,17.2,0.71,7.16,0.76,5.0,0.29,12.24,0.24,5.0,0.3,37.4,0.31,17.2,0.01,0.01,628.323,1776408152000
1776408163.454,163.454,0.7,37.4,0.69,17.2,0.71,2.16,0.79,5.0,0.29,7.16,0.24,5.0,0.3,25.0,0.31,17.2,0.01,0.01,628.33,1776408162000
1776408170.123,170.123,0.71,7.84,0.7,27.4,0.79,5.0,0.8,5.0,0.29,2.16,0.21,5.0,0.3,37.4,0.31,17.2,0.08,0.01,628.343,1776408168000
1776408172.416,172.416,0.82,5.0,0.81,5.0,0.85,5.0,0.86,5.0,0.21,5.0,0.2,5.0,0.29,7.84,0.3,27.4,0.03,0.08,628.344,1776408171000
1776408178.1,178.1,0.84,10.0,0.83,5.0,0.85,3.81,0.86,5.0,0.15,5.0,0.14,5.0,0.18,5.0,0.19,5.0,0.01,0.03,628.39413,1776408176000
1776408178.361,178.361,0.83,5.0,0.82,32.6,0.85,3.81,0.86,5.0,0.15,3.81,0.14,5.0,0.16,10.0,0.17,5.0,0.02,0.01,628.351821,1776408177000
1776408234.379,234.379,0.92,35.29,0.91,31.7,0.94,5.0,0.95,5.0,0.15,3.81,0.14,5.0,0.17,5.0,0.18,32.6,0.02,0.02,628.420628,1776408233000
1776408244.087,244.087,0.95,54.7,0.94,51.1,0.97,38.0,0.98,65.0,0.06,5.0,0.05,5.0,0.08,35.29,0.09,31.7,0.02,0.02,628.496279,1776408242000
1776408256.953,256.953,0.96,72.7,0.95,59.7,0.97,30.95,0.98,65.0,0.03,38.0,0.02,65.0,0.05,54.7,0.06,51.1,0.01,0.02,628.467,1776408255000
1776408260.415,260.415,0.96,72.7,0.95,59.7,0.97,28.95,0.98,65.0,0.03,30.95,0.02,65.0,0.04,72.7,0.05,59.7,0.01,0.01,628.465437,1776408259000
1776408262.355,262.355,0.96,72.7,0.95,59.7,0.97,20.64,0.98,65.0,0.03,28.95,0.02,65.0,0.04,72.7,0.05,59.7,0.01,0.01,628.465438,1776408261000
1776408262.667,262.667,0.96,72.7,0.95,59.7,0.97,19.6,0.98,65.0,0.03,20.64,0.02,65.0,0.04,72.7,0.05,59.7,0.01,0.01,628.465438,1776408261000
