timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776377101.146,1.146,0.5,5.0,0.41,5.0,0.59,5.0,0.6,33.0,0.41,5.0,0.4,33.0,0.5,5.0,0.59,5.0,0.09,0.09,633.938599,1776377100000
1776377101.916,1.916,0.5,5.0,0.41,5.0,0.59,5.0,0.6,33.0,0.41,5.0,0.4,33.0,0.5,5.0,0.59,5.0,0.09,0.09,633.924822,1776377101000
1776377103.138,3.138,0.5,5.0,0.41,5.0,0.59,5.0,0.6,33.0,0.41,5.0,0.4,33.0,0.5,5.0,0.59,5.0,0.09,0.09,633.95491,1776377102000
1776377103.912,3.912,0.53,5.0,0.52,5.0,0.55,3.18,0.56,5.0,0.41,5.0,0.4,33.0,0.5,5.0,0.59,5.0,0.02,0.09,633.95491,1776377102000
1776377105.192,5.192,0.54,5.0,0.53,5.0,0.56,4.55,0.57,5.0,0.44,4.55,0.43,5.0,0.46,5.0,0.47,5.0,0.02,0.02,633.983632,1776377104000
1776377106.24,6.24,0.54,5.0,0.53,5.0,0.56,4.55,0.57,5.0,0.44,4.55,0.43,5.0,0.46,5.0,0.47,5.0,0.02,0.02,633.937018,1776377105000
1776377106.555,6.555,0.58,5.0,0.57,5.0,0.59,2.0,0.6,5.0,0.44,4.55,0.43,5.0,0.46,5.0,0.47,5.0,0.01,0.02,633.937018,1776377105000
1776377108.571,8.571,0.58,5.0,0.57,5.0,0.61,4.0,0.62,5.0,0.39,4.0,0.38,5.0,0.42,5.0,0.43,5.0,0.03,0.03,634.001312,1776377107000
1776377109.878,9.878,0.58,5.0,0.57,5.0,0.61,4.0,0.62,5.0,0.39,4.0,0.38,5.0,0.42,5.0,0.43,5.0,0.03,0.03,634.035723,1776377108000
1776377110.1,10.1,0.6,18.0,0.57,5.0,0.61,5.0,0.62,5.0,0.39,4.0,0.38,5.0,0.42,5.0,0.43,5.0,0.01,0.03,634.035723,1776377108000
1776377110.604,10.604,0.6,18.0,0.57,5.0,0.61,5.0,0.62,5.0,0.39,5.0,0.38,5.0,0.4,18.0,0.43,5.0,0.01,0.01,634.035,1776377109000
1776377111.226,11.226,0.61,5.0,0.6,23.0,0.63,11.98,0.64,5.0,0.39,5.0,0.38,5.0,0.4,18.0,0.43,5.0,0.02,0.01,634.035,1776377109000
1776377115.319,15.319,0.6,15.0,0.55,5.0,0.61,56.0,0.62,5.0,0.37,11.98,0.36,5.0,0.39,5.0,0.4,23.0,0.01,0.02,634.043327,1776377113000
1776377119.34,19.34,0.57,5.0,0.56,5.0,0.58,1.63,0.59,15.0,0.39,56.0,0.38,5.0,0.44,5.0,0.45,5.0,0.01,0.05,634.01837,1776377116000
1776377129.404,29.404,0.59,5.0,0.58,5.0,0.6,5.0,0.61,56.0,0.42,1.63,0.41,15.0,0.43,5.0,0.44,5.0,0.01,0.01,633.946256,1776377120000
1776377131.344,31.344,0.59,5.0,0.58,5.0,0.61,61.09,0.62,5.0,0.4,5.0,0.39,56.0,0.41,5.0,0.42,5.0,0.02,0.01,633.944302,1776377130000
1776377131.758,31.758,0.6,5.0,0.59,15.0,0.61,48.0,0.66,10.0,0.39,61.09,0.38,5.0,0.41,5.0,0.42,5.0,0.01,0.02,633.944302,1776377130000
1776377141.019,41.019,0.59,5.0,0.58,5.0,0.61,45.0,0.62,5.0,0.39,48.0,0.34,10.0,0.4,5.0,0.41,15.0,0.02,0.01,634.047334,1776377139000
1776377154.466,54.466,0.67,5.0,0.66,5.0,0.68,2.0,0.69,5.0,0.39,45.0,0.38,5.0,0.41,5.0,0.42,5.0,0.01,0.02,634.099,1776377153000
1776377155.978,55.978,0.68,5.0,0.67,5.0,0.7,10.0,0.71,5.0,0.32,2.0,0.31,5.0,0.33,5.0,0.34,5.0,0.02,0.01,634.108132,1776377154000
1776377157.804,57.804,0.72,5.0,0.71,5.0,0.73,7.0,0.74,5.0,0.3,10.0,0.29,5.0,0.32,5.0,0.33,5.0,0.01,0.02,634.11,1776377156000
1776377162.744,62.744,0.72,5.0,0.71,5.0,0.74,4.0,0.75,10.0,0.27,7.0,0.26,5.0,0.28,5.0,0.29,5.0,0.02,0.01,634.163408,1776377161000
1776377164.733,64.733,0.73,3.25,0.72,5.0,0.75,10.0,0.76,19.3,0.26,4.0,0.25,10.0,0.28,5.0,0.29,5.0,0.02,0.02,634.20055,1776377163000
1776377165.103,65.103,0.76,5.0,0.75,5.0,0.78,22.2,0.79,20.7,0.25,10.0,0.24,19.3,0.27,3.25,0.28,5.0,0.02,0.02,634.20055,1776377164000
1776377168.695,68.695,0.8,5.0,0.79,5.0,0.82,2.0,0.83,28.39,0.22,22.2,0.21,20.7,0.24,5.0,0.25,5.0,0.02,0.02,634.302301,1776377167000
1776377174.473,74.473,0.79,5.0,0.78,5.0,0.82,5.0,0.83,23.39,0.18,2.0,0.17,28.39,0.2,5.0,0.21,5.0,0.03,0.02,634.264482,1776377172000
1776377180.826,80.826,0.82,5.0,0.81,5.0,0.84,2.0,0.85,25.39,0.18,5.0,0.17,23.39,0.21,5.0,0.22,5.0,0.02,0.03,634.29143,1776377179000
1776377196.364,96.364,0.79,5.0,0.78,5.0,0.81,5.0,0.82,22.6,0.16,2.0,0.15,25.39,0.18,5.0,0.19,5.0,0.02,0.02,634.333195,1776377195000
1776377197.591,97.591,0.79,1.27,0.78,5.0,0.82,22.6,0.83,23.39,0.19,5.0,0.18,22.6,0.21,5.0,0.22,5.0,0.03,0.02,634.319,1776377196000
1776377206.733,106.733,0.72,7.0,0.71,5.0,0.74,5.0,0.75,5.0,0.18,22.6,0.17,23.39,0.21,1.27,0.22,5.0,0.02,0.03,634.293,1776377205000
1776377214.408,114.408,0.82,5.0,0.81,5.0,0.83,2.0,0.84,2.0,0.26,5.0,0.25,5.0,0.28,7.0,0.29,5.0,0.01,0.02,634.275546,1776377213000
1776377216.23,116.23,0.81,4.47,0.8,5.0,0.84,2.0,0.85,25.39,0.17,2.0,0.16,2.0,0.18,5.0,0.19,5.0,0.03,0.01,634.275546,1776377213000
1776377218.21,118.21,0.81,4.47,0.8,5.0,0.85,25.19,0.86,31.6,0.16,2.0,0.15,25.39,0.19,4.47,0.2,5.0,0.04,0.03,634.324032,1776377215000
1776377221.811,121.811,0.83,5.0,0.82,5.0,0.86,4.94,0.87,28.0,0.15,25.19,0.14,31.6,0.19,4.47,0.2,5.0,0.03,0.04,634.332356,1776377220000
1776377231.228,131.228,0.84,5.0,0.83,5.0,0.86,3.83,0.87,28.0,0.14,4.94,0.13,28.0,0.17,5.0,0.18,5.0,0.02,0.03,634.389,1776377229000
1776377243.084,143.084,0.85,5.0,0.84,5.0,0.86,27.0,0.87,23.0,0.14,3.83,0.13,28.0,0.16,5.0,0.17,5.0,0.01,0.02,634.334,1776377241000
1776377251.293,151.293,0.85,5.0,0.84,5.0,0.86,25.83,0.88,24.6,0.14,27.0,0.13,23.0,0.15,5.0,0.16,5.0,0.01,0.01,634.367,1776377250000
1776377258.778,158.778,0.85,5.0,0.84,5.0,0.86,13.13,0.89,26.6,0.14,25.83,0.12,24.6,0.15,5.0,0.16,5.0,0.01,0.01,634.382,1776377257000
1776377259.438,159.438,0.85,5.0,0.84,5.0,0.86,11.96,0.89,26.6,0.14,13.13,0.11,26.6,0.15,5.0,0.16,5.0,0.01,0.01,634.382,1776377257000
1776377260.868,160.868,0.85,5.0,0.84,5.0,0.86,8.96,0.9,10.0,0.14,11.96,0.11,26.6,0.15,5.0,0.16,5.0,0.01,0.01,634.344212,1776377259000
1776377261.808,161.808,0.85,5.0,0.84,5.0,0.86,3.96,0.9,10.0,0.14,8.96,0.1,10.0,0.15,5.0,0.16,5.0,0.01,0.01,634.366,1776377260000
1776377262.678,162.678,0.86,6.04,0.85,10.0,0.9,10.0,0.91,11.0,0.14,3.96,0.1,10.0,0.15,5.0,0.16,5.0,0.04,0.01,634.373,1776377261000
1776377270.395,170.395,0.89,5.0,0.88,29.6,0.9,5.0,0.91,11.0,0.1,10.0,0.09,11.0,0.14,6.04,0.15,10.0,0.01,0.04,634.4762,1776377269000
1776377272.367,172.367,0.89,5.0,0.88,29.6,0.91,11.0,0.92,12.0,0.1,5.0,0.09,11.0,0.11,5.0,0.12,29.6,0.02,0.01,634.476835,1776377271000
1776377275.807,175.807,0.9,11.66,0.89,5.0,0.91,9.9,0.92,47.29,0.09,11.0,0.08,12.0,0.11,5.0,0.12,29.6,0.01,0.02,634.496017,1776377274000
