timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776274800.501,0.501,0.47,6.38,0.41,37.0,0.5,5.0,0.59,37.0,0.47,21.0,0.46,64.0,0.53,27.38,0.54,64.0,0.03,0.06,620.880888,1776274799000
1776274801.522,1.522,0.47,6.38,0.41,37.0,0.5,5.0,0.59,37.0,0.5,5.0,0.41,37.0,0.53,6.38,0.59,37.0,0.03,0.03,620.886863,1776274800000
1776274804.616,4.616,0.46,13.52,0.34,5.0,0.47,51.0,0.48,5.0,0.5,5.0,0.41,37.0,0.53,6.38,0.59,37.0,0.01,0.03,620.88199,1776274803000
1776274805.922,5.922,0.46,18.52,0.45,5.0,0.48,5.0,0.49,5.0,0.53,51.0,0.52,5.0,0.54,13.52,0.66,5.0,0.02,0.01,620.872782,1776274804000
1776274824.576,24.576,0.49,5.0,0.48,5.0,0.54,8.0,0.58,5.0,0.52,5.0,0.51,5.0,0.54,13.52,0.55,5.0,0.05,0.02,620.855177,1776274823000
1776274831.485,31.485,0.53,5.0,0.52,5.0,0.61,5.0,0.63,5.0,0.46,8.0,0.42,5.0,0.51,5.0,0.52,5.0,0.08,0.05,620.961306,1776274830000
1776274832.435,32.435,0.62,5.0,0.61,5.0,0.64,10.0,0.65,5.0,0.39,5.0,0.37,5.0,0.47,5.0,0.48,5.0,0.02,0.08,620.961313,1776274831000
1776274836.971,36.971,0.64,5.0,0.63,10.0,0.67,5.0,0.68,5.0,0.36,10.0,0.35,5.0,0.39,5.0,0.4,5.0,0.03,0.03,621.085912,1776274836000
1776274839.363,39.363,0.63,5.0,0.62,5.0,0.64,1.87,0.65,5.0,0.33,5.0,0.32,5.0,0.36,5.0,0.37,10.0,0.01,0.03,621.118256,1776274837000
1776274842.059,42.059,0.64,4.81,0.63,5.0,0.67,5.0,0.68,5.0,0.36,1.87,0.35,5.0,0.37,5.0,0.38,5.0,0.03,0.01,621.091799,1776274841000
1776274845.53,45.53,0.48,5.0,0.47,5.0,0.5,5.0,0.51,5.0,0.33,5.0,0.32,5.0,0.36,4.81,0.37,5.0,0.02,0.03,621.07288,1776274844000
1776274847.247,47.247,0.52,5.0,0.51,5.0,0.53,3.11,0.54,5.0,0.49,5.0,0.48,5.0,0.52,10.0,0.53,5.0,0.01,0.03,621.066005,1776274845000
1776274859.873,59.873,0.5,5.0,0.4,10.0,0.53,5.0,0.54,5.0,0.47,3.11,0.46,5.0,0.48,5.0,0.49,5.0,0.03,0.01,620.973583,1776274858000
1776274865.708,65.708,0.44,6.82,0.43,5.0,0.46,0.2,0.47,5.0,0.47,5.0,0.46,5.0,0.5,5.0,0.6,10.0,0.02,0.03,620.888,1776274864000
1776274866.172,66.172,0.47,5.0,0.46,5.0,0.49,0.2,0.5,5.0,0.54,0.2,0.53,5.0,0.56,6.82,0.57,5.0,0.02,0.02,620.888,1776274864000
1776274867.008,67.008,0.45,3.0,0.44,11.82,0.49,5.0,0.5,5.0,0.51,0.2,0.5,5.0,0.53,5.0,0.54,5.0,0.04,0.02,620.863223,1776274866000
1776274875.144,75.144,0.45,3.18,0.44,5.0,0.47,5.0,0.48,5.0,0.51,5.0,0.5,5.0,0.55,3.0,0.56,11.82,0.02,0.04,620.869,1776274873000
1776274878.259,78.259,0.43,11.81,0.42,5.0,0.45,5.0,0.46,5.0,0.53,5.0,0.52,5.0,0.55,3.18,0.56,5.0,0.02,0.02,620.858692,1776274877000
1776274880.782,80.782,0.43,1.89,0.39,5.0,0.44,5.0,0.45,5.0,0.55,5.0,0.54,5.0,0.57,11.81,0.58,5.0,0.01,0.02,620.857922,1776274879000
1776274882.304,82.304,0.43,1.89,0.35,5.0,0.45,4.1,0.46,5.0,0.56,5.0,0.55,5.0,0.57,1.89,0.61,5.0,0.02,0.01,620.823071,1776274881000
1776274882.621,82.621,0.35,5.0,0.31,10.0,0.37,4.2,0.38,5.0,0.56,5.0,0.55,4.1,0.65,5.0,0.7,10.0,0.02,0.09,620.823071,1776274881000
1776274883.13,83.13,0.35,5.0,0.33,5.0,0.37,3.3,0.38,5.0,0.63,4.2,0.62,5.0,0.65,5.0,0.69,10.0,0.02,0.02,620.823071,1776274881000
1776274883.461,83.461,0.35,5.0,0.34,5.0,0.37,2.5,0.38,5.0,0.63,3.3,0.62,5.0,0.65,5.0,0.67,5.0,0.02,0.02,620.823071,1776274881000
1776274901.503,101.503,0.37,5.0,0.36,5.0,0.4,3.1,0.41,5.0,0.63,2.5,0.62,5.0,0.65,5.0,0.66,5.0,0.03,0.02,620.733942,1776274900000
