timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776168001.319,1.319,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.65604,1776168000000
1776168002.445,2.445,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.66201,1776168001000
1776168002.977,2.977,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.679764,1776168002000
1776168003.9,3.9,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.67938,1776168003000
1776168005.313,5.313,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.668736,1776168004000
1776168006.478,6.478,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.69604,1776168005000
1776168007.123,7.123,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.69604,1776168006000
1776168008.211,8.211,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.18,0.18,616.710851,1776168007000
1776168009.334,9.334,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,189.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,189.0,0.08,0.18,616.710851,1776168007000
1776168010.419,10.419,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.73551,1776168009000
1776168010.949,10.949,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.73103,1776168010000
1776168012.038,12.038,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.72796,1776168011000
1776168013.139,13.139,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.71667,1776168012000
1776168014.197,14.197,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.735961,1776168013000
1776168015.495,15.495,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.73193,1776168014000
1776168016.082,16.082,0.53,2.87,0.52,5.0,0.41,12.0,0.31,50.0,0.21,800.0,0.61,50.0,0.62,13.0,0.63,5.0,0.65,5.0,0.71,50.0,0.39,50.0,0.38,13.0,0.37,5.0,0.35,5.0,0.29,50.0,0.47,2.87,0.48,5.0,0.59,12.0,0.69,50.0,0.79,800.0,0.08,0.08,616.73193,1776168015000
