timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776192611.428,11.428,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.458,1776192609000
1776192611.864,11.864,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.458,1776192609000
1776192612.088,12.088,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.487215,1776192611000
1776192613.809,13.809,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.559,1776192612000
1776192614.379,14.379,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.55722,1776192613000
1776192615.082,15.082,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.52575,1776192614000
1776192616.728,16.728,0.47,10.0,0.46,11.52,0.57,5.0,0.62,27.91,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.1,0.1,613.545,1776192615000
1776192617.07,17.07,0.54,5.0,0.51,55.0,0.62,4.91,0.64,18.0,0.43,5.0,0.38,27.91,0.53,10.0,0.54,11.52,0.08,0.1,613.545,1776192615000
1776192617.462,17.462,0.54,5.0,0.51,55.0,0.62,4.91,0.64,18.0,0.38,4.91,0.36,18.0,0.46,5.0,0.49,55.0,0.08,0.08,613.544,1776192616000
1776192618.173,18.173,0.71,35.09,0.61,76.0,0.72,5.0,0.73,5.0,0.38,4.91,0.36,18.0,0.46,5.0,0.49,55.0,0.01,0.08,613.544,1776192616000
1776192618.376,18.376,0.71,35.09,0.61,76.0,0.72,5.0,0.73,5.0,0.28,5.0,0.27,5.0,0.29,35.09,0.39,76.0,0.01,0.01,613.596189,1776192617000
1776192619.058,19.058,0.69,32.0,0.62,10.0,0.71,5.0,0.72,5.0,0.28,5.0,0.27,5.0,0.29,35.09,0.39,76.0,0.02,0.01,613.596189,1776192617000
1776192619.556,19.556,0.7,36.0,0.62,10.0,0.72,5.0,0.73,5.0,0.29,5.0,0.28,5.0,0.31,32.0,0.38,10.0,0.02,0.02,613.666,1776192618000
1776192620.323,20.323,0.7,36.0,0.62,10.0,0.72,5.0,0.73,5.0,0.28,5.0,0.27,5.0,0.3,36.0,0.38,10.0,0.02,0.02,614.054166,1776192619000
1776192620.709,20.709,0.72,5.0,0.71,29.0,0.89,110.0,0.91,50.0,0.28,5.0,0.27,5.0,0.3,36.0,0.38,10.0,0.17,0.02,614.054166,1776192619000
1776192621.044,21.044,0.72,5.0,0.71,29.0,0.89,110.0,0.91,50.0,0.11,110.0,0.09,50.0,0.28,5.0,0.29,29.0,0.17,0.17,614.173649,1776192620000
1776192621.373,21.373,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,110.0,0.09,50.0,0.28,5.0,0.29,29.0,0.11,0.17,614.173649,1776192620000
1776192622.382,22.382,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.11,0.11,614.239676,1776192621000
1776192623.626,23.626,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.11,0.11,614.2465,1776192622000
1776192624.213,24.213,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.11,0.11,614.229898,1776192623000
1776192625.557,25.557,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.11,0.11,614.210891,1776192624000
1776192626.205,26.205,0.78,5.0,0.72,5.0,0.89,108.0,0.91,50.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.11,0.11,614.20733,1776192625000
1776192626.471,26.471,0.72,5.0,0.67,5.0,0.79,10.0,0.8,25.0,0.11,108.0,0.09,50.0,0.22,5.0,0.28,5.0,0.07,0.11,614.20733,1776192625000
1776192626.772,26.772,0.72,23.0,0.67,5.0,0.79,5.0,0.8,25.0,0.21,10.0,0.2,25.0,0.28,5.0,0.33,5.0,0.07,0.07,614.20733,1776192625000
1776192627.73,27.73,0.72,23.0,0.67,5.0,0.79,5.0,0.8,25.0,0.21,5.0,0.2,25.0,0.28,23.0,0.33,5.0,0.07,0.07,614.259,1776192626000
