timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776381901.122,1.122,0.49,5.0,0.41,5.0,0.5,5.0,0.59,5.0,0.5,5.0,0.41,5.0,0.51,5.0,0.59,5.0,0.01,0.01,635.597066,1776381900000
1776381907.197,7.197,0.42,5.0,0.41,10.0,0.5,15.0,0.51,10.0,0.5,5.0,0.41,5.0,0.51,5.0,0.59,5.0,0.08,0.01,635.552,1776381905000
1776381914.625,14.625,0.42,6.29,0.41,15.0,0.44,5.0,0.45,5.0,0.5,15.0,0.49,10.0,0.58,5.0,0.59,10.0,0.02,0.08,635.51887,1776381913000
1776381917.98,17.98,0.44,5.0,0.43,15.0,0.46,2.0,0.47,5.0,0.56,5.0,0.55,5.0,0.58,6.29,0.59,15.0,0.02,0.02,635.520393,1776381916000
1776381927.274,27.274,0.47,5.0,0.46,5.0,0.49,2.0,0.5,5.0,0.54,2.0,0.53,5.0,0.56,5.0,0.57,15.0,0.02,0.02,635.515381,1776381926000
1776381933.182,33.182,0.41,5.0,0.4,5.0,0.44,5.0,0.45,5.0,0.51,2.0,0.5,5.0,0.53,5.0,0.54,5.0,0.03,0.02,635.536656,1776381931000
1776381936.158,36.158,0.43,5.0,0.42,10.0,0.45,0.55,0.46,5.0,0.56,5.0,0.55,5.0,0.59,5.0,0.6,5.0,0.02,0.03,635.541,1776381935000
1776381943.978,43.978,0.35,2.0,0.34,5.0,0.37,5.0,0.38,13.0,0.55,0.55,0.54,5.0,0.57,5.0,0.58,10.0,0.02,0.02,635.516368,1776381942000
1776381947.706,47.706,0.32,7.94,0.28,5.0,0.33,5.0,0.34,5.0,0.63,1.75,0.62,13.0,0.65,2.0,0.66,5.0,0.01,0.02,635.34752,1776381946000
1776381948.124,48.124,0.32,2.86,0.28,5.0,0.33,10.0,0.34,20.0,0.67,5.0,0.66,5.0,0.68,7.94,0.72,5.0,0.01,0.01,635.323929,1776381947000
1776381949.317,49.317,0.37,5.0,0.36,5.0,0.38,5.0,0.4,5.0,0.67,10.0,0.66,20.0,0.68,2.86,0.72,5.0,0.01,0.01,635.296751,1776381948000
1776381952.101,52.101,0.35,4.92,0.34,5.0,0.38,10.0,0.39,5.0,0.62,5.0,0.61,5.0,0.64,5.0,0.65,5.0,0.03,0.02,635.323662,1776381950000
1776381961.625,61.625,0.3,4.86,0.29,5.0,0.33,5.0,0.34,5.0,0.62,10.0,0.61,5.0,0.65,4.92,0.66,5.0,0.03,0.03,635.373223,1776381960000
1776381964.237,64.237,0.3,4.0,0.29,5.0,0.32,5.0,0.33,5.0,0.67,5.0,0.66,5.0,0.7,4.86,0.71,5.0,0.02,0.03,635.350328,1776381962000
1776381966.333,66.333,0.32,27.5,0.3,4.0,0.33,5.0,0.34,5.0,0.68,5.0,0.67,5.0,0.7,4.0,0.71,5.0,0.01,0.02,635.29315,1776381965000
1776381978.493,78.493,0.32,32.5,0.31,5.0,0.34,5.0,0.35,5.0,0.67,5.0,0.66,5.0,0.68,27.5,0.7,4.0,0.02,0.01,635.297694,1776381977000
1776381990.091,90.091,0.32,13.5,0.31,5.0,0.33,5.0,0.34,5.0,0.66,5.0,0.65,5.0,0.68,32.5,0.69,5.0,0.01,0.02,635.31977,1776381988000
1776382006.607,106.607,0.28,5.0,0.27,5.0,0.33,10.0,0.34,5.0,0.67,5.0,0.66,5.0,0.68,13.5,0.69,5.0,0.05,0.01,635.314893,1776382005000
1776382009.538,109.538,0.3,5.0,0.29,5.0,0.33,5.0,0.34,5.0,0.67,10.0,0.66,5.0,0.72,5.0,0.73,5.0,0.03,0.05,635.31153,1776382008000
1776382010.507,110.507,0.29,3.59,0.28,5.0,0.31,5.0,0.32,5.0,0.67,5.0,0.66,5.0,0.7,5.0,0.71,5.0,0.02,0.03,635.31172,1776382009000
1776382016.533,116.533,0.37,5.0,0.36,5.0,0.38,2.0,0.39,5.0,0.69,5.0,0.68,5.0,0.71,3.59,0.72,5.0,0.01,0.02,635.325087,1776382014000
1776382017.753,117.753,0.37,8.11,0.36,5.0,0.38,2.0,0.44,8.07,0.62,2.0,0.61,5.0,0.63,5.0,0.64,5.0,0.01,0.01,635.328489,1776382016000
1776382018.347,118.347,0.36,5.0,0.35,5.0,0.38,2.0,0.44,8.07,0.62,2.0,0.56,8.07,0.63,8.11,0.64,5.0,0.02,0.01,635.343052,1776382017000
1776382018.933,118.933,0.38,8.0,0.37,5.0,0.44,13.07,0.45,5.0,0.62,2.0,0.56,8.07,0.64,5.0,0.65,5.0,0.06,0.02,635.343052,1776382017000
