timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776162911.219,11.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.54496,1776162910000
1776162911.78,11.78,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.54496,1776162910000
1776162912.343,12.343,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.556,1776162911000
1776162912.871,12.871,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.556,1776162912000
1776162914.266,14.266,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.55906,1776162913000
1776162915.149,15.149,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.52173,1776162914000
1776162916.279,16.279,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.576,1776162915000
1776162917.482,17.482,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.574538,1776162916000
1776162918.365,18.365,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.582,1776162917000
1776162918.921,18.921,0.54,5.0,0.53,5.0,0.46,15.0,0.45,5.0,0.44,5.0,0.63,10.0,0.64,5.0,0.65,5.0,0.69,16.0,0.7,5.0,0.37,10.0,0.36,5.0,0.35,5.0,0.31,16.0,0.3,5.0,0.46,5.0,0.47,5.0,0.54,15.0,0.55,5.0,0.56,5.0,0.09,0.09,618.582,1776162918000
