timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,hype_price,hype_oracle_ts
1776162011.295,11.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.952061,1776162010000
1776162011.984,11.984,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.952061,1776162010000
1776162012.264,12.264,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.951944,1776162011000
1776162013.3,13.3,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.956146,1776162012000
1776162014.421,14.421,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.955582,1776162013000
1776162014.98,14.98,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.955229,1776162014000
1776162016.048,16.048,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.955217,1776162015000
1776162017.145,17.145,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.95552,1776162016000
1776162018.121,18.121,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.956875,1776162017000
1776162019.21,19.21,0.39,6.0,0.37,10.0,0.36,13.0,0.34,5.0,0.33,5.0,0.52,5.0,0.54,10.0,0.57,11.0,0.58,5.0,0.59,5.0,0.48,5.0,0.46,10.0,0.43,11.0,0.42,5.0,0.41,5.0,0.61,6.0,0.63,10.0,0.64,13.0,0.66,5.0,0.67,5.0,0.13,0.13,44.956674,1776162018000
