timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776214201.293,1.293,,,,,,,,,,,,,,,,,,,43.62313,1776214200000
1776214201.522,1.522,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.62313,1776214200000
1776214201.838,1.838,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.62313,1776214200000
1776214202.52,2.52,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.622647,1776214201000
1776214203.201,3.201,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.623014,1776214202000
1776214204.591,4.591,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.617572,1776214203000
1776214205.261,5.261,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.617253,1776214204000
1776214206.728,6.728,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.61582,1776214205000
1776214207.276,7.276,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.616133,1776214206000
1776214208.689,8.689,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.615624,1776214207000
1776214209.238,9.238,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.615624,1776214208000
1776214210.472,10.472,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.619756,1776214209000
1776214211.147,11.147,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.623267,1776214210000
1776214212.153,12.153,0.11,100.0,0.08,50.0,0.5,40.0,0.89,100.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.39,0.39,43.623301,1776214211000
1776214212.924,12.924,0.47,5.0,0.46,5.0,0.5,30.0,0.7,10.0,0.5,40.0,0.11,100.0,0.89,100.0,0.92,50.0,0.03,0.39,43.623301,1776214211000
1776214213.172,13.172,0.47,5.0,0.46,5.0,0.5,30.0,0.7,10.0,0.5,30.0,0.3,10.0,0.53,5.0,0.54,5.0,0.03,0.03,43.625169,1776214212000
1776214214.169,14.169,0.47,5.0,0.46,5.0,0.5,30.0,0.7,10.0,0.5,30.0,0.3,10.0,0.53,5.0,0.54,5.0,0.03,0.03,43.628084,1776214213000
1776214215.273,15.273,0.47,5.0,0.46,5.0,0.5,30.0,0.7,10.0,0.5,30.0,0.3,10.0,0.53,5.0,0.54,5.0,0.03,0.03,43.629395,1776214214000
1776214216.406,16.406,0.47,5.0,0.46,5.0,0.5,30.0,0.7,10.0,0.5,30.0,0.3,10.0,0.53,5.0,0.54,5.0,0.03,0.03,43.634343,1776214215000
1776214216.61,16.61,0.48,5.0,0.47,5.0,0.5,5.04,0.63,10.0,0.5,30.0,0.3,10.0,0.53,5.0,0.54,5.0,0.02,0.03,43.634343,1776214215000
1776214217.42,17.42,0.48,5.0,0.47,5.0,0.5,5.04,0.63,10.0,0.5,5.04,0.37,10.0,0.52,5.0,0.53,5.0,0.02,0.02,43.634343,1776214216000
1776214217.931,17.931,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.5,5.04,0.37,10.0,0.52,5.0,0.53,5.0,0.21,0.02,43.634343,1776214216000
1776214219.084,19.084,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.634227,1776214218000
1776214220.28,20.28,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.63916,1776214219000
1776214221.378,21.378,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.643209,1776214220000
1776214221.951,21.951,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.644492,1776214221000
1776214223.045,23.045,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.650086,1776214222000
1776214224.871,24.871,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.650974,1776214223000
1776214225.74,25.74,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.650994,1776214224000
1776214226.495,26.495,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.651339,1776214225000
1776214227.38,27.38,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.651312,1776214226000
1776214228.153,28.153,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.651762,1776214227000
1776214229.775,29.775,0.49,31.0,0.11,100.0,0.7,10.0,0.77,5.0,0.3,10.0,0.23,5.0,0.51,31.0,0.89,100.0,0.21,0.21,43.651731,1776214228000
