timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776241801.449,1.449,0.11,100.0,0.05,25.0,0.51,5.0,0.89,100.0,0.49,5.0,0.11,100.0,0.89,100.0,0.95,25.0,0.4,0.4,43.519096,1776236446000
1776241801.768,1.768,0.11,100.0,0.05,25.0,0.51,5.0,0.89,100.0,0.49,5.0,0.11,100.0,0.89,100.0,0.95,25.0,0.4,0.4,43.519096,1776236446000
1776241832.299,32.299,0.47,8.0,0.37,5.0,0.51,5.0,0.61,5.0,0.49,5.0,0.11,100.0,0.89,100.0,0.95,25.0,0.04,0.4,43.519096,1776236446000
1776241834.443,34.443,0.48,10.0,0.37,5.0,0.61,5.0,0.62,5.0,0.49,5.0,0.39,5.0,0.53,8.0,0.63,5.0,0.13,0.04,43.519096,1776236446000
1776241853.136,53.136,0.51,5.0,0.5,31.0,0.69,5.0,0.7,15.0,0.39,5.0,0.38,5.0,0.52,10.0,0.63,5.0,0.18,0.13,43.519096,1776236446000
1776241855.489,55.489,0.64,5.0,0.52,5.0,0.66,15.0,0.67,15.0,0.31,5.0,0.3,15.0,0.49,5.0,0.5,31.0,0.02,0.18,43.519096,1776236446000
1776241874.589,74.589,0.61,10.0,0.56,15.0,0.68,4.56,0.69,5.0,0.34,15.0,0.33,15.0,0.36,5.0,0.48,5.0,0.07,0.02,43.519096,1776236446000
1776241881.337,81.337,0.71,10.0,0.63,15.0,0.78,8.6,0.79,15.0,0.32,4.56,0.31,5.0,0.39,10.0,0.44,15.0,0.07,0.07,43.519096,1776236446000
1776241882.1,82.1,0.71,10.0,0.63,15.0,0.77,15.0,0.78,8.6,0.22,8.6,0.21,15.0,0.29,10.0,0.37,15.0,0.06,0.07,43.519096,1776236446000
1776241894.561,94.561,0.73,10.0,0.65,15.0,0.76,9.63,0.77,15.0,0.23,15.0,0.22,8.6,0.29,10.0,0.37,15.0,0.03,0.06,43.519096,1776236446000
1776241909.486,109.486,0.78,10.0,0.7,15.0,0.8,4.26,0.81,15.0,0.24,9.63,0.23,15.0,0.27,10.0,0.35,15.0,0.02,0.03,43.519096,1776236446000
1776241936.491,136.491,0.85,11.0,0.84,10.0,0.9,15.0,0.91,15.0,0.2,4.26,0.19,15.0,0.22,10.0,0.3,15.0,0.05,0.02,43.519096,1776236446000
1776241941.615,141.615,0.82,10.0,0.77,15.0,0.86,15.0,0.87,15.0,0.1,15.0,0.09,15.0,0.15,11.0,0.16,10.0,0.04,0.05,43.519096,1776236446000
1776241958.425,158.425,0.84,10.0,0.81,15.0,0.88,7.5,0.89,15.0,0.14,15.0,0.13,15.0,0.18,10.0,0.23,15.0,0.04,0.04,43.519096,1776236446000
1776241980.554,180.554,0.93,15.0,0.92,15.0,0.98,5.0,0.99,305.0,0.12,7.5,0.11,15.0,0.16,10.0,0.19,15.0,0.05,0.04,43.519096,1776236446000
1776242025.711,225.711,0.97,15.0,0.96,15.0,0.99,203.98,,,0.02,5.0,0.01,305.0,0.07,15.0,0.08,15.0,0.02,0.05,43.519096,1776236446000
1776242032.482,232.482,0.98,15.0,0.97,15.0,0.99,168.98,,,0.01,203.98,,,0.03,15.0,0.04,15.0,0.01,0.02,43.519096,1776236446000
1776242042.898,242.898,0.98,15.0,0.97,15.0,0.99,148.98,,,0.01,168.98,,,0.02,15.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242044.632,244.632,0.98,20.0,0.97,15.0,0.99,118.88,,,0.01,138.88,,,0.02,15.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242045.242,245.242,0.98,20.0,0.97,15.0,0.99,108.88,,,0.01,118.88,,,0.02,20.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242046.063,246.063,0.98,20.0,0.97,15.0,0.99,75.55,,,0.01,108.88,,,0.02,20.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242048.115,248.115,0.98,20.0,0.97,15.0,0.99,65.55,,,0.01,75.55,,,0.02,20.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242049.951,249.951,0.98,20.0,0.97,15.0,0.99,35.34,,,0.01,55.55,,,0.02,20.0,0.03,15.0,0.01,0.01,43.519096,1776236446000
1776242050.609,250.609,0.99,964.66,0.98,20.0,,,,,0.01,35.34,,,0.02,20.0,0.03,15.0,,0.01,43.519096,1776236446000
1776242051.329,251.329,0.99,1010.95,0.98,20.0,,,,,,,,,0.01,964.66,0.02,20.0,,,43.519096,1776236446000
1776242099.151,299.151,0.99,1178.64,0.98,5.0,,,,,,,,,0.01,1010.95,0.02,20.0,,,43.519096,1776236446000
