timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776321901.232,1.232,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,45.502537,1776321900000
1776321901.624,1.624,0.11,100.0,0.08,40.0,0.89,87.77,0.92,40.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.78,0.18,45.502537,1776321900000
1776321959.579,59.579,0.31,13.55,0.3,15.0,0.4,6.0,0.41,70.0,0.11,87.77,0.08,40.0,0.89,100.0,0.92,40.0,0.09,0.78,45.474324,1776321958000
1776321990.674,90.674,0.4,9.08,0.39,15.0,0.45,6.0,0.5,5.0,0.6,6.0,0.59,70.0,0.69,13.55,0.7,15.0,0.05,0.09,45.489297,1776321989000
1776321992.457,92.457,0.41,1.62,0.4,9.08,0.49,6.0,0.51,50.0,0.55,6.0,0.5,5.0,0.6,9.08,0.61,15.0,0.08,0.05,45.4847,1776321991000
1776322029.716,129.716,0.5,9.06,0.48,15.0,0.67,15.0,0.71,65.0,0.51,6.0,0.49,50.0,0.59,1.62,0.6,9.08,0.17,0.08,45.520304,1776322028000
1776322059.039,159.039,0.84,15.0,0.71,122.0,0.86,11.54,0.89,15.0,0.33,15.0,0.29,65.0,0.5,9.06,0.52,15.0,0.02,0.17,45.526868,1776322057000
1776322059.626,159.626,0.85,6.0,0.84,15.0,0.86,5.8,0.88,15.0,0.14,11.54,0.11,15.0,0.19,50.0,0.28,6.0,0.01,0.05,45.525785,1776322058000
1776322063.45,163.45,0.81,6.0,0.78,15.0,0.86,15.0,0.87,15.0,0.14,5.8,0.12,15.0,0.15,6.0,0.16,15.0,0.05,0.01,45.565248,1776322062000
1776322064.061,164.061,0.81,6.0,0.78,15.0,0.85,15.0,0.86,15.0,0.14,15.0,0.13,15.0,0.19,6.0,0.22,15.0,0.04,0.05,45.565248,1776322062000
1776322070.602,170.602,0.78,21.0,0.75,15.0,0.84,8.16,0.85,15.0,0.15,15.0,0.14,15.0,0.19,6.0,0.22,15.0,0.06,0.04,45.55958,1776322069000
1776322083.614,183.614,0.82,21.0,0.8,15.0,0.88,12.72,0.89,15.0,0.16,8.16,0.15,15.0,0.22,21.0,0.25,15.0,0.06,0.06,45.554685,1776322082000
1776322103.329,203.329,0.9,68.0,0.88,30.0,0.95,4.94,0.96,5.0,0.12,12.72,0.11,15.0,0.18,21.0,0.2,15.0,0.05,0.06,45.554356,1776322102000
1776322127.779,227.779,0.95,15.0,0.94,15.0,0.96,3.95,0.97,5.0,0.05,4.94,0.04,5.0,0.1,68.0,0.12,30.0,0.01,0.05,45.593247,1776322126000
1776322128.944,228.944,0.95,15.0,0.94,15.0,0.96,2.9,0.97,5.0,0.04,3.95,0.03,5.0,0.05,15.0,0.06,15.0,0.01,0.01,45.602404,1776322127000
1776322129.271,229.271,0.95,15.0,0.94,15.0,0.96,1.85,0.97,5.0,0.04,2.9,0.03,5.0,0.05,15.0,0.06,15.0,0.01,0.01,45.604628,1776322128000
1776322140.017,240.017,0.99,903.15,0.95,15.0,,,,,0.04,1.85,0.03,5.0,0.05,15.0,0.06,15.0,,0.01,45.613773,1776322139000

# RESULT,winner=Up,slug=hype-updown-5m-1776321900,ticks=17
