timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,hype_price,hype_oracle_ts
1776159301.237,1.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.922941,1776159299000
1776159301.612,1.612,0.44,8.0,0.11,100.0,0.08,100.0,0.07,100.0,0.06,100.0,0.56,8.0,0.89,100.0,0.92,100.0,0.93,100.0,0.94,100.0,0.44,8.0,0.11,100.0,0.08,100.0,0.07,100.0,0.06,100.0,0.56,8.0,0.89,100.0,0.92,100.0,0.93,100.0,0.94,100.0,0.12,0.12,44.922941,1776159299000
1776159302.092,2.092,0.44,8.0,0.11,100.0,0.08,100.0,0.07,100.0,0.06,100.0,0.56,8.0,0.89,100.0,0.92,100.0,0.93,100.0,0.94,100.0,0.44,8.0,0.11,100.0,0.08,100.0,0.07,100.0,0.06,100.0,0.56,8.0,0.89,100.0,0.92,100.0,0.93,100.0,0.94,100.0,0.12,0.12,44.922683,1776159300000
1776159302.733,2.733,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.922579,1776159301000
1776159303.359,3.359,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.92256,1776159302000
1776159304.244,4.244,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.92256,1776159303000
1776159305.602,5.602,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.920331,1776159304000
1776159306.257,6.257,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.920333,1776159305000
1776159307.546,7.546,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.920333,1776159306000
1776159308.005,8.005,0.44,8.0,0.38,13.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.59,12.0,0.89,100.0,0.92,100.0,0.93,100.0,0.44,8.0,0.41,12.0,0.11,100.0,0.08,100.0,0.07,100.0,0.56,8.0,0.62,13.0,0.89,100.0,0.92,100.0,0.93,100.0,0.12,0.12,44.920353,1776159307000
