timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776282300.578,0.578,0.48,5.0,0.47,25.0,0.52,5.0,0.53,25.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.04,0.12,45.122702,1776282299000
1776282301.061,1.061,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.121411,1776282300000
1776282303.196,3.196,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.124287,1776282301000
1776282303.819,3.819,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.126135,1776282302000
1776282304.488,4.488,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.126847,1776282303000
1776282305.14,5.14,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.126847,1776282304000
1776282306.628,6.628,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.124553,1776282305000
1776282307.4,7.4,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.125664,1776282306000
1776282308.058,8.058,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.126431,1776282307000
1776282309.307,9.307,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.125409,1776282308000
1776282310.056,10.056,0.47,15.0,0.46,15.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.12,0.12,45.124221,1776282309000
1776282321.541,21.541,0.33,5.0,0.32,5.0,0.36,5.0,0.37,5.0,0.41,37.0,0.4,33.0,0.53,15.0,0.54,15.0,0.03,0.12,45.098515,1776282320000
1776282325.101,25.101,0.28,5.0,0.27,5.0,0.31,5.0,0.32,5.0,0.64,5.0,0.63,5.0,0.67,5.0,0.68,5.0,0.03,0.03,45.080367,1776282324000
1776282342.248,42.248,0.21,5.0,0.2,5.0,0.24,5.0,0.25,5.0,0.69,5.0,0.68,5.0,0.72,5.0,0.73,5.0,0.03,0.03,45.066431,1776282341000
1776282346.608,46.608,0.28,5.0,0.27,5.0,0.31,5.0,0.32,5.0,0.76,5.0,0.75,5.0,0.79,5.0,0.8,5.0,0.03,0.03,45.054568,1776282345000
1776282346.81,46.81,0.29,3.59,0.28,5.0,0.3,5.0,0.31,5.0,0.69,5.0,0.68,5.0,0.72,5.0,0.73,5.0,0.01,0.03,45.054568,1776282345000
1776282354.645,54.645,0.27,6.78,0.26,20.0,0.28,5.0,0.29,5.0,0.7,5.0,0.69,5.0,0.71,3.59,0.72,5.0,0.01,0.01,45.06061,1776282353000
1776282360.612,60.612,0.2,15.0,0.19,15.0,0.22,5.0,0.23,5.0,0.72,5.0,0.71,5.0,0.73,6.78,0.74,20.0,0.02,0.01,45.057507,1776282359000
1776282366.333,66.333,0.15,9.1,0.14,20.0,0.16,5.0,0.17,5.0,0.78,5.0,0.77,5.0,0.8,15.0,0.81,15.0,0.01,0.02,45.033129,1776282364000
1776282391.596,91.596,0.18,18.66,0.17,20.0,0.19,5.0,0.21,5.0,0.84,5.0,0.83,5.0,0.85,9.1,0.86,20.0,0.01,0.01,45.044889,1776282390000
1776282393.052,93.052,0.19,5.0,0.18,23.66,0.21,5.0,0.29,5.0,0.81,5.0,0.79,5.0,0.82,18.66,0.83,20.0,0.02,0.01,45.054853,1776282392000
1776282397.635,97.635,0.2,25.0,0.19,25.0,0.33,5.0,0.34,15.0,0.79,5.0,0.71,5.0,0.81,5.0,0.82,23.66,0.13,0.02,45.066225,1776282396000
1776282402.646,102.646,0.46,5.0,0.45,5.0,0.48,5.0,0.49,5.0,0.67,5.0,0.66,15.0,0.8,25.0,0.81,25.0,0.02,0.13,45.095866,1776282401000
1776282405.38,105.38,0.4,5.0,0.39,5.0,0.42,5.0,0.43,5.0,0.52,5.0,0.51,5.0,0.54,5.0,0.55,5.0,0.02,0.02,45.113686,1776282404000
1776282414.207,114.207,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.58,5.0,0.57,5.0,0.6,5.0,0.61,5.0,0.02,0.02,45.108,1776282413000
1776282417.44,117.44,0.26,15.0,0.25,15.0,0.28,5.0,0.29,5.0,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.02,0.02,45.090664,1776282416000
1776282422.595,122.595,0.33,5.0,0.32,5.0,0.35,5.0,0.36,5.0,0.72,5.0,0.71,5.0,0.74,15.0,0.75,15.0,0.02,0.02,45.072771,1776282421000
1776282446.561,146.561,0.25,5.0,0.24,5.0,0.27,5.0,0.28,5.0,0.65,5.0,0.64,5.0,0.67,5.0,0.68,5.0,0.02,0.02,45.066085,1776282445000
1776282474.594,174.594,0.12,4.98,0.11,15.0,0.13,5.0,0.14,5.0,0.73,5.0,0.72,5.0,0.75,5.0,0.76,5.0,0.01,0.02,45.026067,1776282473000
1776282494.424,194.424,0.06,19.99,0.05,20.0,0.08,5.0,0.09,5.0,0.87,5.0,0.86,5.0,0.88,4.98,0.89,15.0,0.02,0.01,45.021667,1776282493000
1776282496.564,196.564,0.06,19.99,0.05,20.0,0.08,5.0,0.09,5.0,0.92,5.0,0.91,5.0,0.94,19.99,0.95,20.0,0.02,0.02,45.021751,1776282495000
1776282501.963,201.963,0.07,12.84,0.06,19.99,0.08,5.0,0.09,5.0,0.92,5.0,0.91,5.0,0.94,19.99,0.95,20.0,0.01,0.02,45.037796,1776282500000
1776282504.959,204.959,0.07,10.68,0.06,15.0,0.08,5.0,0.09,5.0,0.92,5.0,0.91,5.0,0.93,12.84,0.94,19.99,0.01,0.01,45.038127,1776282502000
1776282506.219,206.219,0.08,12.82,0.07,15.68,0.09,5.0,0.1,5.0,0.92,5.0,0.91,5.0,0.93,10.68,0.94,15.0,0.01,0.01,45.03798,1776282504000
1776282529.505,229.505,0.04,7.5,0.03,15.0,0.05,10.0,0.06,5.0,0.91,5.0,0.9,5.0,0.92,12.82,0.93,15.68,0.01,0.01,45.032806,1776282528000
1776282531.591,231.591,0.03,15.0,0.02,20.0,0.05,10.0,0.06,5.0,0.95,10.0,0.94,5.0,0.96,7.5,0.97,15.0,0.02,0.01,45.032323,1776282530000
1776282537.6,237.6,0.03,20.0,0.02,25.0,0.05,10.0,0.06,5.0,0.95,10.0,0.94,5.0,0.97,15.0,0.98,20.0,0.02,0.02,45.055771,1776282536000
1776282540.647,240.647,0.04,15.0,0.03,15.0,0.06,5.0,0.07,5.0,0.95,10.0,0.94,5.0,0.97,20.0,0.98,25.0,0.02,0.02,45.058533,1776282539000
1776282544.813,244.813,0.03,13.96,0.02,25.0,0.04,5.0,0.05,5.0,0.94,5.0,0.93,5.0,0.96,15.0,0.97,15.0,0.01,0.02,45.046564,1776282543000
1776282545.979,245.979,0.03,12.92,0.02,25.0,0.04,5.0,0.05,5.0,0.96,5.0,0.95,5.0,0.97,13.96,0.98,25.0,0.01,0.01,45.036553,1776282544000
1776282554.008,254.008,0.02,12.7,0.01,130.0,0.03,20.46,0.04,5.0,0.96,5.0,0.95,5.0,0.97,12.92,0.98,25.0,0.01,0.01,45.040656,1776282551000
