timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776390011.105,11.105,0.52,5.0,0.51,15.0,0.53,1.22,0.54,5.0,0.41,5.0,0.4,65.0,0.5,6.0,0.59,5.0,0.01,0.09,43.83095,1776390010000
1776390019.345,19.345,0.73,40.0,0.72,5.0,0.78,5.0,0.79,5.0,0.47,1.22,0.46,5.0,0.48,5.0,0.49,15.0,0.05,0.01,43.840293,1776390018000
1776390021.631,21.631,0.73,40.0,0.72,5.0,0.76,5.0,0.77,5.0,0.22,5.0,0.21,5.0,0.27,40.0,0.28,5.0,0.03,0.05,43.866704,1776390020000
1776390034.394,34.394,0.76,5.0,0.75,5.0,0.78,5.0,0.79,5.0,0.24,5.0,0.23,5.0,0.27,40.0,0.28,5.0,0.02,0.03,43.871498,1776390033000
1776390085.93,85.93,0.51,5.91,0.5,6.0,0.52,5.0,0.53,20.0,0.22,5.0,0.21,5.0,0.24,5.0,0.25,5.0,0.01,0.02,43.846659,1776390084000
1776390087.003,87.003,0.5,6.0,0.48,5.0,0.51,44.09,0.52,5.0,0.48,5.0,0.47,20.0,0.49,5.91,0.5,6.0,0.01,0.01,43.846659,1776390085000
1776390088.944,88.944,0.39,5.0,0.38,5.0,0.43,5.0,0.44,5.0,0.51,14.0,0.49,47.12,0.52,5.0,0.53,5.0,0.04,0.01,43.838486,1776390087000
1776390089.707,89.707,0.32,5.0,0.31,5.0,0.33,5.0,0.36,5.0,0.57,5.0,0.56,5.0,0.61,5.0,0.62,5.0,0.01,0.04,43.83462,1776390088000
1776390090.089,90.089,0.36,5.0,0.35,5.0,0.37,5.0,0.4,5.0,0.67,5.0,0.64,5.0,0.68,5.0,0.69,5.0,0.01,0.01,43.83462,1776390088000
1776390092.042,92.042,0.41,5.0,0.38,5.0,0.42,5.0,0.43,5.0,0.63,5.0,0.6,5.0,0.64,5.0,0.65,5.0,0.01,0.01,43.816701,1776390091000
1776390094.49,94.49,0.44,11.0,0.43,5.0,0.46,5.0,0.47,5.0,0.58,5.0,0.57,5.0,0.59,5.0,0.62,5.0,0.02,0.01,43.820946,1776390093000
1776390098.4,98.4,0.34,5.0,0.33,5.0,0.46,50.0,0.47,5.0,0.54,5.0,0.53,5.0,0.56,11.0,0.57,5.0,0.12,0.02,43.822228,1776390097000
1776390109.482,109.482,0.28,5.0,0.27,5.0,0.3,5.0,0.31,5.0,0.54,50.0,0.53,5.0,0.66,5.0,0.67,5.0,0.02,0.12,43.794812,1776390108000
1776390169.537,169.537,0.16,15.0,0.15,20.0,0.17,5.0,0.18,5.0,0.7,5.0,0.69,5.0,0.72,5.0,0.73,5.0,0.01,0.02,43.784364,1776390168000
1776390172.565,172.565,0.17,6.74,0.16,15.0,0.18,5.0,0.19,5.0,0.83,5.0,0.82,5.0,0.84,15.0,0.85,20.0,0.01,0.01,43.792989,1776390171000
1776390180.786,180.786,0.29,5.0,0.28,5.0,0.3,5.0,0.39,15.0,0.82,5.0,0.81,5.0,0.83,6.74,0.84,15.0,0.01,0.01,43.797115,1776390179000
1776390181.213,181.213,0.37,3.0,0.36,5.0,0.39,15.0,0.4,15.0,0.7,5.0,0.61,15.0,0.71,5.0,0.72,5.0,0.02,0.01,43.797115,1776390179000
1776390208.534,208.534,0.19,1.65,0.18,15.0,0.2,5.0,0.21,5.0,0.61,15.0,0.6,15.0,0.63,3.0,0.64,5.0,0.01,0.02,43.802295,1776390206000
1776390211.836,211.836,0.17,5.53,0.16,15.0,0.18,5.0,0.19,5.0,0.8,5.0,0.79,5.0,0.81,1.65,0.82,15.0,0.01,0.01,43.803318,1776390210000
