timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776354904.192,4.192,0.49,15.0,0.42,8.0,0.5,18.0,0.61,50.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.01,0.18,44.737476,1776354902000
1776354905.296,5.296,0.51,32.0,0.43,8.0,0.67,8.0,0.68,8.0,0.5,18.0,0.39,50.0,0.51,15.0,0.58,8.0,0.16,0.01,44.741693,1776354904000
1776354945.48,45.48,0.72,5.0,0.71,5.0,0.74,14.17,0.75,20.0,0.33,8.0,0.32,8.0,0.49,32.0,0.57,8.0,0.02,0.16,44.769323,1776354944000
1776354953.408,53.408,0.68,5.0,0.67,5.0,0.7,13.0,0.71,13.0,0.26,14.17,0.25,20.0,0.28,5.0,0.29,5.0,0.02,0.02,44.765728,1776354952000
1776354960.43,60.43,0.66,5.0,0.65,5.0,0.68,28.0,0.69,28.0,0.3,13.0,0.29,13.0,0.32,5.0,0.33,5.0,0.02,0.02,44.749847,1776354959000
1776354975.526,75.526,0.75,5.0,0.74,5.0,0.78,15.0,0.79,20.0,0.32,28.0,0.31,28.0,0.34,5.0,0.35,5.0,0.03,0.02,44.766535,1776354974000
1776354981.414,81.414,0.74,5.0,0.73,5.0,0.77,3.7,0.78,20.0,0.22,15.0,0.21,20.0,0.25,5.0,0.26,5.0,0.03,0.03,44.768288,1776354980000
1776354985.282,85.282,0.68,5.0,0.67,5.0,0.69,5.0,0.74,15.0,0.23,3.7,0.22,20.0,0.26,5.0,0.27,5.0,0.01,0.03,44.769563,1776354984000
1776355019.94,119.94,0.85,10.0,0.81,60.0,0.86,5.0,0.89,20.0,0.31,5.0,0.26,15.0,0.32,5.0,0.33,5.0,0.01,0.01,44.78662,1776355018000
1776355020.337,120.337,0.82,15.0,0.81,55.0,0.89,15.0,0.9,30.0,0.14,5.0,0.11,20.0,0.15,10.0,0.19,60.0,0.07,0.01,44.789705,1776355019000
1776355024.465,124.465,0.79,5.0,0.78,5.0,0.8,10.0,0.81,20.0,0.11,15.0,0.1,30.0,0.18,15.0,0.19,55.0,0.01,0.07,44.792945,1776355023000
