timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,hype_price,hype_oracle_ts
1776171011.643,11.643,0.54,10.0,0.51,9.0,0.46,5.0,0.45,5.0,0.44,5.0,0.7,5.0,0.71,15.0,0.72,22.0,0.73,5.0,0.74,5.0,0.3,5.0,0.29,15.0,0.28,22.0,0.27,5.0,0.26,5.0,0.46,10.0,0.49,9.0,0.54,5.0,0.55,5.0,0.56,5.0,0.16,0.16,44.928739,1776171010000
1776171012.132,12.132,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.3,5.0,0.29,15.0,0.28,22.0,0.27,5.0,0.26,5.0,0.46,10.0,0.49,9.0,0.54,5.0,0.55,5.0,0.56,5.0,0.15,0.16,44.928739,1776171010000
1776171013.06,13.06,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.93003,1776171012000
1776171014.235,14.235,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.92958,1776171013000
1776171015.524,15.524,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.928167,1776171014000
1776171016.329,16.329,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.923258,1776171015000
1776171017.351,17.351,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.921471,1776171016000
1776171017.893,17.893,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.921471,1776171017000
1776171019.072,19.072,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.92,1776171018000
1776171019.99,19.99,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.920433,1776171019000
1776171021.062,21.062,0.53,10.0,0.47,10.0,0.45,5.0,0.44,5.0,0.43,5.0,0.68,15.0,0.7,15.0,0.71,5.0,0.72,5.0,0.73,5.0,0.32,15.0,0.3,15.0,0.29,5.0,0.28,5.0,0.27,5.0,0.47,10.0,0.53,10.0,0.55,5.0,0.56,5.0,0.57,5.0,0.15,0.15,44.920433,1776171020000
