timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776370801.196,1.196,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.845395,1776370800000
1776370802.216,2.216,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.844064,1776370801000
1776370803.233,3.233,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.834716,1776370802000
1776370804.289,4.289,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.832765,1776370803000
1776370805.329,5.329,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.833391,1776370804000
1776370806.836,6.836,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.830955,1776370805000
1776370807.411,7.411,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.832346,1776370806000
1776370808.003,8.003,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.18,0.18,43.831761,1776370807000
1776370808.282,8.282,0.35,5.0,0.34,5.0,0.51,100.0,0.52,13.0,0.41,5.0,0.11,100.0,0.59,5.0,0.89,100.0,0.16,0.18,43.831761,1776370807000
1776370808.929,8.929,0.35,5.0,0.34,5.0,0.51,100.0,0.52,13.0,0.49,100.0,0.48,13.0,0.65,5.0,0.66,5.0,0.16,0.16,43.830276,1776370808000
1776370809.622,9.622,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.49,100.0,0.48,13.0,0.65,5.0,0.66,5.0,0.02,0.16,43.830276,1776370808000
1776370810.161,10.161,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.02,0.02,43.828057,1776370809000
1776370821.144,21.144,0.29,3.59,0.28,5.0,0.31,5.0,0.32,5.0,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.02,0.02,43.806215,1776370819000
1776370829.131,29.131,0.17,5.0,0.16,5.0,0.2,3.75,0.21,5.0,0.69,5.0,0.68,5.0,0.71,3.59,0.72,5.0,0.03,0.02,43.804354,1776370827000
1776370847.875,47.875,0.16,13.57,0.15,15.0,0.17,5.0,0.18,5.0,0.8,3.75,0.79,5.0,0.83,5.0,0.84,5.0,0.01,0.03,43.765844,1776370846000
1776370890.026,90.026,0.1,10.0,0.09,11.0,0.11,36.9,0.12,20.0,0.83,5.0,0.82,5.0,0.84,13.57,0.85,15.0,0.01,0.01,43.736011,1776370888000
1776370891.201,91.201,0.1,8.88,0.09,11.0,0.11,20.0,0.12,20.0,0.89,36.9,0.88,20.0,0.9,10.0,0.91,11.0,0.01,0.01,43.73125,1776370889000
1776370892.106,92.106,0.09,11.0,0.08,12.0,0.11,20.0,0.12,20.0,0.89,20.0,0.88,20.0,0.9,8.88,0.91,11.0,0.02,0.01,43.72956,1776370890000
1776370894.903,94.903,0.09,9.68,0.08,12.0,0.1,5.0,0.11,5.0,0.89,20.0,0.88,20.0,0.91,11.0,0.92,12.0,0.01,0.02,43.731601,1776370893000
1776370907.558,107.558,0.08,12.0,0.07,34.0,0.1,5.0,0.11,5.0,0.9,5.0,0.89,5.0,0.91,9.68,0.92,12.0,0.02,0.01,43.743075,1776370906000
1776370914.54,114.54,0.08,20.0,0.07,34.0,0.1,5.0,0.11,5.0,0.9,5.0,0.89,5.0,0.92,12.0,0.93,34.0,0.02,0.02,43.748073,1776370913000
1776370916.476,116.476,0.09,20.0,0.08,20.0,0.11,5.0,0.12,5.0,0.9,5.0,0.89,5.0,0.92,20.0,0.93,34.0,0.02,0.02,43.748118,1776370915000
1776370918.3,118.3,0.09,20.0,0.08,20.0,0.11,5.0,0.12,5.0,0.89,5.0,0.88,5.0,0.91,20.0,0.92,20.0,0.02,0.02,43.752872,1776370917000
1776370924.428,124.428,0.13,5.0,0.12,5.0,0.15,10.0,0.16,5.0,0.89,5.0,0.88,5.0,0.91,20.0,0.92,20.0,0.02,0.02,43.761294,1776370923000
1776370930.737,130.737,0.16,11.5,0.15,20.0,0.17,5.0,0.18,5.0,0.86,5.0,0.85,10.0,0.87,3.63,0.88,5.0,0.01,0.01,43.780487,1776370929000
1776370933.676,133.676,0.12,15.0,0.11,15.0,0.14,5.0,0.15,5.0,0.83,5.0,0.82,5.0,0.84,11.5,0.85,20.0,0.02,0.01,43.787985,1776370932000
1776370941.026,141.026,0.15,5.0,0.14,20.0,0.16,3.63,0.17,5.0,0.86,5.0,0.85,5.0,0.88,15.0,0.89,15.0,0.01,0.02,43.780721,1776370939000
1776370960.392,160.392,0.22,3.47,0.21,5.0,0.24,5.0,0.25,5.0,0.84,3.63,0.83,5.0,0.85,5.0,0.86,20.0,0.02,0.01,43.789202,1776370958000
1776370964.994,164.994,0.2,5.0,0.19,20.0,0.23,5.0,0.24,5.0,0.76,5.0,0.75,5.0,0.78,3.47,0.79,5.0,0.03,0.02,43.800451,1776370963000
1776370986.235,186.235,0.21,25.0,0.16,15.0,0.22,5.0,0.23,5.0,0.77,5.0,0.76,5.0,0.8,5.0,0.81,20.0,0.01,0.03,43.802444,1776370985000
1776371000.299,200.299,0.1,5.0,0.09,20.0,0.11,40.0,0.14,5.0,0.78,5.0,0.77,5.0,0.79,25.0,0.84,15.0,0.01,0.01,43.794843,1776370999000
1776371002.652,202.652,0.11,3.87,0.1,5.0,0.12,5.0,0.13,5.0,0.89,40.0,0.86,5.0,0.9,5.0,0.91,20.0,0.01,0.01,43.791144,1776371001000
1776371007.848,207.848,0.16,3.58,0.15,5.0,0.18,5.0,0.19,5.0,0.88,5.0,0.87,5.0,0.89,3.87,0.9,5.0,0.02,0.01,43.790084,1776371006000
1776371026.747,226.747,0.14,5.0,0.13,5.0,0.17,5.0,0.18,5.0,0.82,5.0,0.81,5.0,0.84,3.58,0.85,5.0,0.03,0.02,43.804228,1776371025000
1776371034.453,234.453,0.1,5.0,0.09,20.0,0.12,5.0,0.13,5.0,0.83,5.0,0.82,5.0,0.86,5.0,0.87,5.0,0.02,0.03,43.799024,1776371033000
1776371040.932,240.932,0.07,12.0,0.06,21.0,0.08,5.0,0.09,5.0,0.88,5.0,0.87,5.0,0.9,5.0,0.91,20.0,0.01,0.02,43.80115,1776371039000
1776371041.302,241.302,0.07,10.0,0.06,21.0,0.08,5.0,0.09,5.0,0.92,5.0,0.91,5.0,0.93,12.0,0.94,21.0,0.01,0.01,43.799177,1776371040000
1776371042.528,242.528,0.07,5.0,0.06,16.0,0.08,20.0,0.09,20.0,0.92,5.0,0.91,5.0,0.93,10.0,0.94,21.0,0.01,0.01,43.799004,1776371041000
1776371042.771,242.771,0.07,3.92,0.06,16.0,0.08,20.0,0.09,20.0,0.92,20.0,0.91,20.0,0.93,5.0,0.94,16.0,0.01,0.01,43.799004,1776371041000
1776371047.537,247.537,0.08,5.0,0.07,8.92,0.1,5.0,0.11,5.0,0.92,20.0,0.91,20.0,0.93,3.92,0.94,16.0,0.02,0.01,43.797642,1776371046000
1776371049.162,249.162,0.07,23.92,0.06,36.0,0.09,5.0,0.1,5.0,0.9,5.0,0.89,5.0,0.92,5.0,0.93,8.92,0.02,0.02,43.7981,1776371048000
1776371055.877,255.877,0.05,9.92,0.04,25.0,0.08,20.0,0.09,20.0,0.91,5.0,0.9,5.0,0.93,23.92,0.94,36.0,0.03,0.02,43.802032,1776371054000
1776371057.374,257.374,0.04,25.0,0.03,33.0,0.06,20.0,0.07,20.0,0.92,20.0,0.91,20.0,0.95,9.92,0.96,25.0,0.02,0.03,43.801345,1776371056000
1776371060.402,260.402,0.03,33.0,0.02,75.0,0.05,25.0,0.06,20.0,0.94,20.0,0.93,20.0,0.96,25.0,0.97,33.0,0.02,0.02,43.80218,1776371059000
1776371064.152,264.152,0.03,25.57,0.02,75.0,0.04,10.0,0.05,25.0,0.95,25.0,0.94,20.0,0.97,33.0,0.98,75.0,0.01,0.02,43.798835,1776371062000
1776371064.636,264.636,0.03,24.53,0.02,75.0,0.04,5.0,0.05,20.0,0.96,10.0,0.95,25.0,0.97,25.57,0.98,75.0,0.01,0.01,43.797944,1776371063000
1776371065.65,265.65,0.03,38.47,0.02,75.0,0.04,10.0,0.05,5.0,0.96,5.0,0.95,20.0,0.97,24.53,0.98,75.0,0.01,0.01,43.797944,1776371063000
1776371068.279,268.279,0.03,7.93,0.02,60.0,0.04,25.0,0.05,20.0,0.96,10.0,0.95,5.0,0.97,38.47,0.98,75.0,0.01,0.01,43.798193,1776371067000
1776371071.718,271.718,0.02,54.89,0.01,145.0,0.03,39.15,0.04,20.0,0.97,14.15,0.96,25.0,0.98,60.0,0.99,160.0,0.01,0.01,43.789955,1776371070000
1776371073.122,273.122,0.02,53.86,0.01,145.0,0.03,39.15,0.04,20.0,0.97,39.15,0.96,20.0,0.98,54.89,0.99,145.0,0.01,0.01,43.7716,1776371071000
1776371073.338,273.338,0.02,19.14,0.01,145.0,0.03,39.15,0.04,20.0,0.97,39.15,0.96,20.0,0.98,19.14,0.99,145.0,0.01,0.01,43.7716,1776371071000
1776371073.672,273.672,0.01,145.0,,,0.02,15.96,0.03,39.15,0.97,39.15,0.96,20.0,0.98,14.04,0.99,145.0,0.01,0.01,43.770817,1776371072000
1776371074.621,274.621,0.01,129.04,,,0.02,25.0,0.03,39.15,0.98,15.96,0.97,39.15,0.99,145.0,,,0.01,0.01,43.774687,1776371073000
