timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776386100.544,0.544,0.47,30.0,0.46,5.0,0.48,45.0,0.59,5.0,0.52,45.0,0.48,5.0,0.53,40.0,0.54,68.0,0.01,0.01,44.190825,1776386099000
1776386101.982,1.982,0.47,30.0,0.46,5.0,0.48,45.0,0.59,5.0,0.52,45.0,0.41,5.0,0.53,30.0,0.54,5.0,0.01,0.01,44.188754,1776386100000
1776386102.766,2.766,0.47,30.0,0.46,5.0,0.48,45.0,0.59,5.0,0.52,45.0,0.41,5.0,0.53,30.0,0.54,5.0,0.01,0.01,44.187976,1776386101000
1776386103.596,3.596,0.47,30.0,0.46,5.0,0.48,45.0,0.59,5.0,0.52,45.0,0.41,5.0,0.53,30.0,0.54,5.0,0.01,0.01,44.188374,1776386102000
1776386104.325,4.325,0.47,30.0,0.46,5.0,0.48,45.0,0.59,5.0,0.52,45.0,0.41,5.0,0.53,30.0,0.54,5.0,0.01,0.01,44.187969,1776386103000
1776386105.025,5.025,0.37,8.0,0.36,64.0,0.41,20.0,0.48,45.0,0.59,35.0,0.52,45.0,0.65,8.0,0.66,8.0,0.04,0.06,44.187969,1776386103000
1776386105.698,5.698,0.51,5.0,0.38,16.0,0.55,15.0,0.6,8.0,0.59,20.0,0.52,45.0,0.63,8.0,0.64,64.0,0.04,0.04,44.194861,1776386104000
1776386106.482,6.482,0.51,5.0,0.38,16.0,0.55,15.0,0.6,8.0,0.45,15.0,0.4,8.0,0.49,5.0,0.62,16.0,0.04,0.04,44.190513,1776386105000
1776386107.203,7.203,0.51,5.0,0.38,16.0,0.55,15.0,0.6,8.0,0.45,15.0,0.4,8.0,0.49,5.0,0.62,16.0,0.04,0.04,44.194016,1776386106000
1776386108.525,8.525,0.41,60.0,0.38,8.0,0.51,84.49,0.58,15.0,0.45,15.0,0.4,8.0,0.49,5.0,0.62,16.0,0.1,0.04,44.194016,1776386106000
1776386109.388,9.388,0.41,60.0,0.38,8.0,0.51,84.49,0.58,15.0,0.49,84.49,0.42,15.0,0.59,60.0,0.62,8.0,0.1,0.1,44.190941,1776386108000
1776386110.879,10.879,0.41,60.0,0.38,8.0,0.51,84.49,0.58,15.0,0.49,84.49,0.42,15.0,0.59,60.0,0.62,8.0,0.1,0.1,44.193247,1776386109000
