timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_bid_p3,up_bid_s3,up_bid_p4,up_bid_s4,up_bid_p5,up_bid_s5,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,up_ask_p3,up_ask_s3,up_ask_p4,up_ask_s4,up_ask_p5,up_ask_s5,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_bid_p3,down_bid_s3,down_bid_p4,down_bid_s4,down_bid_p5,down_bid_s5,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,down_ask_p3,down_ask_s3,down_ask_p4,down_ask_s4,down_ask_p5,down_ask_s5,up_spread,down_spread,hype_price,hype_oracle_ts
1776171601.059,1.059,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.942272,1776171600000
1776171602.097,2.097,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.94233,1776171601000
1776171603.872,3.872,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.946119,1776171602000
1776171604.247,4.247,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.94754,1776171603000
1776171605.641,5.641,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.947856,1776171604000
1776171606.03,6.03,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.948936,1776171605000
1776171607.247,7.247,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.949471,1776171606000
1776171608.52,8.52,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.942982,1776171607000
1776171608.968,8.968,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.942982,1776171608000
1776171610.123,10.123,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.52,5.0,0.53,10.0,0.54,20.0,0.55,40.0,0.56,80.0,0.41,13.0,0.4,8.0,0.39,8.0,0.38,8.0,0.37,9.0,0.59,13.0,0.6,8.0,0.61,8.0,0.62,8.0,0.63,9.0,0.11,0.18,44.940497,1776171609000
