timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776407701.435,1.435,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.06,0.06,43.809599,1776407700000
1776407713.096,13.096,0.46,5.0,0.45,5.0,0.5,10.0,0.51,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.04,0.06,43.795289,1776407711000
1776407714.069,14.069,0.48,5.0,0.47,5.0,0.49,0.91,0.5,10.0,0.5,10.0,0.49,5.0,0.54,5.0,0.55,5.0,0.01,0.04,43.795802,1776407712000
1776407716.971,16.971,0.5,10.0,0.49,21.0,0.56,5.0,0.57,5.0,0.51,0.91,0.5,10.0,0.52,5.0,0.53,5.0,0.06,0.01,43.805871,1776407715000
1776407720.276,20.276,0.56,5.0,0.54,18.0,0.57,5.0,0.58,5.0,0.44,5.0,0.43,5.0,0.5,10.0,0.51,21.0,0.01,0.06,43.819607,1776407718000
1776407720.628,20.628,0.58,5.0,0.56,5.0,0.59,5.0,0.6,5.0,0.43,5.0,0.42,5.0,0.44,5.0,0.46,18.0,0.01,0.01,43.817427,1776407719000
1776407743.561,43.561,0.64,5.0,0.63,5.0,0.66,5.0,0.67,5.0,0.41,5.0,0.4,5.0,0.42,5.0,0.44,5.0,0.02,0.01,43.82112,1776407742000
1776407754.225,54.225,0.69,5.0,0.68,5.0,0.71,15.0,0.72,15.0,0.34,5.0,0.33,5.0,0.36,5.0,0.37,5.0,0.02,0.02,43.826875,1776407753000
1776407761.186,61.186,0.54,8.0,0.52,5.0,0.56,5.0,0.57,5.0,0.29,15.0,0.28,15.0,0.31,5.0,0.32,5.0,0.02,0.02,43.834052,1776407760000
1776407763.546,63.546,0.55,5.0,0.54,5.0,0.57,3.24,0.58,20.0,0.44,5.0,0.43,5.0,0.46,8.0,0.48,5.0,0.02,0.02,43.818294,1776407762000
1776407773.255,73.255,0.44,5.0,0.43,5.0,0.45,10.0,0.47,5.0,0.43,3.24,0.42,20.0,0.45,5.0,0.46,5.0,0.01,0.02,43.809577,1776407772000
1776407784.324,84.324,0.52,5.0,0.51,5.0,0.54,5.0,0.55,5.0,0.55,10.0,0.53,5.0,0.56,5.0,0.57,5.0,0.02,0.01,43.797918,1776407782000
1776407795.364,95.364,0.64,5.0,0.63,5.0,0.66,5.0,0.67,20.0,0.46,5.0,0.45,5.0,0.48,5.0,0.49,5.0,0.02,0.02,43.81198,1776407794000
1776407798.122,98.122,0.62,5.0,0.61,13.0,0.64,5.0,0.65,5.0,0.34,5.0,0.33,20.0,0.36,5.0,0.37,5.0,0.02,0.02,43.831848,1776407796000
1776407799.466,99.466,0.61,8.0,0.6,13.0,0.63,5.0,0.64,5.0,0.36,5.0,0.35,5.0,0.38,5.0,0.39,13.0,0.02,0.02,43.832368,1776407798000
1776407814.576,114.576,0.62,18.0,0.61,13.0,0.64,5.0,0.65,5.0,0.37,5.0,0.36,5.0,0.39,8.0,0.4,13.0,0.02,0.02,43.832111,1776407813000
1776407834.989,134.989,0.7,5.0,0.69,5.0,0.74,5.0,0.75,5.0,0.36,5.0,0.35,5.0,0.38,18.0,0.39,13.0,0.04,0.02,43.846465,1776407833000
