timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776405301.153,1.153,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.06,0.06,43.590256,1776405300000
1776405302.337,2.337,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.06,0.06,43.592268,1776405301000
1776405303.084,3.084,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.06,0.06,43.595055,1776405302000
1776405304.38,4.38,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.06,0.06,43.596696,1776405303000
1776405304.921,4.921,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.47,30.0,0.46,5.0,0.53,30.0,0.54,5.0,0.05,0.06,43.596696,1776405303000
1776405306.232,6.232,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.05,0.05,43.589286,1776405305000
1776405307.732,7.732,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.05,0.05,43.5811,1776405306000
1776405308.272,8.272,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.05,0.05,43.579088,1776405307000
1776405309.448,9.448,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.05,0.05,43.579944,1776405308000
1776405310.176,10.176,0.37,5.0,0.36,5.0,0.42,5.0,0.43,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.05,0.05,43.579944,1776405309000
1776405325.408,25.408,0.36,5.0,0.35,5.0,0.38,5.0,0.39,5.0,0.58,5.0,0.57,5.0,0.63,5.0,0.64,5.0,0.02,0.05,43.571926,1776405324000
1776405343.596,43.596,0.39,5.0,0.38,5.0,0.41,5.0,0.42,5.0,0.62,5.0,0.61,5.0,0.64,5.0,0.65,5.0,0.02,0.02,43.575919,1776405342000
1776405352.518,52.518,0.4,28.0,0.39,28.0,0.41,2.0,0.42,5.0,0.59,5.0,0.58,5.0,0.61,5.0,0.62,5.0,0.01,0.02,43.58407,1776405351000
1776405352.858,52.858,0.4,20.0,0.39,28.0,0.42,1.95,0.43,5.0,0.59,2.0,0.58,5.0,0.6,28.0,0.61,28.0,0.02,0.01,43.58407,1776405351000
1776405377.434,77.434,0.28,5.0,0.27,5.0,0.29,10.0,0.3,5.0,0.58,1.95,0.57,5.0,0.6,20.0,0.61,28.0,0.01,0.02,43.569905,1776405375000
1776405387.432,87.432,0.26,5.0,0.25,5.0,0.28,5.0,0.29,5.0,0.71,10.0,0.7,5.0,0.72,5.0,0.73,5.0,0.02,0.01,43.559902,1776405386000
1776405388.477,88.477,0.26,5.0,0.25,5.0,0.27,10.0,0.29,5.0,0.72,5.0,0.71,5.0,0.74,5.0,0.75,5.0,0.01,0.02,43.5595,1776405387000
1776405395.549,95.549,0.25,5.0,0.24,5.0,0.27,5.0,0.28,5.0,0.73,10.0,0.71,5.0,0.74,5.0,0.75,5.0,0.02,0.01,43.559902,1776405394000
1776405424.55,124.55,0.27,5.0,0.26,5.0,0.29,5.0,0.3,5.0,0.73,5.0,0.72,5.0,0.75,5.0,0.76,5.0,0.02,0.02,43.567955,1776405423000
1776405443.201,143.201,0.19,5.0,0.18,5.0,0.21,5.0,0.22,5.0,0.71,5.0,0.7,5.0,0.73,5.0,0.74,5.0,0.02,0.02,43.566134,1776405442000
1776405465.015,165.015,0.1,8.87,0.09,11.0,0.11,30.0,0.12,20.0,0.79,5.0,0.78,5.0,0.81,5.0,0.82,5.0,0.01,0.02,43.548274,1776405464000
1776405467.286,167.286,0.1,0.01,0.09,11.0,0.11,45.0,0.12,20.0,0.89,30.0,0.88,20.0,0.9,8.87,0.91,11.0,0.01,0.01,43.543671,1776405466000
1776405474.816,174.816,0.06,1.93,0.05,20.0,0.11,45.0,0.12,20.0,0.89,45.0,0.88,20.0,0.9,0.01,0.91,11.0,0.05,0.01,43.532807,1776405473000
1776405489.492,189.492,0.04,16.93,0.03,33.0,0.07,20.0,0.08,20.0,0.89,45.0,0.88,20.0,0.94,1.93,0.95,20.0,0.03,0.05,43.535151,1776405488000
1776405504.496,204.496,0.04,8.1,0.03,33.0,0.05,52.0,0.06,20.0,0.93,20.0,0.92,20.0,0.96,16.93,0.97,33.0,0.01,0.03,43.514511,1776405503000
1776405512.556,212.556,0.03,29.1,0.02,65.0,0.05,52.0,0.06,20.0,0.95,52.0,0.94,20.0,0.96,8.1,0.97,33.0,0.02,0.01,43.517192,1776405511000
1776405513.231,213.231,0.03,23.1,0.02,65.0,0.04,20.0,0.05,20.0,0.95,52.0,0.94,20.0,0.97,29.1,0.98,65.0,0.01,0.02,43.517192,1776405511000
1776405527.63,227.63,0.03,12.66,0.02,65.0,0.04,25.0,0.05,20.0,0.96,20.0,0.95,20.0,0.97,18.1,0.98,65.0,0.01,0.01,43.520181,1776405526000
1776405528.413,228.413,0.03,4.7,0.02,65.0,0.04,25.0,0.05,20.0,0.96,25.0,0.95,20.0,0.97,12.66,0.98,65.0,0.01,0.01,43.519461,1776405527000
1776405543.552,243.552,0.03,3.66,0.02,65.0,0.04,59.0,0.05,25.0,0.96,25.0,0.95,20.0,0.97,4.7,0.98,65.0,0.01,0.01,43.517897,1776405542000
1776405548.076,248.076,0.02,65.0,0.01,190.0,0.03,17.06,0.04,59.0,0.96,59.0,0.95,25.0,0.97,3.66,0.98,65.0,0.01,0.01,43.518092,1776405546000
1776405549.975,249.975,0.02,50.0,0.01,190.0,0.03,37.06,0.04,54.0,0.97,17.06,0.96,59.0,0.98,65.0,0.99,190.0,0.01,0.01,43.517998,1776405548000
1776405550.235,250.235,0.01,190.0,,,0.02,15.0,0.03,42.06,0.97,37.06,0.96,54.0,0.98,50.0,0.99,190.0,0.01,0.01,43.517752,1776405549000
1776405557.577,257.577,0.01,188.98,,,0.02,35.0,0.03,37.06,0.98,15.0,0.97,42.06,0.99,190.0,,,0.01,0.01,43.517131,1776405556000
1776405559.093,259.093,,,,,0.01,813.56,0.02,40.0,0.98,35.0,0.97,37.06,0.99,186.44,,,,0.01,43.517233,1776405558000
