timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,hype_price,hype_oracle_ts
1776285900.97,0.97,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.336719,1776285900000
1776285902.22,2.22,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.336719,1776285901000
1776285903.701,3.701,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.339096,1776285902000
1776285904.214,4.214,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.343964,1776285903000
1776285905.372,5.372,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.344739,1776285904000
1776285906.419,6.419,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.350959,1776285905000
1776285907.418,7.418,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.353865,1776285906000
1776285908.052,8.052,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.353412,1776285907000
1776285909.004,9.004,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.352965,1776285908000
1776285909.914,9.914,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.352213,1776285909000
1776285910.953,10.953,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.18,0.18,44.352213,1776285910000
1776285923.379,23.379,0.63,5.0,0.62,5.0,0.65,5.0,0.66,5.0,0.41,37.0,0.4,33.0,0.59,37.0,0.6,33.0,0.02,0.18,44.352451,1776285922000
1776285932.496,32.496,0.7,5.0,0.69,5.0,0.72,5.0,0.73,5.0,0.35,5.0,0.34,5.0,0.37,5.0,0.38,5.0,0.02,0.02,44.363191,1776285931000
1776285937.5,37.5,0.58,5.0,0.57,5.0,0.6,5.0,0.61,5.0,0.28,5.0,0.27,5.0,0.3,5.0,0.31,5.0,0.02,0.02,44.356616,1776285936000
1776285953.554,53.554,0.46,5.0,0.45,5.0,0.48,5.0,0.49,5.0,0.4,5.0,0.39,5.0,0.42,5.0,0.43,5.0,0.02,0.02,44.351204,1776285952000
1776285966.408,66.408,0.57,5.0,0.56,5.0,0.6,5.0,0.61,20.0,0.52,5.0,0.51,5.0,0.54,5.0,0.55,5.0,0.03,0.02,44.334639,1776285965000
1776285980.674,80.674,0.7,1.66,0.69,5.0,0.71,15.0,0.72,15.0,0.4,5.0,0.39,20.0,0.43,5.0,0.44,5.0,0.01,0.03,44.366607,1776285979000
1776286013.516,113.516,0.75,5.0,0.74,5.0,0.76,10.0,0.77,15.0,0.29,15.0,0.28,15.0,0.3,1.66,0.31,5.0,0.01,0.01,44.371375,1776286012000
1776286018.674,118.674,0.8,5.0,0.79,5.0,0.81,6.77,0.82,15.0,0.24,10.0,0.23,15.0,0.25,5.0,0.26,5.0,0.01,0.01,44.378753,1776286017000
1776286021.503,121.503,0.8,5.0,0.79,5.0,0.82,15.0,0.83,15.0,0.19,6.77,0.18,15.0,0.2,5.0,0.21,5.0,0.02,0.01,44.393887,1776286020000
1776286025.536,125.536,0.81,5.0,0.8,5.0,0.82,0.99,0.83,15.0,0.18,15.0,0.17,15.0,0.2,5.0,0.21,5.0,0.01,0.02,44.390207,1776286024000
1776286039.345,139.345,0.8,5.0,0.79,5.0,0.81,45.0,0.82,0.99,0.18,0.99,0.17,15.0,0.19,5.0,0.2,5.0,0.01,0.01,44.384545,1776286037000
